year,des_DET vivres_NOUN
1800,3.3170936148962937e-06
1801,2.9098050617903937e-06
1802,3.685722731461283e-06
1803,3.0951882763474714e-06
1804,2.3087088720785687e-06
1805,3.633197820818168e-06
1806,3.362907818882377e-06
1807,4.48110722572892e-06
1808,3.6393148548086174e-06
1809,4.949535650666803e-06
1810,3.3674423320917413e-06
1811,3.4823297028196976e-06
1812,2.9179257126088487e-06
1813,4.095056283404119e-06
1814,4.181933945801575e-06
1815,3.3904100291692885e-06
1816,3.404560175113147e-06
1817,3.7925435663055396e-06
1818,4.51097366749309e-06
1819,4.726289262180217e-06
1820,5.513167252502171e-06
1821,3.600429408834316e-06
1822,4.386206910567125e-06
1823,7.270692549354862e-06
1824,5.758357019658433e-06
1825,6.158526957733557e-06
1826,6.120668331277557e-06
1827,4.511854967859108e-06
1828,4.261451067577582e-06
1829,4.057684236613568e-06
1830,4.673614967032336e-06
1831,3.592213943193201e-06
1832,3.0591261293011485e-06
1833,4.029944193462143e-06
1834,3.848626874969341e-06
1835,4.445583272172371e-06
1836,4.890689979220042e-06
1837,4.583162535709562e-06
1838,5.7964584811998066e-06
1839,5.069518465461442e-06
1840,5.532074737857329e-06
1841,3.8991993278614245e-06
1842,3.798890475081862e-06
1843,3.234624500692007e-06
1844,3.666907787192031e-06
1845,3.632728294178378e-06
1846,3.634474524005782e-06
1847,3.867480700137094e-06
1848,3.376579570613103e-06
1849,3.119656184935593e-06
1850,3.7047550449642586e-06
1851,3.2950183594948612e-06
1852,2.64263030658185e-06
1853,2.7357418730389327e-06
1854,3.1776683044881793e-06
1855,2.8593776733032428e-06
1856,3.3444641758251237e-06
1857,3.810506086665555e-06
1858,3.0712710668012733e-06
1859,3.2854702567419736e-06
1860,3.5161926916771336e-06
1861,3.028120318049332e-06
1862,2.9994910164532484e-06
1863,2.8923848276463104e-06
1864,2.5407264274690533e-06
1865,3.0349731332535157e-06
1866,2.872171307899407e-06
1867,2.674869620022946e-06
1868,2.6991472168447217e-06
1869,2.2581391476705903e-06
1870,2.525275021980633e-06
1871,3.5241066598246107e-06
1872,3.2050897971203085e-06
1873,3.1683921406511217e-06
1874,3.596117267079535e-06
1875,2.632474661368178e-06
1876,2.398454171270714e-06
1877,2.87841339741135e-06
1878,2.9676082249352476e-06
1879,3.2819295938679716e-06
1880,2.4670200673426734e-06
1881,2.6760483251564438e-06
1882,2.1716521132475464e-06
1883,2.2996073312242515e-06
1884,2.4003770704439376e-06
1885,2.515087089705048e-06
1886,2.4452174329780973e-06
1887,2.3784873519616667e-06
1888,2.360610778850969e-06
1889,2.561188011895865e-06
1890,2.455928552080877e-06
1891,2.1423752514238004e-06
1892,2.4992559701786377e-06
1893,2.1591408767562825e-06
1894,2.1948260382487206e-06
1895,2.567540832387749e-06
1896,2.327557240278111e-06
1897,2.046341705863597e-06
1898,2.125278115272522e-06
1899,2.1170624222577317e-06
1900,2.026067932092701e-06
1901,2.007475131904357e-06
1902,1.9292506294732448e-06
1903,2.1093260329507757e-06
1904,1.8601577949084458e-06
1905,1.658151859373902e-06
1906,1.7001530068228021e-06
1907,1.5886242863416555e-06
1908,1.7160393781523453e-06
1909,1.642593701944861e-06
1910,1.7224197108589578e-06
1911,1.697731363492494e-06
1912,1.6909781379581545e-06
1913,1.6449873783130897e-06
1914,1.8041027942672372e-06
1915,2.088729161187075e-06
1916,2.1601349544653203e-06
1917,2.25250369112473e-06
1918,2.2272083697316702e-06
1919,2.1362209281505784e-06
1920,1.7756883607944474e-06
1921,1.3759681678493507e-06
1922,1.3988565115141682e-06
1923,1.301515226259653e-06
1924,1.4786693327550893e-06
1925,1.3901697002438596e-06
1926,1.256169753105496e-06
1927,1.380274056828057e-06
1928,1.4842427162875538e-06
1929,1.5396041135318228e-06
1930,1.4274397699409747e-06
1931,2.35748711929773e-06
1932,1.4915929114067694e-06
1933,1.2801259572370327e-06
1934,1.3730890486840508e-06
1935,1.3320700418262277e-06
1936,1.0730371968747932e-06
1937,1.2150428574386751e-06
1938,1.2083579576938064e-06
1939,1.1837595366159803e-06
1940,1.458075189475494e-06
1941,1.4609937579734833e-06
1942,1.4897980236128205e-06
1943,1.4719402088303468e-06
1944,1.7126282045865082e-06
1945,1.6033790188885177e-06
1946,1.471460677748837e-06
1947,1.2350022871032706e-06
1948,1.1850357850562432e-06
1949,1.1534984878380783e-06
1950,9.880251354843494e-07
1951,1.1109181059509865e-06
1952,9.90157104752143e-07
1953,1.1204780321349972e-06
1954,9.772536486707395e-07
1955,8.503360504619195e-07
1956,9.758957730809925e-07
1957,9.798056908039143e-07
1958,8.305332244162855e-07
1959,9.897704558170517e-07
1960,1.0228991413896438e-06
1961,8.671302680340887e-07
1962,1.0324705499442643e-06
1963,9.207659559251624e-07
1964,1.0580021125861094e-06
1965,9.286057434110262e-07
1966,8.812667715574207e-07
1967,1.1808153885795036e-06
1968,1.1255488061578944e-06
1969,1.3448144500216586e-06
1970,1.0370124527980806e-06
1971,8.951088261710538e-07
1972,8.767420922595193e-07
1973,1.0375849797128467e-06
1974,1.0418558531455346e-06
1975,9.675247838458745e-07
1976,9.318762295151828e-07
1977,9.420481319466489e-07
1978,9.807915830606362e-07
1979,1.01590262602258e-06
1980,9.45440547184262e-07
1981,9.45669626162271e-07
1982,9.168480801236001e-07
1983,8.310955763590755e-07
1984,9.41758969474904e-07
1985,8.578185770602431e-07
1986,7.906726295914268e-07
1987,8.897349061953719e-07
1988,8.557082082916168e-07
1989,8.523053907083522e-07
1990,8.450857649222598e-07
1991,8.53429355629487e-07
1992,9.207116704601503e-07
1993,1.002042608888587e-06
1994,9.326070085080573e-07
1995,8.703033813617367e-07
1996,9.341661098005716e-07
1997,8.482168141199509e-07
1998,9.908172842187923e-07
1999,8.902752028916439e-07
2000,8.36775143397972e-07
2001,8.981484143077978e-07
2002,9.472200872551184e-07
2003,1.0579817626421573e-06
2004,9.85792325991497e-07
2005,8.903912771529576e-07
2006,8.849345363159955e-07
2007,8.468296641694906e-07
2008,8.123195129883243e-07
2009,8.783010798651958e-07
2010,7.83204882282007e-07
2011,7.950037570481072e-07
2012,9.385524890603847e-07
2013,9.156697728940344e-07
2014,1.005632725536998e-06
2015,1.0038869504569448e-06
2016,1.392354761264869e-06
2017,1.073662929229613e-06
2018,8.890571621122945e-07
2019,8.459075502287305e-07
