year,des_DET airs_NOUN,des_DET verts_ADJ
1800,1.9305169658423438e-06,0.0
1801,1.514432067750704e-06,0.0
1802,1.609007057368217e-06,0.0
1803,1.7045964781914336e-06,0.0
1804,2.031861363605003e-06,0.0
1805,1.6289689126480766e-06,2.842877711017877e-09
1806,2.4321286673512077e-06,0.0
1807,1.6853974180719433e-06,0.0
1808,1.8400520644945573e-06,0.0
1809,1.6468332475483294e-06,0.0
1810,2.5975406430234216e-06,0.0
1811,2.2062274780410007e-06,0.0
1812,1.7150148821087896e-06,0.0
1813,2.2286997882758897e-06,0.0
1814,2.0359000529879268e-06,0.0
1815,1.151714417169103e-06,0.0
1816,1.3418926556596489e-06,0.0
1817,1.6627408570002444e-06,0.0
1818,1.6308170760481744e-06,0.0
1819,1.495726777989148e-06,0.0
1820,1.940169710223927e-06,0.0
1821,1.4900709235377008e-06,0.0
1822,1.6903187969319333e-06,0.0
1823,1.6691858242268154e-06,0.0
1824,1.5318003860897988e-06,0.0
1825,1.7681329573804305e-06,0.0
1826,1.4621254500468694e-06,0.0
1827,1.1825761010442193e-06,0.0
1828,1.3740107824844472e-06,0.0
1829,1.3717082136821546e-06,0.0
1830,1.652151127018442e-06,0.0
1831,1.4437456314908559e-06,0.0
1832,1.6290083664216581e-06,0.0
1833,1.692368128303201e-06,0.0
1834,1.4617875230271693e-06,0.0
1835,2.072286044096927e-06,0.0
1836,1.4785650712667575e-06,0.0
1837,1.4423708147859315e-06,0.0
1838,1.5433235649453536e-06,0.0
1839,1.7059199706181971e-06,0.0
1840,1.4790416997811917e-06,0.0
1841,1.596790447422336e-06,0.0
1842,1.6992035796192795e-06,0.0
1843,1.7130041811697083e-06,0.0
1844,1.6449218165348611e-06,0.0
1845,1.343718853519249e-06,0.0
1846,1.5087050151407766e-06,0.0
1847,1.3671822181038351e-06,3.775256551818984e-09
1848,1.5519232903216107e-06,0.0
1849,1.539298523312027e-06,0.0
1850,1.2220192786571715e-06,0.0
1851,1.2756989651308004e-06,0.0
1852,1.5840156546431672e-06,1.3021090872200602e-09
1853,1.6166019918273378e-06,0.0
1854,1.4360816216196781e-06,0.0
1855,1.7979903113030105e-06,0.0
1856,1.812533945155792e-06,0.0
1857,1.770035183312757e-06,0.0
1858,1.914895452870269e-06,0.0
1859,1.8591524533206893e-06,5.092173349652285e-10
1860,1.9251635201555928e-06,0.0
1861,1.9288291834840265e-06,0.0
1862,1.8026765253864596e-06,0.0
1863,1.7641001193169359e-06,1.4983863039219614e-09
1864,1.7898718951414594e-06,0.0
1865,1.7490633963390678e-06,1.4120533631256649e-09
1866,1.8270376607176786e-06,4.865612912574591e-10
1867,1.8125251433076528e-06,0.0
1868,1.8361512310605121e-06,9.87974813071446e-10
1869,1.8352264561372067e-06,4.883519144627257e-10
1870,1.6852369242315035e-06,2.8670243956696595e-09
1871,1.6154811071089625e-06,0.0
1872,1.7216775152206765e-06,0.0
1873,1.4905151246580317e-06,0.0
1874,1.5283050114334173e-06,0.0
1875,1.6964327826940462e-06,1.716458086775674e-09
1876,1.6547942500722002e-06,1.209202959984168e-09
1877,1.775042161256124e-06,1.2369631985365004e-09
