year,soixante - dix voix
1800,1.0334305855508319e-08
1801,0.0
1802,7.390513090399509e-09
1803,6.4285670120511895e-09
1804,0.0
1805,3.122235137098528e-09
1806,1.2639726598706602e-08
1807,3.114948521343308e-09
1808,1.992118470184323e-08
1809,1.2354796297131543e-08
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,5.0662816164503965e-09
1817,3.4122471515019015e-09
1818,0.0
1819,0.0
1820,1.2948726535455535e-09
1821,3.2400966354373395e-09
1822,0.0
1823,4.31834878966697e-09
1824,3.6750154031039983e-09
1825,7.688563563590378e-09
1826,2.883177252499536e-09
1827,2.0121309063370063e-09
1828,1.0023107677170628e-08
1829,4.682747078987859e-09
1830,6.848352551713788e-09
1831,3.422896410754106e-09
1832,4.447881618574456e-09
1833,1.2673779803407115e-09
1834,1.0228743407836305e-09
1835,3.319842178939325e-09
1836,2.937395882085525e-09
1837,9.868283967762181e-09
1838,8.258691508444826e-09
1839,8.406837004315548e-09
1840,8.350246716304355e-09
1841,3.5098950412759677e-09
1842,1.4670415993123243e-08
1843,1.5490027038822518e-08
1844,2.3935895487881e-09
1845,1.3420890176973899e-08
1846,3.843962925742517e-09
1847,1.0014019835580257e-08
1848,4.40450831362682e-09
1849,7.339369112457916e-09
1850,2.52622260887847e-08
1851,1.2705423380054981e-08
1852,2.140059685018514e-09
1853,3.922225211283603e-09
1854,5.6831837014215125e-09
1855,4.072451709191682e-09
1856,9.073824358551974e-09
1857,1.0164424857350696e-08
1858,5.897086374773153e-09
1859,4.4594083981053245e-09
1860,1.1541358979627603e-08
1861,1.4458763075708703e-08
1862,3.515270563525519e-08
1863,5.482613474327991e-09
1864,4.199631753465383e-09
1865,2.373418617196421e-08
1866,2.6696531651992927e-09
1867,3.1939990652318784e-09
1868,2.7049558148917185e-09
1869,1.7679131047998453e-08
1870,9.42493283417889e-09
1871,2.2163359147953088e-08
1872,6.633511517861734e-09
1873,3.936254877601186e-09
1874,1.3765844464330712e-08
1875,1.1316546810746786e-08
1876,9.961246938416934e-09
1877,3.4037799245822953e-09
1878,1.0634940039722096e-08
1879,1.4113111568292425e-08
1880,1.6960759907647116e-08
1881,8.452832211958139e-09
1882,8.060396794462577e-09
1883,5.573287609195177e-09
1884,7.27484239515519e-10
1885,2.2726668547079498e-08
1886,7.111462529962864e-10
1887,8.643148419196223e-09
1888,2.795607745298412e-09
1889,2.0742185746769337e-09
1890,1.1566359425785322e-08
1891,0.0
1892,5.533750790931435e-09
1893,1.2906589574868121e-08
1894,0.0
1895,1.99258720634532e-09
1896,1.3008708554806958e-09
1897,1.2883683009334845e-09
1898,1.872777710687501e-09
1899,5.490369048288812e-09
1900,1.0324807675488046e-08
1901,4.93387686262281e-09
1902,2.1628610014090555e-09
1903,4.172694634263507e-09
1904,5.93522675451652e-10
