year,aux_ADP ans_NOUN,aux_ADP vents_NOUN
1800,2.5153315874604232e-08,2.392709099297008e-06
1801,3.0955374485941434e-08,1.8477977303810178e-06
1802,6.713520406265161e-08,2.179656377165884e-06
1803,9.751696339321825e-09,1.924984748935543e-06
1804,4.943701892301533e-09,2.9143123576602648e-06
1805,1.1371510844071508e-08,1.7966987397866063e-06
1806,7.204172636221529e-08,1.815451556197445e-06
1807,3.131650672116848e-08,1.5402027404576302e-06
1808,2.4926813502190726e-08,1.9352272317973984e-06
1809,9.036122072814123e-09,2.0399044893260054e-06
1810,1.4040760554223652e-08,2.634982749327719e-06
1811,8.774768645025688e-08,1.8978571301175862e-06
1812,2.1337665856435706e-08,1.4402924151113439e-06
1813,1.7254450312975678e-08,1.7685811661838358e-06
1814,1.8880061958270744e-08,1.2209107191907265e-06
1815,4.315557688983063e-08,1.842203698032563e-06
1816,2.3176038865813098e-08,1.520348163808194e-06
1817,1.5568734412774177e-08,1.4759160468225119e-06
1818,2.6226590676969863e-08,1.7011519632958993e-06
1819,4.968504008218133e-08,1.1458612103609767e-06
1820,1.6613073583471305e-08,1.5402691984078842e-06
1821,1.0847637454958203e-08,1.2869242413948712e-06
1822,4.110502516141423e-08,1.5800370221086268e-06
1823,1.1859224047228167e-08,1.289690584993508e-06
1824,7.831634540877985e-08,1.5966429458558196e-06
1825,2.0252518551089338e-08,1.5920241018818615e-06
1826,1.6735169472426037e-08,1.4682909643681796e-06
1827,1.198245475064752e-08,1.3392698047232088e-06
1828,1.9261833017480967e-08,1.1602960701129206e-06
1829,1.971830487779158e-08,1.1873849166121886e-06
1830,2.5048405571936883e-08,1.294167616627817e-06
1831,9.354723218280014e-09,1.4499821476832153e-06
1832,2.3000947924067816e-08,1.6208903704795219e-06
1833,2.5483982257767934e-08,2.220581565737234e-06
1834,2.7070139907436896e-08,1.7866292028045905e-06
1835,1.663879345414898e-08,1.4974913824516989e-06
1836,2.3522625958172227e-08,1.4960389167484323e-06
1837,1.2524203452102256e-08,1.5933570356452265e-06
1838,2.398621434807069e-08,1.369107886173282e-06
1839,1.6080393461237463e-08,1.2759442249432595e-06
1840,3.3759350870354865e-08,1.6694954556584207e-06
1841,8.988767952189392e-09,1.143499698486039e-06
1842,1.609983613093391e-08,1.1759588858240022e-06
1843,3.366939316240547e-08,1.3071994642288587e-06
1844,1.1525978838022866e-08,1.399583162253748e-06
1845,1.0044410247989077e-08,1.215373641727524e-06
1846,1.4050803187615202e-08,1.1527513272824308e-06
1847,1.887628364727334e-08,1.115318609912208e-06
1848,2.091757700384278e-08,1.2413777406017346e-06
1849,4.77626631578687e-08,1.380089600822032e-06
1850,2.2403687793826066e-08,1.2403495359691874e-06
1851,1.805842853030981e-08,1.0751214940540876e-06
1852,2.148479971708639e-08,1.1491112683614801e-06
1853,1.4332636411040767e-08,1.2015526831277157e-06
1854,1.8184825922862302e-08,1.2370877024991955e-06
1855,1.963566731433275e-08,1.2614589515180796e-06
1856,1.4496130074093116e-08,1.2414899419610492e-06
1857,2.147864064383498e-08,1.1754673598929344e-06
1858,2.936205545367443e-08,1.1876952052958245e-06
1859,2.4442432078330967e-08,1.1177320367039556e-06
1860,2.8378539518314483e-08,1.2161577256364353e-06
1861,2.640939672504672e-08,1.2153038300155572e-06
1862,2.93669109308059e-08,1.1290447243794688e-06
1863,2.697095197179422e-08,1.2406637948103594e-06
1864,2.828889567041415e-08,1.2375193145786056e-06
1865,1.7415323849689912e-08,1.0176197600131331e-06
1866,2.0435575009969398e-08,1.1716396048910838e-06
1867,2.329349513274792e-08,1.071986050149576e-06
1868,1.6795571822214583e-08,1.0161320949109154e-06
1869,1.611561362135916e-08,9.576581292414232e-07
1870,1.0321287380321564e-08,1.1479565467098496e-06
1871,1.8056001360733376e-08,8.773092492475598e-07
1872,1.6932550250814415e-08,1.0921494881799276e-06
