year,plus_ADV eu_VERB,plus_ADV vu_VERB
1800,6.382653623404622e-07,2.8297480980654655e-07
1801,8.857999205247324e-07,2.3573707608193217e-07
1802,9.689847502158955e-07,1.9245425164626795e-07
1803,7.547812970187806e-07,2.945012340660469e-07
1804,7.909923169791e-07,2.026917798048089e-07
1805,9.324638767793658e-07,1.705726617728942e-07
1806,6.656655955339374e-07,1.4696512096179504e-07
1807,8.512395766047121e-07,1.9643989901396708e-07
1808,9.562832019582856e-07,2.447359861434961e-07
1809,1.070780513146019e-06,1.9427662323323602e-07
1810,9.313704367741593e-07,1.2168659679900884e-07
1811,1.0153661378353718e-06,1.1031137603367824e-07
1812,9.735309731695452e-07,1.226915742336132e-07
1813,1.1502966117404867e-06,2.5594101771275746e-07
1814,7.898159424257756e-07,2.8949429520253034e-07
1815,1.1652006151052774e-06,2.454473531088297e-07
1816,9.502176112619054e-07,1.6918508549679245e-07
1817,9.590339686837979e-07,1.9149543106777855e-07
1818,1.0097237463924102e-06,2.491526061021432e-07
1819,9.057168881554389e-07,1.366338580055526e-07
1820,9.88477836472157e-07,2.5275605253227695e-07
1821,9.930519127010484e-07,1.824375317482918e-07
1822,8.712260068932665e-07,2.325942887182464e-07
1823,1.0485530310688773e-06,1.4922856905741355e-07
1824,8.783220550867554e-07,2.0210670470532932e-07
1825,9.589127785147866e-07,2.747298140093335e-07
1826,8.78156015460263e-07,1.9994124045297212e-07
1827,9.632050250729662e-07,1.7328473234101693e-07
1828,1.0337183766750968e-06,1.72439257539736e-07
1829,1.0176360092373216e-06,1.9032451348266477e-07
1830,9.372278668706713e-07,1.8786305133744463e-07
1831,9.167629286821466e-07,2.759643393801525e-07
1832,9.268028975384368e-07,2.1377351799856115e-07
1833,9.417490218766034e-07,1.610124371609345e-07
1834,9.297193059865094e-07,1.764226311706807e-07
1835,9.408481673744973e-07,2.299178731846041e-07
1836,1.0034079878096236e-06,2.6412547526888375e-07
1837,1.0235057743557263e-06,2.2821882339485455e-07
1838,8.319429412040336e-07,2.2281930966983055e-07
1839,1.0095690186062711e-06,2.251255040164324e-07
1840,1.0573683084658114e-06,2.1975425568143692e-07
1841,1.1409314311094931e-06,2.131622096612773e-07
1842,1.0236811931463308e-06,1.737440697979764e-07
1843,9.557381872582482e-07,1.2581720909565774e-07
1844,8.6938808863124e-07,1.3172547141948598e-07
1845,8.911624149732233e-07,1.78009273099633e-07
1846,8.816879244477605e-07,1.77391385136616e-07
1847,9.448928040001192e-07,1.4345974364005087e-07
1848,1.034615479511558e-06,1.6734061603074224e-07
1849,1.0139092410099693e-06,1.5418123666677275e-07
1850,9.647163778936374e-07,1.4867900688386726e-07
1851,1.1060787983296905e-06,1.7864945789369813e-07
1852,1.0241087693430018e-06,1.3476828542025032e-07
1853,1.0856972494366346e-06,1.594505789626055e-07
