year,mes_DET yeux_NOUN,mes_DET vieux_ADJ
1915,6.2167081011921255e-06,2.1794409299502604e-07
1916,7.178108944572159e-06,3.087476709850989e-07
1917,7.728039179255575e-06,2.8403039298297017e-07
1918,7.680939859255886e-06,3.480372150477251e-07
1919,8.688526008882036e-06,2.661068063680716e-07
1920,7.679757288769906e-06,2.377680807796878e-07
1921,8.151305507908546e-06,2.6656071838715434e-07
1922,8.751707127885311e-06,3.342204832890161e-07
1923,9.295324218783207e-06,3.014929128575261e-07
1924,9.403151011611044e-06,2.6814577891443037e-07
1925,9.479329776240775e-06,3.387438756163874e-07
1926,9.270243765513442e-06,3.065188121098572e-07
1927,1.0570580514013272e-05,3.1775290132429745e-07
1928,8.211895647036727e-06,2.94791865584898e-07
1929,9.332318256838334e-06,2.65141683275516e-07
1930,8.036307178826974e-06,3.046045069510228e-07
1931,7.026840364687814e-06,2.5091785449404824e-07
1932,6.98670461929396e-06,2.6302887157214627e-07
1933,6.354746659553712e-06,2.8447243671791966e-07
1934,6.7012977638114535e-06,2.276500161713102e-07
1935,6.5490451959249185e-06,2.5851493212769583e-07
1936,6.480660090346646e-06,2.1097003788383972e-07
1937,6.078991987124027e-06,2.5434057437934143e-07
1938,7.375910286100407e-06,2.424495093578116e-07
1939,6.738558681718132e-06,2.2176373537519112e-07
1940,5.170461548686944e-06,1.6229010468826743e-07
1941,7.142636320622842e-06,3.276167976906663e-07
1942,8.113482351745915e-06,2.548737922936084e-07
1943,8.808415884686838e-06,3.0774292358870525e-07
1944,8.919805054574681e-06,3.341713643578714e-07
1945,8.981972371202573e-06,3.3984664149500077e-07
1946,9.934099580277689e-06,3.034800624135414e-07
1947,9.82160543117061e-06,3.7550744558245697e-07
1948,8.54530401284137e-06,2.75058766874281e-07
1949,7.46681632790569e-06,2.591690080322451e-07
1950,8.71674211566642e-06,2.701381820457982e-07
1951,9.372438569243968e-06,2.6440276634787097e-07
1952,7.297004344763991e-06,2.7943729952184526e-07
1953,7.302500108608001e-06,2.434884942559279e-07
1954,9.135366894952313e-06,2.1890480184083572e-07
1955,7.562922803572292e-06,2.1962322804824908e-07
1956,8.049613882121776e-06,2.6076213188730435e-07
1957,7.095418652625085e-06,2.1027390095795795e-07
1958,8.25900821155301e-06,2.3410448601879352e-07
1959,7.508924454668886e-06,2.4182333913103093e-07
1960,8.869048258475232e-06,2.643758216791525e-07
1961,8.532339165867597e-06,2.3345814970099354e-07
1962,8.988455135749973e-06,3.2153718798610953e-07
1963,8.216414073558553e-06,2.8515294303588234e-07
1964,8.293057305763796e-06,3.181915437799887e-07
1965,8.62120441524894e-06,1.95351951504108e-07
1966,7.675495936609877e-06,2.1768563573942856e-07
1967,8.859813078743173e-06,2.7018240356113665e-07
1968,1.0162277703784639e-05,3.0676369355830957e-07
1969,7.66512454219992e-06,2.1028338759165877e-07
1970,7.704703875788255e-06,2.6902542193951717e-07
1971,8.745552520394995e-06,2.831256988855557e-07
1972,7.724975262135558e-06,2.2777851427235873e-07
1973,7.306648797111848e-06,2.1997682431162957e-07
1974,5.882660474298973e-06,1.5189044022534404e-07
1975,6.461968837356835e-06,1.964749132277177e-07
1976,6.380866921062989e-06,1.89689097318535e-07
1977,6.3674929151602555e-06,1.8100487508831975e-07
1978,6.730690046197196e-06,1.9722763422436174e-07
1979,7.92357178625025e-06,2.3700492679523677e-07
1980,6.8886970439052675e-06,1.950006680573324e-07
1981,6.988466935808901e-06,2.245570112080486e-07
1982,6.565675278125127e-06,2.1540033356970412e-07
1983,7.117992709027021e-06,2.1282615314532904e-07
1984,7.313129742669844e-06,2.0180548920833985e-07
1985,6.841494354148381e-06,1.949040875359742e-07
1986,7.83958790862016e-06,2.1999761923297e-07
1987,7.424642575415419e-06,1.961572181352622e-07
1988,6.861856377327058e-06,2.044824887192931e-07
1989,7.395244693952918e-06,2.2611063155153488e-07
1990,6.852768422049849e-06,1.8252980993338497e-07
1991,6.823331858640813e-06,1.9284220442727928e-07
1992,6.9744873485433345e-06,2.0441892623068725e-07
1993,7.823576481769123e-06,2.110437957725253e-07
1994,7.392282213913859e-06,2.0097470887492364e-07
1995,7.869602939081233e-06,2.450947746979182e-07
1996,7.072438165778294e-06,1.8096132015088529e-07
1997,7.119459155546792e-06,1.9371373927157265e-07
1998,7.801136462148861e-06,2.3792964132240968e-07
1999,7.878112853632047e-06,2.1297137475784211e-07
2000,7.710348711498227e-06,2.482933654235353e-07
2001,7.4432406336200074e-06,2.006594961301289e-07
2002,8.305043820655555e-06,2.0854614302123764e-07
2003,7.929654202598613e-06,2.2418045020344834e-07
2004,8.126399279717589e-06,2.1275141559584654e-07
2005,8.000460979928903e-06,2.125769809069311e-07
2006,8.485735691010632e-06,2.3348435718162364e-07
2007,9.349479000775318e-06,2.6323618396162374e-07
2008,9.556674797295273e-06,3.1590202631548436e-07
2009,9.672755481915374e-06,2.7083332554411754e-07
2010,1.2447667018022912e-05,3.278312288301777e-07
2011,1.3432466630547424e-05,3.9233952620065793e-07
2012,1.624815797640622e-05,4.84084727858658e-07
2013,1.89769286862429e-05,5.237976594685279e-07
2014,2.0392647911648965e-05,5.775242133410075e-07
2015,2.1444258891278878e-05,5.849542308311584e-07
2016,2.3243335817824118e-05,6.547505719822766e-07
2017,2.527233527871431e-05,5.318002500587227e-07
2018,2.85523128695786e-05,6.236823573146921e-07
2019,2.778484804366599e-05,6.015228883882173e-07
