year,les_DET idéaux_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,5.176335093892703e-08
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,0.0
1819,0.0
1820,0.0
1821,9.86148829262845e-10
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,3.6869092223668076e-09
1828,9.172301140836225e-09
1829,0.0
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,0.0
1834,9.334530925997342e-10
1835,1.3613558280667348e-08
1836,4.704524991794301e-09
1837,0.0
1838,0.0
1839,6.222413162504381e-08
1840,3.821813254756279e-09
1841,0.0
1842,2.683306021822318e-09
1843,7.088293507706567e-09
1844,3.2931368743049916e-09
1845,3.9061593959388574e-09
1846,5.854501328173001e-09
1847,2.1572894581822766e-09
1848,1.367687652020777e-08
1849,1.0893239199560867e-08
1850,4.752297222410107e-09
1851,1.9348316282474798e-09
1852,9.765818376195057e-09
1853,2.388772735173461e-09
1854,2.0782657816909023e-09
1855,4.776243400783642e-09
1856,1.9155599773057475e-08
1857,0.0
1858,3.572383500127785e-08
1859,2.0877910955618972e-08
1860,4.57718396518203e-09
1861,1.5562680033553988e-08
1862,3.162590411776023e-09
1863,5.494082799817335e-09
1864,1.534312965567608e-08
1865,7.530950973944073e-09
1866,5.352174259343201e-09
1867,4.367530337390235e-09
1868,1.975949626142892e-09
1869,5.860222973552709e-09
1870,5.734048791339319e-10
1871,1.3807530230280918e-08
1872,6.652073114565837e-09
1873,2.9930022904522957e-09
1874,1.5533982988813477e-08
1875,2.2886108563824337e-09
1876,3.748529309177684e-08
1877,1.471986230683342e-07
1878,6.642997596451039e-09
1879,1.4662381087049425e-08
1880,1.1552122813895949e-08
1881,1.3945015142624584e-09
1882,8.652000893505374e-09
1883,1.327061183165057e-08
1884,8.582206056928499e-09
1885,3.931837810888794e-08
1886,1.742435196128156e-08
1887,1.762809653804709e-08
1888,1.141310668195672e-08
1889,4.385595886446936e-09
1890,2.359579076571805e-08
1891,3.378336788095737e-08
1892,5.390920598813409e-08
1893,1.2932674486876294e-08
1894,2.0164925729204697e-08
1895,2.9491210806753543e-08
1896,4.0689499325452516e-08
1897,5.010973547214803e-08
1898,2.2633418694795182e-08
1899,3.6482015630667775e-08
1900,5.502516442490446e-08
1901,6.4270499144925e-08
1902,3.388095920486833e-08
1903,5.2922159099466626e-08
1904,7.148251679467421e-08
1905,5.7800501718219266e-08
1906,1.332343781967893e-07
1907,1.4091391165038658e-07
1908,9.478980977917217e-08
1909,1.2542242266988524e-07
1910,9.245380638844836e-08
1911,2.527177684896742e-07
1912,1.1669103905376232e-07
1913,1.0552949758491081e-07
1914,7.835190496408018e-08
1915,6.008188746520204e-08
1916,8.350470892537487e-08
1917,1.2501723922753172e-07
