year,deux_DET oeufs_NOUN,deux_DET voeux_NOUN
1800,1.792173778270012e-07,0.0
1801,1.5239568051939045e-07,0.0
1802,1.1636768704192946e-07,0.0
1803,7.118738443168127e-07,0.0
1804,1.8786066657838774e-07,0.0
1805,2.5585899399160894e-08,0.0
1806,2.305335300434308e-08,0.0
1807,3.701041606518629e-08,2.8469551160981155e-09
1808,3.3991110370834576e-08,0.0
1809,2.710836710662079e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,1.2535384286138651e-08,5.0141535368197765e-09
1812,2.6672082320544632e-09,0.0
1813,4.3136124450171565e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,4.0458352890127e-08,0.0
1816,1.622322720606917e-08,0.0
1817,9.029865566390072e-08,0.0
1818,1.2517236314124602e-07,0.0
1819,4.140420006848444e-09,0.0
1820,2.3732963150280284e-08,0.0
1821,1.7750679148775816e-08,0.0
1822,1.1028177482330648e-08,0.0
1823,4.644862983127496e-08,0.0
1824,1.0947446504872005e-08,0.0
1825,2.905796137042671e-08,8.805443041381977e-10
1826,2.9947145208097936e-08,0.0
1827,1.3825909916942436e-08,0.0
1828,1.9261833017480967e-08,0.0
1829,1.2002446148073886e-08,0.0
1830,1.2524203230057651e-08,0.0
1831,2.494592976631793e-08,0.0
1832,5.411987746839486e-09,0.0
1833,1.7375443306377747e-08,0.0
1834,1.120143711119681e-08,0.0
1835,2.3445572594482655e-08,0.0
1836,1.7473950453261722e-08,0.0
1837,9.74104708006962e-09,0.0
1838,1.009945904684173e-08,0.0
1839,1.5381245721535208e-08,0.0
1840,1.7198159785181133e-08,0.0
1841,1.4767261635739715e-08,0.0
1842,1.0062397581833693e-08,0.0
1843,7.088293230150811e-09,0.0
1844,1.591682791124427e-08,0.0
1845,6.696273757711424e-09,0.0
1846,1.1123552079439492e-08,0.0
1847,7.011190739092399e-09,5.393223645455691e-10
1848,1.0458788002321029e-08,0.0
1849,1.5920887719289567e-08,8.379414939696517e-10
1850,1.5614690873633208e-08,0.0
1851,1.3543821175687754e-08,0.0
1852,2.6042181744401205e-09,0.0
1853,1.4332635966951557e-08,1.1943863675867306e-09
1854,6.754363734984281e-09,0.0
1855,7.960405667972736e-09,1.0613874223963649e-09
1856,8.28350277259915e-09,0.0
1857,6.345961978126979e-09,4.881509085841174e-10
1858,1.1744822003834088e-08,0.0
1859,3.5645213447565993e-09,1.018434669930457e-09
1860,5.034902272882391e-09,0.0
1861,5.187559992680946e-09,9.431927461278633e-10
1862,3.6595690033891515e-08,0.0
1863,1.148762801550518e-08,0.0
1864,7.1920918109924514e-09,0.0
1865,6.118897832863013e-09,0.0
1866,3.8924903300596725e-09,4.865612912574591e-10
1867,9.7056229719783e-10,0.0
1868,9.385760613156435e-09,4.93987406535723e-10
1869,3.4184632902167778e-09,1.953407657850903e-09
1870,5.160643912205387e-09,5.734048791339319e-10
1871,4.248470908407853e-09,0.0
1872,9.071008721939222e-09,0.0
1873,6.58460502789282e-09,0.0
1874,9.559374625212058e-09,0.0
1875,6.293679688518239e-09,0.0
1876,5.441413541973361e-09,4.232210137899983e-09
1877,8.658742389755503e-09,6.184815992682502e-10
