year,vingt - six îles,vingt - six villes
1800,3.4447684704730364e-09,1.0334305855508319e-08
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.7184055007012375e-09,0.0
1805,0.0,0.0
1806,1.2639726598706602e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,9.88383686006955e-09
1810,5.1285806712542126e-09,2.5642903356271063e-09
1811,0.0,2.7593034523931692e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,3.439378915004454e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.02367412324611e-08
1818,0.0,1.5639875172723805e-08
1819,4.5224362033025045e-09,3.391827263499181e-09
1820,0.0,2.589745307091107e-09
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,1.0795871974167426e-09
1824,7.350030806207997e-09,0.0
1825,0.0,0.0
1826,4.805295716892033e-09,0.0
1827,1.0060654531685032e-09,0.0
1828,0.0,1.0023107899215233e-09
1829,0.0,0.0
1830,0.0,1.141392091952298e-09
1831,1.711448205377053e-09,3.422896455163027e-08
1832,0.0,1.1861017945591357e-08
1833,2.534755960681423e-09,1.774329128068075e-08
1834,8.182994726269044e-09,1.02287431857917e-08
1835,8.299605447348313e-10,4.149802723674156e-09
1836,4.406093712105985e-09,1.4686979410427625e-09
1837,5.313691708863644e-09,7.590987838312913e-10
1838,1.3764486217482386e-09,3.4411216098817476e-09
1839,7.642578792044219e-10,0.0
1840,4.175123358152177e-09,0.0
1841,7.01979030459654e-10,5.615832243677232e-09
1842,2.2005623989684864e-09,1.4670415993123243e-09
1843,9.035849402039275e-09,1.9362533798528148e-09
1844,1.795192217102226e-09,1.3763139961042725e-08
1845,6.100404625897227e-10,7.320485551076672e-09
1846,0.0,1.0891228363618666e-08
1847,3.5343599158466077e-09,8.24683976663465e-09
1848,2.6427049437671712e-09,1.761803325450728e-08
1849,2.1100685643204997e-08,1.834842278114479e-09
1850,2.2290200796248882e-09,8.916080318499553e-09
1851,2.117570563342497e-09,2.3999133347274437e-08
1852,3.5667659936677865e-09,4.280119370037028e-09
1853,0.0,2.614816807522402e-08
1854,5.683183923466117e-10,2.273273569386447e-09
1855,3.4906726398276078e-09,2.0944035838965647e-08
1856,5.671140224094984e-10,1.0775166536802772e-08
1857,5.349697351775262e-10,5.884666975930486e-09
1858,1.0721975529648375e-09,3.752691490888083e-09
1859,1.1148520995263311e-09,4.4594083981053245e-09
1860,6.523376949729709e-09,1.254495529678934e-08
1861,1.0327687594013923e-09,6.712996825086748e-09
1862,2.475542437707645e-09,5.446193718228187e-09
1863,4.386090601826709e-09,2.1930453009133544e-09
1864,1.0499079383663457e-09,7.3493557906090246e-09
1865,1.031921104122091e-09,1.0835171870837712e-08
1866,0.0,0.0
1867,5.323331775386464e-10,8.517330840618342e-09
1868,1.6229734223216497e-09,4.327929015168763e-09
1869,0.0,8.035968335207144e-09
1870,6.283288334074655e-10,5.026630667259724e-09
1871,1.1664925692045358e-09,0.0
1872,0.0,1.9900534553585203e-09
1873,0.0,5.90438187231257e-09
1874,0.0,5.899647437246358e-09
1875,1.886091061109596e-09,3.772182122219192e-09
1876,6.640831218263088e-10,1.3945745891419392e-08
1877,2.723024028483678e-09,4.084536264770122e-09
1878,2.658735009930524e-09,3.988102292851181e-09
1879,0.0,6.048476386411039e-09
1880,0.0,4.240189976911779e-09
1881,0.0,4.610635429003196e-09
1882,2.9310533999904465e-09,2.9310533999904465e-09
1883,0.0,2.0899828534481912e-09
1884,0.0,1.6004653990986384e-08
1885,1.4204167841924686e-09,2.130625231799854e-09
1886,0.0,1.0667193350855086e-08
1887,5.0418367258942e-09,2.881049621095144e-09
1888,6.290117315899124e-09,6.98901936324603e-10
1889,6.91406210062695e-10,4.1484371493538674e-09
1890,0.0,7.228974641115826e-10
