year,grands_ADJ airs_NOUN
1800,2.6725399493443547e-07
1801,1.8096987730586989e-07
1802,1.2531904758361634e-07
1803,1.2092102963379148e-07
1804,3.114532205472642e-07
1805,2.50173229687789e-07
1806,4.3513205127965193e-07
1807,2.1921555060089304e-07
1808,1.6768947830314573e-07
1809,1.8298146642337088e-07
1810,4.7036547812240315e-07
1811,4.086535057012952e-07
1812,3.414026537029713e-07
1813,3.36461766892171e-07
1814,1.9194730782601255e-07
1815,1.780167480092132e-07
1816,2.0394914201915526e-07
1817,3.674221318306081e-07
1818,2.1577331210664852e-07
1819,2.1530183857976226e-07
1820,3.0259528216447507e-07
1821,3.303598532511387e-07
1822,2.3760709666476032e-07
1823,2.8956273467883875e-07
1824,3.5200250181333104e-07
1825,3.0114614446574706e-07
1826,1.7175570121708006e-07
1827,1.1245072784049626e-07
1828,2.1738354405442806e-07
1829,4.878137360719847e-07
1830,3.9346872426904156e-07
1831,2.744052380876383e-07
1832,3.5989717162010493e-07
1833,2.872739912618272e-07
1834,2.5389923052898666e-07
1835,3.947931759284984e-07
1836,2.2447305525474803e-07
1837,2.2891461526342027e-07
1838,2.7016054104933573e-07
1839,2.747649716638989e-07
1840,3.4205228871542204e-07
1841,2.1573043795797275e-07
1842,3.723087047546869e-07
1843,2.746713789747446e-07
1844,2.2118902620604786e-07
1845,3.0691253982695343e-07
1846,3.354629143359489e-07
1847,1.7096519400183752e-07
1848,2.2204811500614596e-07
1849,2.1283713635966706e-07
1850,1.7108270355947752e-07
1851,2.61847219462652e-07
1852,2.584686455975316e-07
1853,3.2606746458441194e-07
1854,2.156200764602545e-07
1855,3.730776825250359e-07
1856,4.581812333981361e-07
1857,4.398239639158419e-07
1858,4.0519637423130916e-07
1859,4.297794191643334e-07
1860,3.80363985641452e-07
1861,3.107820134573558e-07
1862,3.162590473948512e-07
1863,3.636083931723988e-07
1864,4.2193605054308136e-07
1865,4.0431794445794367e-07
1866,3.7173282407820807e-07
1867,3.891954918344709e-07
1868,3.166459237036179e-07
1869,3.3061425597225025e-07
1870,2.9587693006760674e-07
1871,3.3669132903924037e-07
1872,2.8301548127274145e-07
1873,2.585954064215912e-07
1874,3.142644402487349e-07
1875,2.6090162918990245e-07
1876,2.5876943254843354e-07
1877,3.3274309885200637e-07
1878,3.055778847738111e-07
1879,3.0180066801221983e-07
1880,2.194903458985209e-07
1881,3.1376285392070713e-07
1882,3.414212699226482e-07
1883,2.9574505333584966e-07
1884,3.7959756582495174e-07
1885,2.9327642891985306e-07
1886,2.9879538487875834e-07
