year,longues_ADJ allées_NOUN,longues_ADJ vallées_NOUN
1800,1.3519907327008696e-07,9.432493897065797e-09
1801,6.667310969987739e-08,4.7623651688866175e-09
1802,1.0294064622939914e-07,0.0
1803,2.0088494068204454e-07,3.315576790896557e-08
1804,1.3842365831351344e-07,2.4718509461507665e-09
1805,1.449867568226182e-07,2.842877755426798e-08
1806,1.9019016406218725e-07,0.0
1807,1.366538526781369e-07,1.7081731584767113e-08
1808,1.2916622438297054e-07,2.039466551195801e-08
1809,1.400598961254218e-07,9.036122072814123e-09
1810,7.722418615685456e-08,2.106114038724627e-08
1811,1.2033967777824728e-07,8.774768645025688e-08
1812,1.1202274663446588e-07,8.00162425207418e-09
1813,8.339650747757332e-08,1.7254450312975678e-08
1814,9.125363931161701e-08,3.1466771410748606e-09
1815,3.776112933451259e-08,1.6183340889597275e-08
1816,8.806894413737609e-08,3.0128852301913867e-08
1817,1.120948880384276e-07,2.9580593974287694e-08
1818,1.4066989706407185e-07,5.960588467246453e-09
1819,1.0040518816367694e-07,2.070209959015301e-08
1820,5.93324074316115e-08,4.746592452420373e-09
1821,5.719663320746804e-08,1.7750679148775816e-08
1822,9.123310462655354e-08,2.606660132187244e-08
1823,9.78386012207011e-08,1.7788837070042973e-08
1824,8.336901657912676e-08,3.03160057057994e-08
1825,1.2239566160587856e-07,2.993850500843109e-08
1826,8.191425138193154e-08,2.3781558056157337e-08
1827,3.2260455640198415e-08,9.217273166939322e-09
1828,8.346793833879929e-08,5.503380862137419e-09
1829,1.0202079181453882e-07,2.0575622983187714e-08
1830,9.810625556383457e-08,3.965997663613052e-08
1831,9.354723573551382e-08,7.795603274018958e-09
1832,6.3590853471851e-08,1.8941957335982806e-08
1833,1.7491278470060934e-07,1.1583628278799551e-08
1834,1.0081293311259287e-07,1.0267983796552471e-08
1835,1.1495893659230205e-07,2.4201881387853064e-08
1836,9.812295331812493e-08,2.083432448785061e-08
1837,8.071153700939249e-08,3.75726116885744e-08
1838,1.0730675370496101e-07,4.9234863297442644e-08
1839,1.2444826325008762e-07,2.7965899818127582e-08
1840,1.0892167523479657e-07,1.3376346252869098e-08
1841,1.046549442662581e-07,2.5682194149112547e-08
1842,5.9032732480091e-08,1.0733224087289273e-08
1843,1.0691508833815533e-07,2.3627643841450663e-08
1844,1.0483152124152184e-07,1.0428266250528395e-08
1845,8.035528509253709e-08,1.1160455670733427e-08
1846,9.894107222407911e-08,3.805426018743674e-08
1847,7.496581133636937e-08,3.721324404182269e-08
1848,5.470750608083108e-08,4.585776380849893e-08
1849,1.1731180649121598e-07,3.351765798242923e-08
1850,1.1201843364005981e-07,1.8330290174617403e-08
1851,1.1544495492898932e-07,3.740674614505224e-08
1852,8.138182039374442e-08,4.231854688896419e-08
1853,1.1167512781184996e-07,3.523439673358553e-08
1854,6.442623856628416e-08,3.065441944727354e-08
1855,7.53585069901419e-08,3.502578493908004e-08
1856,8.490590630572115e-08,2.485050742961903e-08
1857,9.860648475523703e-08,5.662550606189143e-08
1858,9.983099147348184e-08,2.2510910469009104e-08
1859,9.318677030023537e-08,2.7497735644033128e-08
1860,1.4235041589927278e-07,3.7990627532735743e-08
1861,7.734180229590493e-08,2.782418562219391e-08
1862,8.900433101644012e-08,5.511943257374696e-08
1863,8.740586565636477e-08,2.2975255475898848e-08
1864,7.911300770047092e-08,5.5618844641003307e-08
1865,9.037141524004255e-08,2.7770381549885315e-08
1866,1.0898973101802767e-07,3.3572728597164314e-08
1867,9.074757656435395e-08,2.329349513274792e-08
1868,5.730253960223308e-08,5.236266531483125e-08
1869,9.474027251599182e-08,2.490594752657671e-08
1870,6.250112960515253e-08,3.039045992636602e-08
1871,4.885741589077952e-08,8.496941816815706e-09
1872,4.9588180672799353e-08,3.265563108811875e-08
1873,8.08110627303904e-08,1.97538145840781e-08
1874,6.333085877940903e-08,2.6885741633009275e-08
1875,7.380769773135398e-08,3.089624556196213e-08
1876,8.34350046829968e-08,4.6554312405078235e-08
1877,6.679601227688181e-08,5.1952454782622226e-08
1878,5.1332254003000344e-08,3.5026715750063886e-08
1879,4.948553566919145e-08,4.7041805117942204e-08
1880,6.417846520889725e-08,2.5671385017744797e-08
1881,7.669758161910067e-08,4.322954794133693e-08
1882,8.0530156765235e-08,2.3959387362992857e-08
1883,7.204046426068089e-08,3.09647596452578e-08
1884,9.836528391815591e-08,3.498899303622238e-08
1885,7.154655889962669e-08,1.2246707647989297e-08
1886,6.066255764380912e-08,2.9040586824180536e-08
1887,5.876032105334161e-08,3.590908548289917e-08
1888,6.404020780337305e-08,2.0924028731883482e-08
1889,7.51816386923565e-08,2.8193115397812107e-08
1890,6.554386544621593e-08,5.767860145056147e-08
1891,7.01164211136529e-08,3.378336543846672e-08
1892,7.584900174606446e-08,2.570090096298827e-08
1893,4.9883173147691195e-08,2.894455697344256e-08
1894,6.049477718761409e-08,3.4028310835765296e-08
1895,6.138986918813316e-08,2.166701307260155e-08
1896,8.019959096827733e-08,2.4177818858106548e-08
1897,5.7684463428131494e-08,2.330685333618021e-08
1898,5.092519472782442e-08,1.584339415217073e-08
1899,5.417026827103655e-08,1.492446166651007e-08
1900,4.879590065343109e-08,2.1283318218934255e-08
1901,3.688567673520993e-08,1.620734302321125e-08
1902,4.713872669981356e-08,1.276673788908056e-08
1903,4.482182802689749e-08,2.5381035939631147e-08
1904,6.288311737989716e-08,4.08471514390385e-08
1905,5.470404573770793e-08,2.580379465655369e-08
1906,5.65860283074926e-08,2.6749759740596346e-08
1907,7.354265818548811e-08,2.674278576364486e-08
1908,4.4202501214840595e-08,2.8486056180554442e-08
1909,5.721022944271681e-08,2.8055016088046614e-08
1910,6.41298072423524e-08,2.5651923252212327e-08
1911,7.235708920916295e-08,3.511446777793026e-08
1912,5.3136098188133474e-08,1.510732161591477e-08
1913,5.6211689525298425e-08,2.1211958411981868e-08
1914,6.49584137590864e-08,2.678697441638178e-08
