year,des_DET oeufs_NOUN,des_DET voeux_NOUN
1800,6.75995366794524e-07,6.22544581219131e-07
1801,7.643596244832906e-07,5.619590979222266e-07
1802,7.272980724337685e-07,5.594600054337207e-07
1803,2.5042354536708444e-06,5.577969921510828e-07
1804,7.020056649320594e-07,4.1774279679884785e-07
1805,6.368045848414994e-07,5.344610296553753e-07
1806,1.930718314113733e-07,4.4089537709623983e-07
1807,2.4483813554354583e-07,3.217059352245144e-07
1808,1.8808413937421165e-07,4.917380462821086e-07
1809,2.2816208944398397e-07,4.4728804038385306e-07
1810,2.854954681552613e-07,6.037527038316171e-07
1811,1.4791753022436183e-07,3.7856860579665863e-07
1812,1.3069320115022265e-07,3.8141078695375086e-07
1813,3.0770436332261397e-07,4.256097696497818e-07
1814,1.0195234145804477e-06,3.366944554272777e-07
1815,1.75319526007911e-07,3.3715295777447807e-07
1816,1.5064425440414198e-07,2.9897091380348684e-07
1817,2.55327228915192e-07,3.6430837591083787e-07
1818,2.8730037815449805e-07,3.1710330938850007e-07
1819,2.2461777915427916e-07,2.380741528362762e-07
1820,8.781196214613374e-08,3.29888179884108e-07
1821,1.0650407566981102e-07,2.544263971726579e-07
1822,1.1830226753772877e-07,3.348555850379853e-07
1823,9.685033042217128e-08,2.6683255782700144e-07
1824,1.389483594849139e-07,2.686335038859511e-07
1825,1.3384273800376434e-07,2.192555341729019e-07
1826,1.4268934023231594e-07,1.9994125011191244e-07
1827,3.235262795442395e-07,1.9632791159462926e-07
1828,1.48591282056465e-07,2.4490045302805186e-07
1829,1.4488668137468963e-07,2.1604403921404725e-07
1830,1.5863989943909473e-07,1.805572609203665e-07
1831,1.65266789364793e-07,2.3386809289149824e-07
1832,1.4341767085035428e-07,3.788391325088014e-07
1833,1.3437008417049867e-07,1.8533805468123887e-07
1834,1.3068343962530093e-07,1.950916987958351e-07
1835,1.376482003934143e-07,1.8227042630769574e-07
1836,1.3508707175091672e-07,1.606259203423832e-07
1837,1.3498307982473534e-07,2.9918929600469824e-07
1838,1.899960706541748e-07,1.3066175585940698e-07
1839,1.22350813480665e-07,2.677734907141627e-07
1840,8.216898089719038e-08,1.439549706105936e-07
1841,8.218302083307094e-08,1.5794548735570402e-07
1842,1.2276124916610343e-07,2.1198117705623076e-07
1843,9.687334251440305e-08,2.161929437693999e-07
1844,1.2459034215428488e-07,1.037338056564252e-07
1845,1.0323421739677485e-07,1.1606874039671311e-07
1846,8.840296894518929e-08,1.1826092816136224e-07
1847,1.5047094237274905e-07,1.0408921724547326e-07
1848,1.0619692353275312e-07,1.0539240236084879e-07
1849,1.4245005330870697e-07,1.0893239577036695e-07
1850,8.7578046148451e-08,1.7108270355947752e-07
1851,1.1866967120077732e-07,8.448764932111885e-08
1852,8.789236183304183e-08,1.0547083761913711e-07
1853,8.599581535762013e-08,6.92744062114059e-08
1854,6.234797461646124e-08,9.404152817582556e-08
1855,1.2948926197964283e-07,1.2630511037059478e-07
1856,7.248064709530766e-08,1.0406150607877862e-07
1857,8.103304849349513e-08,1.2252587566763395e-07
1858,5.62772732859429e-08,1.0521403481789093e-07
1859,7.129042822739962e-08,1.0591720811525818e-07
1860,2.0643099157835465e-07,1.1168328678534678e-07
1861,8.630213615967719e-08,9.856364313609589e-08
1862,7.138418592345097e-08,1.0572087916216333e-07
1863,6.642845851168033e-08,1.1637466457159462e-07
1864,5.609831521535824e-08,1.428828879657118e-07
1865,5.6011446758486017e-08,8.189909511679971e-08
1866,5.4494866008614196e-08,9.487945362707251e-08
1867,5.192508290008391e-08,1.1889388140673418e-07
1868,6.71822905085051e-08,1.086772311031936e-07
1869,5.762552635069085e-08,1.318550235662741e-07
1870,7.11022067889644e-08,1.1869480687209943e-07
1871,8.2845185600533e-08,1.2320565190293564e-07
1872,7.256807366129436e-08,8.466275147611668e-08
1873,6.764184790064576e-08,7.721945766148153e-08
1874,8.961914049754327e-08,8.125468509145861e-08
1875,1.069925540941874e-07,1.0127102711976477e-07
1876,5.441413342133217e-08,1.1971108904162975e-07
1877,9.091679553652199e-08,1.1751150130745458e-07
1878,9.783323362544394e-08,1.4131467196421e-07
1879,6.292605003732632e-08,1.2096464274691243e-07
1880,7.637237398050445e-08,1.1873015370866824e-07
1881,7.809208546483148e-08,1.289913927893238e-07
1882,1.0515508397368478e-07,1.1913139585928434e-07
1883,1.0553296309057103e-07,1.3839352830391505e-07
1884,7.2618664859192e-08,9.704494807749597e-08
1885,6.123353768483497e-08,9.797365962960214e-08
1886,5.4209097932744754e-08,7.93776057106399e-08
1887,9.336362533085563e-08,1.9390905947602732e-07
1888,7.608737284670042e-08,1.1032669533506123e-07
1889,1.2342319644087496e-07,1.0838686337333314e-07
1890,6.161123400350021e-08,1.1863439353110294e-07
1891,1.0581205045490094e-07,9.051392291237192e-08
1892,1.1346007089407806e-07,1.2474339050605465e-07
1893,1.98301009834978e-07,1.1085149520528859e-07
1894,5.797416324782034e-08,8.885170332817438e-08
1895,7.162151538508965e-08,1.1254808973681918e-07
1896,5.661147717272996e-08,1.0968474128958405e-07
1897,7.225125120413622e-08,1.0080214496444029e-07
1898,9.958704505486082e-08,7.921697098289826e-08
1899,7.904436927219649e-08,6.688369680318829e-08
1900,7.111742805765431e-08,9.759180130686218e-08
1901,7.265360607577875e-08,8.383108252019156e-08
1902,8.93671647794747e-08,9.231333919501594e-08
1903,1.0206416622970949e-07,8.964365871833024e-08
1904,1.0265534200470938e-07,7.900699028340341e-08
1905,1.2282606465241486e-07,9.031328573883002e-08
1906,9.310974258269766e-08,9.465299566357999e-08
1907,1.2239967145388775e-07,1.2548537914325308e-07
1908,1.051037288313239e-07,1.2278472150129005e-07
1909,1.4907665457641883e-07,1.2487232936564396e-07
1910,1.239842983835615e-07,1.1650248199490676e-07
1911,1.4684232008121967e-07,1.0640748127066502e-07
1912,1.406543785331671e-07,1.2294234208454213e-07
1913,1.3416564526025354e-07,1.0287800167319006e-07
1914,1.6072185371474035e-07,1.1652334058753766e-07
1915,1.5314990431392062e-07,2.2147832712260396e-07
1916,1.1866459281861808e-07,9.998590400073226e-08
1917,1.2721051811936945e-07,1.3050045399864985e-07
1918,1.1601240057501627e-07,1.1601239968683785e-07
1919,1.0312789866517846e-07,1.2706831031827903e-07
1920,1.5901686989394648e-07,1.0525401972216741e-07
1921,1.325230757909246e-07,1.1662031185188937e-07
1922,1.3722959768536214e-07,8.927302164174478e-08
1923,2.0170301073818564e-07,1.4650008761663003e-07
1924,1.5469948821955626e-07,1.5469949543600592e-07
1925,2.2546265077139083e-07,1.2977849905837502e-07
1926,1.9728665245910548e-07,1.437851855357053e-07
1927,2.2855911030461584e-07,2.1406511185873e-07
1928,2.1937998884169474e-07,1.062621810543618e-07
1929,3.4758069178408846e-07,1.3034275925249972e-07
1930,2.436835986330266e-07,1.6385622159109658e-07
1931,2.1328017130173293e-07,1.7564249965573708e-07
1932,2.597410153626356e-07,1.3041849067363387e-07
1933,2.420309617168215e-07,1.3994208258871765e-07
1934,3.534566275220641e-07,1.42580809381343e-07
1935,2.800578497996753e-07,1.4481624521778258e-07
1936,2.7038113259436614e-07,2.0733262529049057e-07
1937,2.543405779320551e-07,1.1961562218498756e-07
1938,2.2040864200434385e-07,1.529895277130322e-07
1939,2.8446933519887807e-07,1.7435217092298672e-07
1940,3.397949084327223e-07,1.1411023392859931e-07
1941,3.3056830028854733e-07,1.800416602470989e-07
1942,3.5500276407418596e-07,1.6688164805600536e-07
1943,2.6709764822108184e-07,2.2354910855781895e-07
1944,1.7351205983118234e-07,2.0243072285097696e-07
1945,2.8974104004930723e-07,2.0695787839031254e-07
1946,2.3805088389394768e-07,1.2528994552951644e-07
1947,1.6570010585859052e-07,1.4066627351816408e-07
1948,3.544235420704922e-07,1.2067795762682465e-07
1949,1.9830356334793464e-07,1.4038322371234813e-07
1950,2.137707655336385e-07,1.4357738264969555e-07
1951,2.686673101770509e-07,1.663178719191194e-07
1952,2.478028950925193e-07,1.7293478027369247e-07
1953,2.370241971583198e-07,1.3682761190736414e-07
1954,2.169503021676178e-07,1.6124685320306753e-07
1955,2.768754194804046e-07,1.3890698991048112e-07
1956,2.4593618852541965e-07,1.3168923373996222e-07
1957,3.0480878887573226e-07,1.8465228412978263e-07
1958,2.4485840555144023e-07,1.745443354295162e-07
1959,2.1004526296053427e-07,2.0229451647146846e-07
1960,2.6437583566796263e-07,1.771733362243566e-07
1961,2.3137370730452744e-07,2.0010698587036302e-07
