year,pas_ADV eu_VERB,pas_ADV vu_VERB
1800,2.0210689399391413e-05,8.328891453857068e-06
1801,2.2166428607306443e-05,8.160312972904649e-06
1802,2.083876825054176e-05,7.563899544038577e-06
1803,1.9162082026014104e-05,6.970512458792655e-06
1804,2.4147511794581078e-05,9.489435797149781e-06
1805,2.196407331211958e-05,6.206002126418753e-06
1806,2.296978527738247e-05,6.325263711914886e-06
1807,2.6012628950411454e-05,6.419883902708534e-06
1808,2.215087260992732e-05,6.410723472072277e-06
1809,2.2766509573557414e-05,6.445014150813222e-06
1810,2.537633372412529e-05,6.2481385612045415e-06
1811,2.044521170319058e-05,6.094703621783992e-06
1812,2.512510218366515e-05,6.870728611829691e-06
1813,2.4501317966496572e-05,7.065697445796104e-06
1814,2.291724922542926e-05,8.31666784506524e-06
1815,2.3665439584874548e-05,8.334421181643847e-06
1816,2.2508569600176997e-05,7.671268576814327e-06
1817,2.2201014871825464e-05,8.35729679238284e-06
1818,2.2368896679836325e-05,8.856242857291363e-06
1819,2.2470059775514528e-05,7.279893452505348e-06
1820,2.3604803573107347e-05,8.367055670532864e-06
1821,2.441605829517357e-05,8.387195521208923e-06
1822,2.275012775498908e-05,8.3804125097231e-06
1823,2.273709833389148e-05,7.992129212652799e-06
1824,2.192099782405421e-05,7.069524144753814e-06
1825,2.2650241589872167e-05,7.63167736295145e-06
1826,2.1821781047037803e-05,7.232235930132447e-06
1827,2.4740082153584808e-05,7.083474429236958e-06
1828,2.553660306148231e-05,7.809297130734194e-06
1829,2.551805846451316e-05,8.206244274333585e-06
1830,2.533228871470783e-05,9.197983672493137e-06
1831,2.6118388632312417e-05,9.771008990355767e-06
1832,2.672980735951569e-05,8.544175216229632e-06
1833,2.3818256522645243e-05,8.789656931185164e-06
1834,2.4819584723445587e-05,8.231188985519111e-06
1835,2.3432714442606084e-05,9.118059097090736e-06
1836,2.2404292394639924e-05,8.433196853729896e-06
1837,2.3403561499435455e-05,7.2313359851250425e-06
1838,2.2798265490564518e-05,6.4952146203722805e-06
1839,2.3339642211794853e-05,7.67943674873095e-06
1840,2.4296539777424186e-05,7.621332315466134e-06
1841,2.450209649396129e-05,8.295990483020432e-06
1842,2.4369785023736767e-05,7.417999313474866e-06
1843,2.3371874704025686e-05,7.730965080554597e-06
1844,2.384340768912807e-05,7.394738531729672e-06
1845,2.402567224635277e-05,7.26713096810272e-06
1846,2.443903031235095e-05,7.474441645172192e-06
1847,2.4589324311818928e-05,6.7399114414001815e-06
1848,2.550013414293062e-05,8.243938282248564e-06
1849,2.829728509823326e-05,7.797883881721646e-06
1850,2.563253292464651e-05,7.2771249506331515e-06
1851,2.5477862436673604e-05,7.754159923933912e-06
1852,2.4818849851726554e-05,7.407047633023467e-06
1853,2.3702597900410183e-05,7.450581961165881e-06
1854,2.4187896997318603e-05,7.053114586597076e-06
1855,2.4087656129267998e-05,7.717878361290786e-06
1856,2.4798737285891548e-05,7.617198662046576e-06
1857,2.434701491438318e-05,7.711808393651154e-06
1858,2.5688374080345966e-05,8.41810106066987e-06
1859,2.5129875211860053e-05,7.93615254224278e-06
1860,2.4018314434215426e-05,8.325897397298831e-06
1861,2.4906890757847577e-05,8.027513104025275e-06
1862,2.463386772433296e-05,7.905120583018288e-06
1863,2.477481757523492e-05,7.823574378562625e-06
1864,2.532575308578089e-05,8.372074262297247e-06
1865,2.5237157387891784e-05,8.143781997205224e-06
1866,2.4979570298455656e-05,7.72464682086138e-06
1867,2.5342351364088245e-05,7.4519771260384005e-06
1868,2.45813080255175e-05,7.914171874290332e-06
1869,2.582746856205631e-05,8.373770469916053e-06
1870,2.4851367925293744e-05,8.061499102041125e-06
1871,2.818754182953853e-05,8.545799573766999e-06
1872,2.734183544816915e-05,8.858142791723367e-06
1873,2.6412048100610264e-05,7.908110092103016e-06
1874,2.6748923119157553e-05,7.798059414199088e-06
1875,2.5674780772533268e-05,7.840209036658052e-06
1876,2.497850618965458e-05,7.861028279876336e-06
1877,2.4468368792440742e-05,7.581347290397389e-06
1878,2.4206479793065228e-05,7.280121280928142e-06
1879,2.5364695829921402e-05,7.653762622794602e-06
1880,2.4315293558174744e-05,6.909453077241778e-06
1881,2.434241832816042e-05,7.131480742827989e-06
1882,2.5305771487182938e-05,7.476659448002465e-06
1883,2.4984770789160393e-05,7.140853085729759e-06
1884,2.4729957658564672e-05,7.67513301980216e-06
1885,2.518438850529492e-05,6.873625807202188e-06
1886,2.3946868168422952e-05,6.7103119363309816e-06
1887,2.5392946554347873e-05,7.082577212713659e-06
1888,2.525276613596361e-05,6.852936166978907e-06
1889,2.504175245121587e-05,6.8584449763875455e-06
1890,2.6125129807041958e-05,6.75167348163086e-06
1891,2.4647833924973384e-05,6.896268587297527e-06
1892,2.4835846488713287e-05,6.847722943348344e-06
1893,2.5230416213162243e-05,6.840153218945488e-06
1894,2.5523755539325066e-05,6.667658908554586e-06
1895,2.457400296407286e-05,6.692699116683798e-06
1896,2.4874258087947965e-05,7.0575642894255e-06
1897,2.4384213247685693e-05,6.842309630883392e-06
1898,2.5205141355399974e-05,6.7481541918823496e-06
1899,2.5254952561226673e-05,7.0001251515350305e-06
1900,2.3609429263160564e-05,6.324260084511479e-06
1901,2.4198121536755934e-05,6.4203431975329295e-06
1902,2.1113239199621603e-05,5.63995217817137e-06
1903,2.3992639398784377e-05,6.2701956267119385e-06
1904,2.376928023295477e-05,6.1969426496943925e-06
1905,2.4114162442856468e-05,6.4514647419855464e-06
1906,2.3862328816903755e-05,6.227549874893157e-06
1907,2.3410737412632443e-05,6.463011231971905e-06
1908,2.4200870029744692e-05,6.792942258471157e-06
1909,2.4386410586885177e-05,6.82121981299133e-06
1910,2.4151286197593436e-05,6.900901553308358e-06
1911,2.340858191018924e-05,6.402006420103135e-06
1912,2.350334580114577e-05,6.389355348801473e-06
1913,2.2921642084838822e-05,6.286164079938317e-06
1914,2.4128366931108758e-05,6.342485903587658e-06
1915,2.7030957426177338e-05,7.061388714646455e-06
1916,2.694015893212054e-05,6.6595007410796825e-06
1917,2.6286519641871564e-05,7.1347558332490735e-06
1918,2.4879491320461966e-05,6.75973251418327e-06
1919,2.4569302695454098e-05,6.568879143742379e-06
1920,2.3614004021510482e-05,6.2660219555255026e-06
1921,2.3516409783042036e-05,6.409573416021885e-06
1922,2.3708995286142454e-05,6.463071258622222e-06
1923,2.3796708774170838e-05,6.723079877701821e-06
1924,2.4705508621991612e-05,7.136803105822764e-06
1925,2.3816553948563524e-05,6.893657882756088e-06
1926,2.268685057060793e-05,6.677651526842965e-06
1927,2.4869461412890814e-05,7.493394150515087e-06
1928,2.3196005713543855e-05,6.630531515838811e-06
1929,2.3902855900814757e-05,6.959412075957516e-06
1930,2.3310647520702332e-05,6.722306352457963e-06
1931,2.3117518139770254e-05,6.166876119095832e-06
1932,2.271363882755395e-05,6.215153007360641e-06
1933,2.2199172235559672e-05,6.160892553452868e-06
1934,2.14949541259557e-05,6.1824953263567295e-06
1935,2.1290381482685916e-05,6.045180271030404e-06
1936,2.128736196027603e-05,5.756814516644226e-06
1937,2.184936784033198e-05,5.618157047138084e-06
1938,2.0969937395420857e-05,6.043086614226922e-06
1939,2.1348965674405918e-05,5.6067988225549925e-06
1940,1.9761357179959305e-05,5.211034022067906e-06
1941,2.0935007341904566e-05,6.20110677118646e-06
1942,2.124251659552101e-05,6.123039383965079e-06
1943,2.1359101083362475e-05,6.076471436244901e-06
1944,2.2498728867503814e-05,6.760543783457251e-06
1945,2.395918818365317e-05,7.263132374646375e-06
1946,2.3086759028956294e-05,6.691874659736641e-06
1947,2.409446460660547e-05,6.974901680223411e-06
1948,2.156873779313173e-05,6.237201887415722e-06
1949,2.0943605704815127e-05,5.4710185395379085e-06
1950,2.17429333133623e-05,6.088744612497976e-06
1951,2.2511549104820006e-05,6.175083854031982e-06
1952,2.1100153389852494e-05,5.857638370798668e-06
1953,2.1344028937164694e-05,5.88035481996485e-06
1954,2.290878001076635e-05,6.407851742551429e-06
1955,2.1391677364590578e-05,6.0133588704047725e-06
1956,2.145139114873018e-05,5.92514379604836e-06
1957,2.04221887543099e-05,5.199419774726266e-06
1958,2.082537321257405e-05,5.5291675380431116e-06
1959,2.0315485016908497e-05,5.323988716554595e-06
1960,2.063515603367705e-05,5.513828000403009e-06
1961,2.09084009838989e-05,6.00668363404111e-06
1962,2.077942008327227e-05,5.750252057623584e-06
1963,1.978482941922266e-05,5.648744263453409e-06
1964,2.1115629351697862e-05,5.929435701546026e-06
1965,1.994997546717059e-05,5.575464911089512e-06
1966,2.039708851953037e-05,5.57230941922171e-06
1967,2.0927302102791145e-05,5.957817393209552e-06
1968,2.0972665879526176e-05,5.828510438732337e-06
1969,2.053419484582264e-05,5.283880909701111e-06
1970,2.0312569176894613e-05,5.249444711807882e-06
1971,1.9351718947291374e-05,5.362945557862986e-06
1972,1.9020531908608973e-05,5.070124188932823e-06
1973,1.8959908629767597e-05,4.950305537931854e-06
1974,1.8663959053810686e-05,4.748545052279951e-06
1975,1.7639906218391843e-05,4.451527729543159e-06
1976,1.8913488020189106e-05,4.595389782480197e-06
1977,1.866348429757636e-05,4.587415787682403e-06
1978,1.9030683688470162e-05,4.852275196753908e-06
1979,1.9392855392652564e-05,5.00636315337033e-06
1980,1.9475621229503304e-05,4.943807198287686e-06
1981,1.9886261725332588e-05,4.8966080612444784e-06
1982,1.980503657250665e-05,5.186368071008474e-06
