year,mes_DET oies_NOUN,mes_DET voies_NOUN
1800,3.144164484325529e-09,1.4463157071986643e-07
1801,2.3811825844433088e-09,4.7623650800687756e-08
1802,4.475680270843441e-09,5.594600338554301e-08
1803,0.0,5.655983903452011e-08
1804,1.730295728918918e-08,1.1370514130248921e-07
1805,8.528633133053631e-09,2.5585899443569815e-07
1806,0.0,2.881669125542885e-08
1807,5.693910232196231e-09,1.2811298688575334e-07
1808,2.2660739951163578e-09,4.758755522971114e-08
1809,2.259030518203531e-09,3.614448673694426e-08
1810,1.8721014072298203e-08,2.2933242549427746e-07
1811,0.0,5.0141536256376185e-08
1812,2.6672082320544632e-09,4.5342538612658245e-08
1813,0.0,4.3136125782439194e-08
1814,0.0,8.181360300341112e-08
1815,0.0,1.9689731267646948e-07
1816,0.0,3.3605255111979204e-07
1817,0.0,9.029865566390072e-08
1818,4.768470951432846e-09,7.629553744337159e-08
1819,0.0,4.9685039416047516e-08
1820,1.1866481131050932e-09,2.0173017389879533e-07
1821,2.9584463767662328e-09,2.4555106836743334e-07
1822,1.4035862250239006e-08,2.0552512580707116e-07
1823,0.0,9.685033397488496e-08
1824,0.0,1.1031657454196875e-07
1825,0.0,9.950150703375016e-08
1826,2.642395191543301e-09,5.9013494535520294e-08
1827,9.217273055917019e-10,8.111200305860322e-08
1828,5.503380862137419e-09,8.530240092063934e-08
1829,1.714635211591542e-09,9.859152588775899e-08
1830,1.3567886369969528e-08,9.601888995014463e-08
1831,1.5591206103948707e-09,7.795603096383275e-08
1832,2.705993873419743e-09,7.847382565984162e-08
1833,0.0,1.2162809837068522e-07
1834,2.8003592777992026e-09,1.1761508744712046e-07
1835,1.5882484660778573e-08,2.102538445569735e-07
1836,2.016224964762614e-09,2.2514512432181277e-07
1837,3.478945576063097e-09,1.349830824892706e-07
1838,1.8936485712828244e-09,1.3508026897035563e-07
1839,4.194885327990505e-09,1.1885507689157748e-07
1840,3.821813088222825e-09,9.936714628899779e-08
1841,5.778493683550323e-09,1.3290535605392506e-07
1842,6.708265054555795e-10,1.0599058519744631e-07
1843,2.953455480181333e-09,1.181382185411195e-07
1844,4.9397050894128824e-09,8.452384225865472e-08
1845,1.1160455670733427e-08,1.1272060229661207e-07
1846,1.1709002656346001e-09,1.727077876267913e-07
1847,6.47186837454683e-09,1.6611129449728423e-07
1848,0.0,7.642960753173611e-08
1849,9.217356655710773e-09,6.033178778785953e-08
1850,6.788996032014438e-10,5.2275269446511174e-08
1851,1.2253933867611977e-08,7.416854685970975e-08
1852,5.859490670445666e-09,8.073076429582215e-08
1853,5.971931837933653e-10,9.674529799497122e-08
1854,9.352196350675968e-09,1.4963514161081548e-07
1855,1.0613874223963649e-09,9.923972044134644e-08
1856,1.5531567143511893e-09,1.786130234826544e-07
1857,1.4644527812635033e-09,9.421312274771054e-08
1858,9.787352039936081e-10,8.466059409073523e-08
1859,2.036869339860914e-09,9.420520452607661e-08
1860,1.8308735638683515e-09,7.918528410755243e-08
1861,3.3011746669586728e-09,1.5279722226368975e-07
1862,9.035972858839614e-09,1.224374346353585e-07
1863,3.496234635136375e-09,9.989241345209621e-08
1864,1.3904711160250827e-08,1.126761091096995e-07
1865,7.530950973944073e-09,9.696099567690908e-08
1866,1.0704348518686402e-08,1.245596941146232e-07
1867,0.0,1.3248175179114696e-07
1868,7.903798504571569e-09,1.3387058317437805e-07
1869,9.767038289254515e-10,5.9090580761811395e-08
