year,anciennes_ADJ allées_NOUN,anciennes_ADJ vallées_NOUN
1800,0.0,0.0
1801,0.0,5.9529565277216534e-08
1802,6.713520406265161e-09,2.4616241489638924e-08
1803,0.0,1.1702034896643454e-08
1804,0.0,0.0
1805,5.685755422035754e-09,2.2743021688143017e-08
1806,0.0,2.881669125542885e-08
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,9.036122072814123e-09
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,2.0858434979231788e-08
1817,6.227493631882908e-09,5.4490570278176165e-08
1818,3.5763532135746345e-09,0.0
1819,0.0,1.3456364911235141e-08
1820,0.0,0.0
1821,9.86148829262845e-10,7.88919063410276e-09
1822,0.0,6.015369535816717e-09
1823,0.0,5.929612356680991e-09
1824,0.0,3.3684450784221553e-09
1825,1.7610886082763955e-09,0.0
1826,3.5231937367541377e-09,6.1655889282974385e-09
1827,9.217273055917019e-10,0.0
1828,0.0,1.3758452155343548e-08
1829,6.858540846366168e-09,5.143905745796928e-09
1830,0.0,3.757260813586072e-08
1831,0.0,2.0268567268999504e-08
1832,0.0,8.117981842303834e-09
1833,0.0,3.01174338801502e-08
1834,2.8003592777992026e-09,4.667265685043276e-09
1835,2.2689263801112247e-09,1.0588323107185715e-08
1836,2.688300027031687e-09,7.392825018825988e-09
1837,0.0,2.0873671680021744e-09
1838,1.2624323808552163e-09,5.680945491803868e-09
1839,0.0,1.5381244722334486e-08
1840,0.0,1.1465439264668476e-08
1841,1.2841097074556274e-09,4.494383976094696e-09
1842,0.0,4.695785538189057e-09
1843,5.906911071384968e-10,5.906911071384968e-10
1844,0.0,5.488561272137815e-10
1845,3.348136878855712e-09,3.9061593959388574e-09
1846,0.0,0.0
1847,0.0,1.6179670936367074e-09
1848,0.0,4.02261068899179e-09
1849,7.54147322368226e-09,5.865590679832167e-09
1850,6.788996032014438e-10,0.0
1851,0.0,1.0319102017319892e-08
1852,0.0,0.0
1853,0.0,2.388772735173461e-09
1854,5.195664454227256e-10,2.5978321716024766e-09
1855,3.714855978387277e-09,4.2455496895854594e-09
1856,2.5885946719483854e-09,6.212626857404757e-09
1857,0.0,1.9526036343364694e-09
1858,2.936205500958522e-09,5.872411001917044e-09
1859,0.0,8.656694916453489e-09
1860,0.0,4.57718396518203e-09
1861,2.357981809808507e-09,8.960331143725853e-09
1862,3.6143890103090826e-09,1.3102160245637151e-08
1863,9.989241656072068e-10,1.4983863039219614e-09
1864,1.4384183844029508e-09,8.151037178549814e-09
1865,4.706844358715045e-10,2.0710114512212385e-08
1866,1.4596839292835284e-09,4.865612801552288e-09
1867,6.79393608038481e-09,1.3102591012170706e-08
1868,3.951899252285784e-09,6.421836395986702e-09
1869,9.767038289254515e-10,1.3185501579471293e-08
1870,4.013834153937523e-09,8.027668307875047e-09
1871,4.248470908407853e-09,2.442870794538976e-08
1872,1.0280476914203973e-08,6.652073114565837e-09
1873,3.591602570907071e-09,1.4366410283628284e-08
1874,5.974609251779839e-09,1.0156835372754358e-08
1875,8.010138330405425e-09,8.010138330405425e-09
1876,2.418405919968336e-09,4.836811839936672e-09
1877,3.710889595609501e-09,1.4843558382438005e-08
1878,4.831270938865373e-09,1.872117572077059e-08
1879,4.27652757650776e-09,9.163987790827832e-09
1880,6.417846254436199e-10,1.4761046607247863e-08
1881,2.091752326904839e-09,9.761510710859511e-09
1882,0.0,2.1297232422057277e-08
1883,4.423537092179686e-09,5.687405213450347e-09
1884,2.6406787867472303e-09,1.0562715146988921e-08
1885,2.5782542767416317e-09,1.9981470700258797e-08
1886,0.0,1.0325542199041138e-08
1887,1.3057849246322917e-09,2.0239665943222462e-08
1888,0.0,5.07249175996094e-09
1889,1.566284169030041e-08,4.385595886446936e-09
1890,9.176140736144589e-09,2.6217545467943637e-08
1891,0.0,9.561330394092238e-09
1892,6.268512375839919e-10,2.570090096298827e-08
1893,5.542574843531156e-09,2.0938616174248637e-08
1894,1.8904617871129403e-09,2.898708117982096e-08
1895,4.213029924926559e-09,1.745398137131815e-08
1896,1.7691086373616827e-09,4.65865284127176e-08
1897,1.1653427112179315e-09,5.5936450138460714e-08
1898,4.52668391659472e-09,5.771521927044887e-08
1899,3.8693048765026106e-09,2.3215829259015663e-08
1900,5.191053142894475e-10,5.5544269628171605e-08
1901,2.794369402536745e-09,5.588739071527016e-08
1902,4.419255628107521e-09,5.106695155632224e-08
1903,1.6200660812870638e-09,4.75219366080637e-08
1904,3.2247751136083025e-09,3.493506284257819e-08
1905,4.64468330463319e-09,5.7800502162308476e-08
1906,3.0865106026567446e-09,6.584556189181967e-08
1907,2.5714217422034835e-09,3.754275823553144e-08
1908,1.4734167219643268e-09,2.7994918383456024e-08
1909,2.2003934230241384e-09,5.5009834909469646e-08
1910,5.878565634276356e-09,7.588693762272669e-08
1911,3.1922244847493175e-09,9.363858310962314e-08
1912,2.0837684910901544e-09,5.3136098188133474e-08
1913,5.302989602995467e-09,4.1363318104004065e-08
1914,9.37544086809794e-09,5.2904276515164383e-08
1915,0.0,1.0013647511186718e-07
1916,1.0987462051303964e-09,1.4283700444650549e-08
1917,1.0966424435210342e-09,4.605898240583883e-08
1918,4.594550517822427e-09,4.2499593178035866e-08
1919,3.6831393490643904e-09,2.6702760891339494e-08
1920,7.572231730534895e-10,4.467616676606667e-08
1921,4.543648568500203e-09,3.559191341651058e-08
1922,2.2133805899215986e-09,4.721878710256533e-08
1923,1.0615948120573648e-09,2.9724654737606215e-08
1924,0.0,6.059063650809549e-08
1925,6.598906754362588e-09,5.27912540349007e-08
1926,4.458455382660986e-09,5.015762383209221e-08
1927,7.804457524684949e-09,4.3481975353643065e-08
1928,1.0283437212876834e-08,5.141718517620575e-08
1929,0.0,3.0079096546842266e-08
1930,7.352522590764465e-09,6.722306267192835e-08
1931,1.1405356659111021e-09,2.9653927313688655e-08
1932,4.383814644626227e-09,7.014103431401963e-08
1933,4.588264879146209e-09,6.997103696448903e-08
1934,5.990790086229936e-09,6.350237669039416e-08
1935,9.574627313213568e-09,5.146362269670135e-08
