year,anciennes_ADJ voies_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,6.713520406265161e-09
1803,3.90067853572873e-08
1804,6.179627121127851e-08
1805,1.421438877713399e-08
1806,8.35684019762084e-08
1807,3.131650672116848e-08
1808,5.211970233176544e-08
1809,8.584316191218022e-08
1810,5.148278958699848e-08
1811,3.259199843341776e-08
1812,2.400487453257938e-08
1813,8.627225156487839e-09
1814,7.866692897096073e-08
1815,7.012781111370714e-08
1816,6.952811659743929e-09
1817,2.6466848268569265e-08
1818,7.033494853203592e-08
1819,5.589566853814176e-08
1820,2.3732962262101864e-08
1821,4.930744168518686e-08
1822,1.804610860745015e-08
1823,4.0519015698237126e-08
1824,4.6316120716483056e-08
1825,4.402721387464226e-08
1826,5.549030035467695e-08
1827,6.728609491801762e-08
1828,5.961995697134626e-08
1829,1.0630738245254179e-07
1830,1.2106730196137505e-07
1831,1.387617345471881e-07
1832,7.84738247716632e-08
1833,6.02348677603004e-08
1834,1.1574818259418862e-07
1835,6.504255622985511e-08
1836,1.0148332307835517e-07
1837,7.862416850912268e-08
1838,1.1046283532323287e-07
1839,1.1466019600447908e-07
1840,9.873017603467815e-08
1841,8.66774030328088e-08
1842,9.995314798061372e-08
1843,1.2345444133643468e-07
1844,2.2009130873357208e-07
1845,8.593551115154696e-08
1846,1.1650457865108876e-07
1847,9.869599182366073e-08
1848,1.2711450381175382e-07
1849,7.709061833338637e-08
1850,7.671565782629841e-08
1851,8.577753618510542e-08
1852,1.4258094438446278e-07
1853,1.0570318997871198e-07
1854,1.2313724084833666e-07
1855,1.263051068178811e-07
1856,1.0561466012859455e-07
1857,1.4351637389609095e-07
1858,1.6491688370479096e-07
1859,1.6956937454182253e-07
1860,1.40519546221185e-07
1861,1.282742090324973e-07
1862,1.766532591318537e-07
1863,1.8629935993885738e-07
1864,1.3185501757106977e-07
1865,1.7227050363999297e-07
1866,1.9559763586585177e-07
1867,1.2762893675244413e-07
1868,1.3881046356800653e-07
1869,1.0841412745321577e-07
1870,1.0550650131335715e-07
1871,1.2214353262152144e-07
1872,1.1610891448299299e-07
1873,1.490515092461564e-07
1874,1.392083959217416e-07
1875,1.8652178379596762e-07
1876,1.2152489148320456e-07
1877,1.2307784402754152e-07
1878,1.4554204375016866e-07
1879,1.6495178867259597e-07
1880,1.4761045830091746e-07
1881,1.0737661426674094e-07
1882,1.3111108709829011e-07
1883,1.333380537649198e-07
1884,1.2213139655159466e-07
1885,1.3342466020915822e-07
1886,1.0519146392828915e-07
1887,1.2731402909693657e-07
1888,1.2998260467966816e-07
1889,1.0086870272374426e-07
1890,1.291214175580535e-07
1891,1.0644947678883909e-07
1892,9.590824090466299e-08
1893,1.3363764184148863e-07
1894,9.326278416210698e-08
1895,9.689969338033677e-08
1896,1.2029939000512968e-07
1897,1.0779420311912702e-07
1898,1.0241622305784404e-07
1899,9.341607487556303e-08
1900,1.0641659287102812e-07
1901,1.173635197915246e-07
1902,8.200174050898568e-08
1903,9.504387565861805e-08
1904,6.93326649425785e-08
1905,8.773290716135307e-08
1906,1.1677298772383438e-07
1907,9.051404670223917e-08
1908,1.0215688917014631e-07
1909,8.03143578309573e-08
1910,9.13849760308949e-08
1911,1.489704690715854e-07
1912,9.741617706948702e-08
1913,1.0977188935612503e-07
1914,7.098548088224632e-08
1915,5.654765544704787e-08
1916,8.24059682713596e-08
1917,1.2501723656299646e-07
1918,1.4128243019939646e-07
