year,deux_DET oies_NOUN,deux_DET voix_NOUN
1800,3.458580932758082e-08,3.7729973278999296e-07
1801,5.23860170797974e-08,3.024101999926643e-07
1802,1.1860552717735118e-07,3.535787413966318e-07
1803,9.751696339321825e-09,3.3155767087400534e-07
1804,7.4155528384522995e-09,6.673997474671012e-07
1805,5.970043304159844e-08,2.6723051860244595e-07
1806,5.76333825108577e-09,4.178420214273615e-07
1807,0.0,4.4697196699416963e-07
1808,2.039466551195801e-08,3.580396819025111e-07
1809,4.518061036407062e-09,4.969867046789034e-07
1810,2.3401266702194334e-08,5.52269906695102e-07
1811,0.0,4.362313461570011e-07
1812,7.468182872116813e-08,4.0541564771956473e-07
1813,2.8757416448144113e-09,2.386865673997818e-07
1814,9.440031423224582e-09,6.2933540689869e-07
1815,2.697223555614414e-09,4.207668613531723e-07
1816,1.622322720606917e-08,6.90645972412085e-07
1817,7.784366928831332e-09,4.4837953661058805e-07
1818,9.536941902865692e-09,3.7074860625985195e-07
1819,1.6561680027393777e-08,6.21062997474553e-07
1820,3.322614805512103e-08,4.42619738194594e-07
1821,1.577838126820552e-08,5.157558451429622e-07
1822,1.604098542884458e-08,6.306112396714525e-07
1823,3.95307486744656e-09,3.7158902532752336e-07
1824,1.2631669044083083e-08,4.951614025472395e-07
1825,1.1447076175841175e-08,4.3586943476725537e-07
1826,1.8496766784892316e-08,5.328830456896583e-07
1827,9.217273166939322e-09,5.161672991249588e-07
1828,0.0,4.5586336216985046e-07
1829,2.914879759785549e-08,5.366808402129664e-07
1830,1.982998831806526e-08,5.948996348870139e-07
1831,6.236482441579483e-09,7.935924184465648e-07
1832,2.1647950210201827e-08,8.415640948555847e-07
1833,2.548398292390175e-08,4.992543818360673e-07
1834,1.7735608537350345e-08,6.338146398832123e-07
1835,2.2689263801112247e-09,6.383246358154793e-07
1836,4.099657546774438e-08,5.094328354715572e-07
1837,1.5307360268224102e-08,7.674553597070144e-07
1838,2.651107999795954e-08,7.839704920797885e-07
1839,1.2584655206815398e-08,6.397199623364713e-07
1840,1.2102408297742784e-08,6.777348868780564e-07
1841,3.980740226339208e-08,6.414127788900714e-07
1842,2.4149754196400863e-08,5.547734920341441e-07
1843,6.497602011990011e-09,4.837760130271818e-07
1844,3.293136902060567e-08,6.22402832384239e-07
1845,2.678509469777879e-08,7.120371012803162e-07
1846,8.781752214304106e-09,6.685840716613711e-07
1847,2.8044763844548015e-08,6.941079098155001e-07
1848,8.84974404868899e-09,5.382253585040075e-07
1849,1.5920887941334172e-08,5.957763846708986e-07
1850,5.431196825611551e-09,5.621288821089365e-07
1851,1.3543821175687754e-08,5.623910794838594e-07
1852,1.5625309490729933e-08,5.60557937845374e-07
1853,9.555090940693844e-09,7.011048097638195e-07
1854,2.4419623212423858e-08,5.543773866634183e-07
1855,2.1227748447927297e-08,5.673115559545749e-07
1856,8.28350277259915e-09,5.446402830955321e-07
1857,1.757343248698362e-08,6.238568808214495e-07
1858,1.4681027893370668e-08,5.020911455488886e-07
1859,2.7497735644033128e-08,5.626851358186968e-07
1860,3.4328881071132855e-08,7.21821918681087e-07
1861,1.6034276573151374e-08,5.81006723621158e-07
1862,3.388489855371546e-08,6.659511502249416e-07
1863,2.7969877358646755e-08,6.817657443036751e-07
1864,2.1096803748399395e-08,7.705127735846418e-07
1865,3.9066808454890634e-08,6.443669882116865e-07
1866,2.6274310116480848e-08,6.184194187852654e-07
1867,2.2808213984149006e-08,5.328387207015339e-07
1868,2.321740799615668e-08,5.84387127133823e-07
1869,1.0743742229202269e-08,6.416944033915684e-07
1870,4.013834153937523e-09,6.158368268671666e-07
1871,2.6552942955504477e-08,6.245252421877012e-07
1872,1.2699412743621963e-08,6.005007904263948e-07
1873,2.514121905106137e-08,6.033892265833174e-07
1874,1.732636678575261e-08,6.817029163386223e-07
1875,1.2015207495608138e-08,7.695454193878959e-07
1876,3.023007311142578e-08,7.871911478218863e-07
1877,1.0514187187560253e-08,5.59107350639465e-07
1878,2.1136809524868738e-08,8.496997807583284e-07
1879,3.299035578052667e-08,5.926045254511791e-07
1880,1.7969970178555172e-08,5.968596870076226e-07
1881,2.6495528548942104e-08,5.243325418291533e-07
1882,2.5956002014382307e-08,5.617144811509434e-07
1883,5.2450515042323786e-08,5.257690069981891e-07
1884,1.3203393933736152e-08,6.555485008163942e-07
1885,2.2559724921489277e-08,6.50364651022528e-07
1886,1.097088819790315e-08,5.517711372249323e-07
1887,1.566941915109865e-08,4.2829744550942905e-07
1888,2.4094334971636044e-08,5.700212373227487e-07
1889,2.380751940034287e-08,5.193798244818026e-07
1890,6.554386366985909e-09,4.686386247954033e-07
1891,2.7409145841872373e-08,4.3918375247642416e-07
1892,2.4447198931909497e-08,4.41930110284261e-07
1893,1.8475249941030114e-08,4.612653876634454e-07
1894,2.3315695596437536e-08,5.312197668416729e-07
1895,4.032471756509892e-08,5.404715892609602e-07
1896,2.5357223876198987e-08,5.29553217276657e-07
1897,4.4283022804236793e-08,5.209081876955679e-07
1898,1.867257115595322e-08,5.720597044955866e-07
1899,8.291367592505594e-09,5.809484786567509e-07
1900,2.3359739032002835e-08,5.227390769135809e-07
1901,2.0678334156087885e-08,6.337629958608204e-07
1902,1.8659078282468045e-08,5.131246822998037e-07
1903,1.8360748255119574e-08,5.114008772011402e-07
1904,3.815983884436491e-08,5.084395660048813e-07
1905,7.741138396966107e-09,5.155598490347302e-07
1906,3.3951617239846854e-08,4.922984313537881e-07
1907,2.1085658274966335e-08,5.297128673475981e-07
1908,2.4065805792616857e-08,4.621617080147189e-07
1909,3.960708327976903e-08,5.297447422947243e-07
1910,1.2825962070195374e-08,5.328118497516243e-07
1911,2.128149700908466e-08,5.261849782556283e-07
1912,2.9693701220079305e-08,5.225049513057911e-07
1913,1.8560464554173706e-08,5.790864801014095e-07
1914,3.683208982252495e-08,4.89531979397384e-07
1915,2.4739600035239562e-08,4.2764165364417295e-07
1916,1.8678685265172135e-08,4.7465837305082914e-07
1917,3.728584163642523e-08,3.9588793043776604e-07
1918,1.722956533001252e-08,3.698613184610622e-07
1919,1.0128633542993981e-08,5.248473815555599e-07
1920,8.329454903588385e-09,5.838190837437196e-07
1921,8.330022005509363e-09,6.141498154477176e-07
1922,1.7707045385506603e-08,6.18270998842263e-07
1923,1.0615948120573648e-08,7.123301131173321e-07
1924,2.1915761205804074e-08,5.698098171080801e-07
