year,derniers_ADJ ans_NOUN,derniers_ADJ vents_NOUN
1800,4.087413785214267e-08,6.288328968651058e-09
1801,6.667310969987739e-08,1.1905912700171939e-08
1802,3.1329761895904085e-08,0.0
1803,4.290746247193056e-08,0.0
1804,4.449331569844617e-08,4.943701892301533e-09
1805,3.4114531644036106e-08,0.0
1806,2.881669125542885e-08,1.152667650217154e-07
1807,2.8469550272802735e-08,0.0
1808,5.6651849433819734e-08,0.0
1809,2.4849335034105025e-08,9.036122072814123e-09
1810,3.978215445954447e-08,0.0
1811,4.763445815569867e-08,0.0
1812,5.601137331723294e-08,1.3336041604361526e-08
1813,5.176335093892703e-08,8.627225156487839e-09
1814,2.8320094713762956e-08,9.440030979135372e-09
1815,3.776112933451259e-08,5.394447111228828e-09
1816,1.0429217667251578e-07,3.7081662185300956e-08
1817,2.1796227045456362e-08,0.0
1818,3.337929754820834e-08,8.344824387052086e-09
1819,1.8631890696951814e-08,3.1053151161586356e-09
1820,8.662531314485022e-08,9.493184904840746e-09
1821,4.536284592404627e-08,2.9584463767662328e-09
1822,3.0076847679083585e-08,2.0051231786055723e-09
1823,4.644862983127496e-08,0.0
1824,7.157945702829238e-08,8.421112696055388e-09
1825,4.490776106536032e-08,0.0
1826,3.699353356978463e-08,0.0
1827,4.977327350275118e-08,4.608636583469661e-09
1828,2.2930752408001354e-08,1.8344602503717056e-09
1829,5.1439055681612444e-08,8.57317605795771e-10
1830,2.7135772739939057e-08,1.0436835840010872e-09
1831,2.9623292263636358e-08,3.1182412207897414e-09
1832,2.0294953273491956e-08,1.3529969367098715e-09
1833,2.20088942626262e-08,2.6642345218874652e-08
1834,2.0535967593104942e-08,2.8003592777992026e-09
1835,1.3613558280667348e-08,1.285724948729694e-08
1836,3.8980349614803345e-08,6.72075017860152e-09
1837,1.948209416013924e-08,4.87052354003481e-09
1838,1.5780404538645598e-08,1.2624323808552163e-09
1839,1.11863602825224e-08,4.194885327990505e-09
1840,3.121147429396842e-08,2.5478754661634184e-09
1841,1.7977535904378783e-08,1.6693427085101575e-08
1842,2.817471411731276e-08,8.720745015011744e-09
1843,3.307870244384503e-08,1.1813822142769936e-09
1844,1.811225303072206e-08,5.488561161115513e-09
1845,1.6182660544927785e-08,6.138250796539069e-09
1846,2.9272506196775794e-08,4.6836010625384006e-09
1847,2.8044762956369595e-08,8.089835468183537e-09
1848,2.735375304041554e-08,1.126331028444838e-08
1849,1.9272654583346593e-08,1.0893239199560867e-08
1850,2.0366988096043315e-08,4.752297222410107e-09
1851,2.192809134271556e-08,3.2247193804124663e-09
1852,1.6927417689771573e-08,1.9531636308300904e-09
1853,1.1346670270029335e-08,8.957897534855874e-09
1854,5.5593609715742787e-08,1.558699302961486e-08
1855,2.5473298137512757e-08,4.2455496895854594e-09
1856,2.329735160344626e-08,1.346069211649592e-08
1857,1.757343248698362e-08,4.393358121745905e-09
1858,2.1532175153993194e-08,4.404308473482388e-09
1859,2.5460867192350634e-08,4.073738679721828e-09
1860,3.4786598490654796e-08,1.0069804545764782e-08
1861,2.4051415081771665e-08,4.2443675241088386e-09
1862,2.3493528900075944e-08,4.517986262886353e-10
1863,2.1976331865403154e-08,4.994620717013731e-09
1864,2.7809422320501653e-08,1.3904711160250827e-08
1865,1.4591217123438582e-08,6.589582213223366e-09
1866,1.9949013108089275e-08,1.9462451650298362e-09
1867,2.6690463172940326e-08,1.649955905236311e-08
1868,2.2723421366777075e-08,6.915823469455518e-09
1869,1.5627261262807224e-08,1.953407657850903e-09
