year,mieux_ADV eu_VERB,mieux_ADV vu_VERB
1800,3.144164484325529e-09,2.8297480980654655e-07
1801,1.1905912700171939e-08,2.928854598849284e-07
1802,1.5664880947952042e-08,2.886813774694019e-07
1803,1.5602713787643552e-08,1.735801902214007e-07
1804,1.9774807569206132e-08,2.546006498960196e-07
1805,1.9900143755080535e-08,1.7625842474444653e-07
1806,1.152667650217154e-08,1.7001848107156547e-07
1807,4.27043254092041e-08,7.971474502710407e-08
1808,1.3596443970698147e-08,1.0197332755979005e-07
1809,1.129515236897305e-08,9.713831161661801e-08
1810,1.1700633351097167e-08,1.2402671245581587e-07
1811,2.0056614147279106e-08,4.512738271955641e-08
1812,5.3344164641089264e-09,1.2802598803318688e-07
1813,1.7254450312975678e-08,1.984261785992203e-07
1814,2.2026739543434815e-08,1.9824065589091333e-07
1815,1.0788894222457657e-08,1.4565007688815967e-07
1816,4.6352077731626196e-09,1.5759707139295642e-07
1817,1.2454987263765815e-08,1.821541957269801e-07
1818,1.9073883805731384e-08,1.6332012364728143e-07
1819,2.2772310259711048e-08,1.366338580055526e-07
1820,8.306536791735653e-09,1.483310114736014e-07
1821,8.875339574387908e-09,1.548253720784487e-07
1822,8.02049271442229e-09,1.5740216952053743e-07
1823,8.894418535021487e-09,1.1760397455873317e-07
1824,5.894778887238772e-09,1.4905369027928828e-07
1825,1.0566531649658373e-08,1.5497579397560912e-07
1826,1.0569580766173203e-08,7.839106075380187e-08
1827,7.373818444733615e-09,1.244331855332348e-07
1828,1.0089530988466322e-08,1.8619770969507954e-07
1829,6.001223074036943e-09,1.8089401976340014e-07
1830,1.7742621594152297e-08,1.1689256496083544e-07
1831,3.897801548191637e-08,1.02901957177437e-07
1832,2.976593194148336e-08,1.041807635715486e-07
1833,1.3900354645102198e-08,1.7722950929055514e-07
1834,9.334531370086552e-09,1.6615464915048506e-07
1835,1.4369867074037757e-08,1.1117739262545001e-07
1836,1.9490174807401672e-08,1.4852857077585213e-07
1837,1.3219993100221927e-08,1.3567887435783632e-07
1838,1.0730675015224733e-08,7.574594462766981e-08
1839,1.11863602825224e-08,1.370329130168102e-07
1840,9.554533164646273e-09,2.3249363323429861e-07
1841,7.704658244733764e-09,1.4189411956522235e-07
1842,1.1404051036834062e-08,1.2276125005428185e-07
1843,1.2404512972352677e-08,1.1104992836408201e-07
1844,1.866110821424627e-08,1.2788348158210283e-07
1845,8.928364714222425e-09,1.1383664855202369e-07
1846,1.1709002656346001e-08,1.4167893880312477e-07
1847,1.833696039454935e-08,1.1433634483637434e-07
1848,7.24069959545659e-09,1.2389641312893218e-07
1849,5.865590679832167e-09,1.2736710175431654e-07
1850,1.5614691761811628e-08,1.1405513333784256e-07
1851,1.096404567135778e-08,1.2705393714895763e-07
1852,9.765818376195057e-09,1.0416872697760482e-07
1853,1.2541057081705276e-08,1.409375869343421e-07
1854,7.79349651480743e-09,1.1690244861028987e-07
1855,1.4328730202350926e-08,1.1622192630511563e-07
1856,1.0354378687793542e-08,9.526028321715785e-08
1857,1.5620829074691756e-08,1.1276286215888831e-07
1858,1.0276719919488642e-08,1.6589561369073635e-07
1859,1.8331824946926645e-08,1.629495471888731e-07
1860,1.373155189554609e-08,1.2678799521381734e-07
1861,1.650587222457034e-08,1.9288292207875202e-07
1862,1.400575744270327e-08,1.7936405072305206e-07
1863,1.3485475847119233e-08,1.1737358818209032e-07
1864,1.0068928801842958e-08,1.8267913048930495e-07
1865,1.1296426905005319e-08,1.1484700479513776e-07
1866,1.1677471434268227e-08,1.2310000840898283e-07
1867,1.067618526917613e-08,1.5917221674044413e-07
1868,8.89177353968762e-09,1.3288261868638074e-07
1869,8.30198221279943e-09,1.3625017913909687e-07
1870,9.17447806614291e-09,1.5768634398227732e-07
1871,1.1683295220166201e-08,9.983906323896008e-08
1872,1.3304146229131675e-08,1.3364619633193797e-07
1873,1.2570609442263958e-08,1.448613033971924e-07
1874,8.364453130127458e-09,1.200896377895333e-07
1875,1.0298748520654044e-08,1.7908379845721356e-07
1876,1.5115036333668286e-08,1.408721459483786e-07
1877,7.421779191219002e-09,1.2122239922973677e-07
1878,9.662541877730746e-09,1.3467168002989638e-07
1879,5.498392852132383e-09,1.0385853244088139e-07
1880,1.0910338410496934e-08,1.1102873997970164e-07
1881,6.9725074602899895e-09,1.1295462343241525e-07
1882,1.1314154946262533e-08,1.1580370085084724e-07
1883,1.8326083761621703e-08,1.0679682560521542e-07
1884,9.902545450302114e-09,1.1420935663863929e-07
1885,7.7347630522695e-09,1.3149096389497572e-07
1886,9.680196200179125e-09,1.2390650283577997e-07
1887,1.828098916689669e-08,1.416776598262004e-07
1888,1.268122939990235e-08,1.3378696905874676e-07
1889,9.397704836544563e-09,1.2404970561874507e-07
1890,1.1797895993481688e-08,1.3436492452001403e-07
1891,1.211101796627645e-08,1.2365987345219764e-07
1892,1.1283322720601063e-08,1.234896984669831e-07
1893,6.15841644346915e-09,1.2932675019783346e-07
1894,9.452309157609307e-09,1.5438770617492992e-07
1895,4.814891596538473e-09,1.3602068804630107e-07
1896,1.533227589334274e-08,1.3091404582610267e-07
1897,8.157399200570126e-09,9.322741334472084e-08
1898,1.7540900287826844e-08,1.2504963819992554e-07
1899,7.738609753005221e-09,1.4979737272824423e-07
1900,2.0245106924221545e-08,1.199133237150818e-07
1901,1.4530721514915967e-08,9.500855924216012e-08
1902,1.0311596021495006e-08,6.874397229239548e-08
1903,7.020286574288548e-09,1.0260418292773466e-07
1904,1.6123875568041512e-08,1.279160812828195e-07
1905,8.773290538499623e-09,1.3676012144969718e-07
1906,9.773950537805831e-09,9.67106714711008e-08
1907,1.337139288182243e-08,1.1725683179975022e-07
1908,8.349361202419914e-09,1.1394422472221777e-07
1909,7.151278680339601e-09,9.186642557779123e-08
1910,9.085056262847502e-09,9.886678498105539e-08
1911,6.916486494645824e-09,1.0587544352347322e-07
1912,1.2502610502451716e-08,1.4846850149297097e-07
1913,9.015082902408267e-09,1.2090816881027422e-07
1914,1.2054139020278853e-08,1.0580855303032877e-07
1915,1.767114277129167e-08,1.366568369576271e-07
1916,9.888715624128963e-09,1.2086208300843282e-07
1917,1.5352993543160665e-08,1.2501723745117488e-07
1918,8.040463406189247e-09,1.435796974647019e-07
1919,2.762354567309444e-09,6.905886351660229e-08
1920,9.843901693784574e-09,1.2418459505170176e-07
1921,7.572747762196741e-09,1.0980483722278223e-07
1922,3.6889677978990676e-09,1.2321152098593302e-07
1923,3.1847844361720945e-09,1.0297469543729676e-07
1924,6.445812328337297e-09,8.379555538340355e-08
1925,3.299453377181294e-09,1.0448268739082778e-07
1926,1.2260752413340015e-08,1.1146138234607861e-07
1927,3.3447675740205796e-09,9.699825653797234e-08
1928,4.570416489713125e-09,1.0626218482912009e-07
1929,7.798284684668033e-09,8.800920880958074e-08
1930,5.2518016602221e-09,1.0713675635543041e-07
1931,1.3686427990933225e-08,7.86969636124013e-08
1932,7.6716757391182e-09,9.425201596968691e-08
1933,3.4411986593596566e-09,7.685343916818965e-08
1934,7.188948103475923e-09,8.626737724171107e-08
1935,1.196828414151696e-09,8.138432860960165e-08
1936,1.2124714565686645e-09,7.396075574206407e-08
1937,8.813782592653752e-09,7.428759829508635e-08
1938,1.2965214457594243e-09,9.464606876008475e-08
1939,9.176430282309411e-09,1.1011716338771294e-07
1940,2.5357829169792012e-09,7.86092684279538e-08
1941,2.9515025978810172e-09,7.67390702094417e-08
1942,3.034211815133858e-08,1.0923162108156248e-07
1943,0.0,8.129058670647282e-08
1944,0.0,8.354284375400312e-08
1945,4.357008087652048e-09,7.62476446425353e-08
1946,4.1763312808029696e-09,8.491873870752897e-08
1947,4.7683483828109274e-09,8.106191984325051e-08
1948,6.523132700664291e-09,1.0871887923258328e-07
1949,4.908504269707237e-09,7.657266820615405e-08
1950,2.1270722960764488e-09,7.976520777219775e-08
1951,0.0,1.1087858098335346e-07
1952,5.272402070488624e-09,8.646739502182754e-08
1953,0.0,7.54167928107563e-08
1954,1.9545072227344917e-09,1.1336141625406526e-07
1955,3.754243138587299e-09,8.91632723210023e-08
1956,5.232684952005684e-09,7.587393469066228e-08
1957,3.534015080575159e-09,7.421432002274742e-08
1958,7.445019267748876e-09,6.038737865310395e-08
1959,3.100299128533379e-09,7.053180439697826e-08
1960,3.460416619915918e-09,9.066291539738813e-08
1961,4.86371165564492e-09,9.31053349972899e-08
1962,5.7077609305622445e-09,8.307962673370639e-08
1963,9.69907976156037e-09,7.112658551022832e-08
1964,1.8251904432275978e-09,8.21335746081786e-08
1965,2.188817349590977e-09,8.700548903561867e-08
1966,4.431259803538978e-09,8.474784607415131e-08
1967,5.916402479044791e-09,8.923907302005318e-08
1968,6.287982134978165e-09,9.656544364133879e-08
1969,7.2668124850849836e-09,7.039724891910737e-08
1970,7.3579600190498695e-09,9.289424696135029e-08
1971,1.0276794970565106e-09,7.039604810188393e-08
1972,1.5390440033513642e-09,5.899669019981957e-08
1973,5.513203782392395e-10,6.229920046507686e-08
1974,2.2502286700643026e-09,7.425754944279106e-08
1975,2.2845920710778955e-09,7.310694627449266e-08
1976,5.142174241967723e-09,6.113473460800378e-08
1977,2.3507127355770763e-09,7.110906352636448e-08
1978,5.940591352171509e-10,7.247521693898307e-08
1979,1.7555920051037788e-09,7.197927232027723e-08
1980,1.1370301367108482e-09,6.367368854398592e-08
1981,2.5302198114474095e-09,5.3134616706529414e-08
1982,4.966001831974154e-09,4.531476704983106e-08
1983,3.157658134966823e-09,5.810090897284681e-08
1984,5.219107812592938e-09,7.248760880429472e-08
