year,vingt - deux villes
1869,8.035968335207144e-09
1870,1.696487816893466e-08
1871,2.0996866245681645e-08
1872,1.923718428997745e-08
1873,1.9681273499827512e-08
1874,4.588614710421268e-09
1875,1.6346122622135084e-08
1876,1.1289413182069552e-08
1877,1.9061168643474957e-08
1878,1.6617093478998868e-08
1879,1.0752846890671464e-08
1880,1.201387128668685e-08
1881,1.0758149926459737e-08
1882,1.025868723303347e-08
1883,1.9506506632183118e-08
1884,1.3822200273239105e-08
1885,2.1306251429820122e-08
1886,7.82260833886994e-09
1887,2.1607872824347396e-08
1888,1.8870352391786582e-08
1889,1.5902342720419682e-08
1890,3.2530386162576974e-08
1891,9.135368905788255e-09
1892,4.84203210859846e-09
1893,2.7171767058575824e-08
1894,9.04645269805826e-09
1895,1.4612306475925152e-08
1896,9.756531582638672e-09
1897,8.37439351197844e-09
1898,8.739629464571408e-09
1899,4.88032814160988e-09
1900,1.663441295818302e-08
1901,1.1717957659751477e-08
1902,9.73287406225154e-09
1903,1.7882977321193039e-09
1904,1.36510216464103e-08
1905,1.9372846882248496e-08
1906,6.8107883777202005e-09
1907,2.841844759515766e-09
1908,9.222269170550135e-09
1909,3.6396392566473423e-09
1910,3.5390149699665585e-09
1911,1.644106850662297e-08
1912,8.621582558987484e-09
1913,1.2287310724445888e-08
1914,6.647934203130035e-09
1915,3.896428957261833e-09
1916,1.2093360757248206e-09
1917,0.0
1918,6.318848333464189e-09
1919,5.067473107800424e-09
1920,4.171688328113987e-09
1921,4.178479784400224e-09
1922,0.0
1923,8.211990198958574e-09
1924,2.849811275851266e-09
1925,0.0
1926,2.4691406697030516e-09
1927,1.1108411968052678e-08
1928,6.325825196995538e-09
1929,3.7027880761542065e-09
1930,0.0
1931,2.5257091973429624e-09
1932,7.277292102259025e-09
1933,1.0150381868356817e-08
1934,7.964505499558072e-09
1935,6.631869275963709e-09
1936,5.368917310732968e-09
1937,5.579036344016686e-09
1938,5.737644581671475e-09
1939,1.6942175440348706e-09
1940,0.0
1941,6.561927001769163e-09
1942,3.3643954289175326e-09
1943,6.422745446599265e-09
1944,3.5494505112865227e-09
1945,0.0
1946,1.5397358943403106e-09
1947,5.267131175656914e-09
1948,6.016032561007023e-09
1949,6.489644821527918e-09
1950,4.70510563843618e-09
1951,7.079435704326897e-09
