year,ses_DET îles_NOUN,ses_DET iles_NOUN,ses_DET villes_NOUN
1800,4.3389470505417194e-07,2.2009150946189493e-08,1.1193225191163947e-06
1801,2.619300805140057e-07,1.6668277424969347e-08,6.81018203607664e-07
1802,3.849085032925359e-07,1.7902721083373763e-08,1.3650825110289588e-06
1803,1.7553052944485614e-07,5.070882092006457e-08,9.166594594489652e-07
1804,4.2268651512245015e-07,1.7302956623055366e-08,8.354856362302598e-07
1805,2.5870187414511747e-07,1.1371510844071508e-08,1.3901671920280023e-06
1806,2.0459850702536642e-07,0.0,6.310855482638544e-07
1807,1.7651121630990474e-07,2.562259648897225e-08,9.765055963839586e-07
1808,2.7646103717415826e-07,1.3596443970698147e-08,1.314322901180276e-06
1809,3.4337264054329353e-07,6.7770915546105925e-09,8.403593483308214e-07
1810,1.8721014605205255e-07,1.6380887313260928e-08,6.575756223980989e-07
1811,1.579458341893769e-07,2.2563691359778204e-08,1.3488073307144077e-06
1812,3.78743580053964e-07,1.8670457180292033e-08,1.112225859856153e-06
1813,1.4091134414861983e-07,1.1502966579257645e-08,6.988052376755149e-07
1814,3.618678761085903e-07,1.8880061958270744e-08,1.4978182782954264e-06
1815,2.6972236688571627e-07,5.394447111228828e-09,9.871837782782222e-07
1816,2.2017236567251075e-07,4.6352077731626196e-09,7.694445081085632e-07
1817,2.693390968033782e-07,9.341240447824362e-09,1.0057402306529184e-06
1818,3.433298989552469e-07,1.192117760062672e-08,9.358123946867636e-07
1819,1.8528379541749018e-07,2.0702100700376036e-08,1.1355101463550454e-06
1820,5.684044559473023e-07,9.493184904840746e-09,1.2115676710777734e-06
1821,2.50481804964231e-07,1.676452932031225e-08,1.0857498224936535e-06
1822,1.965020715033461e-07,2.2056354964661296e-08,1.0727409289756906e-06
1823,2.9252754529807135e-07,2.2730180404550993e-08,1.1137788042958618e-06
1824,2.560018250719054e-07,1.6842225392110777e-08,1.1629556411207886e-06
1825,3.4605392329467577e-07,1.6730341556581152e-08,1.536549767422457e-06
1826,4.095712813345642e-07,2.025836387531399e-08,2.071637929645931e-06
1827,1.9448445698344585e-07,1.0139000472531023e-08,1.0443170381790878e-06
1828,3.0452039823103405e-07,1.742737271159811e-08,1.0960900453937938e-06
