year,vastes_ADJ îles_NOUN,vastes_ADJ iles_NOUN,vastes_ADJ villes_NOUN
1800,3.144164484325529e-09,0.0,0.0
1801,0.0,0.0,0.0
1802,0.0,0.0,0.0
1803,2.3404069793286908e-08,0.0,0.0
1804,1.4831105232815389e-08,0.0,2.4718509461507665e-09
1805,0.0,0.0,0.0
1806,0.0,0.0,0.0
1807,0.0,0.0,0.0
1808,0.0,0.0,4.5321479902327155e-09
1809,0.0,0.0,0.0
1810,9.360507036149102e-09,0.0,2.3401267590372754e-09
1811,2.5070767684098882e-09,0.0,0.0
1812,0.0,0.0,0.0
1813,0.0,0.0,5.751483289628823e-09
1814,0.0,0.0,0.0
1815,0.0,0.0,0.0
1816,0.0,0.0,0.0
1817,1.556873407970727e-09,0.0,0.0
1818,0.0,0.0,0.0
1819,1.035105001712111e-09,0.0,0.0
1820,2.3732962262101864e-09,0.0,0.0
1821,0.0,0.0,0.0
1822,1.4035862250239006e-08,0.0,0.0
1823,9.882686891060644e-10,0.0,0.0
1824,0.0,0.0,0.0
1825,5.283265824829186e-09,1.7610886082763955e-09,0.0
1826,9.688783109140786e-09,4.403992281964975e-09,0.0
1827,0.0,0.0,0.0
1828,2.7516904310687096e-09,0.0,0.0
1829,2.571952872898464e-09,0.0,0.0
1830,0.0,0.0,0.0
1831,6.236482441579483e-09,0.0,0.0
1832,1.3529969367098715e-09,0.0,0.0
1833,2.7800709290204395e-08,3.4750886612755494e-09,0.0
1834,6.534171426153534e-09,0.0,0.0
1835,9.075705520444899e-09,3.025235173481633e-09,0.0
1836,1.008112526790228e-08,0.0,0.0
1837,3.478945576063097e-09,1.3915781860163179e-09,0.0
1838,4.418513555037862e-09,0.0,6.312161904276081e-10
1839,1.11863602825224e-08,6.9914751765765e-10,0.0
1840,7.0066574764382494e-09,0.0,0.0
1841,5.1364388298225094e-09,1.2841097074556274e-09,1.2841097074556274e-09
1842,6.708265054555795e-09,0.0,0.0
1843,4.134837805480629e-09,0.0,5.906911071384968e-10
1844,2.7442805805577564e-09,0.0,2.7442805805577564e-09
1845,3.9061593959388574e-09,0.0,1.674068439427856e-09
1846,7.610851504580296e-09,5.854501328173001e-10,0.0
1847,5.393223645455691e-10,0.0,0.0
1848,9.65426583121598e-09,2.413566457803995e-09,3.218088684420195e-09
1849,1.9272654583346593e-08,1.6758829879393033e-09,5.865590679832167e-09
1850,1.3577992064028876e-09,0.0,0.0
1851,3.2247193804124663e-09,1.2898877521649865e-09,0.0
1852,7.812654523320361e-09,0.0,0.0
1853,0.0,0.0,5.971931837933653e-10
1854,4.676098175337984e-09,0.0,5.195664454227256e-10
1855,4.776243400783642e-09,0.0,0.0
1856,9.836659486950339e-09,5.177189232874468e-10,0.0
1857,9.763018171682347e-10,4.881509085841174e-10,9.763018171682347e-10
1858,2.936205500958522e-09,9.787352039936081e-10,0.0
1859,1.5276520048956854e-09,0.0,0.0
1860,4.119465657481669e-09,4.577183909670879e-10,0.0
1861,1.4147891747029462e-09,0.0,0.0
1862,5.873382225018986e-09,9.035972525772706e-10,0.0
