year,les_DET îles_NOUN,les_DET iles_NOUN,les_DET villes_NOUN
1800,1.8465677726453578e-05,1.3016840654245243e-06,2.9140116339476663e-05
1801,1.7735047549649607e-05,1.776362196892478e-06,3.413187096157344e-05
1802,1.946249471984629e-05,1.4322177150916104e-06,3.242630441491201e-05
1803,2.0076791088285972e-05,1.2930749153650112e-06,4.2919164116028696e-05
1804,2.2081043880461948e-05,1.5696252999575222e-06,3.1595197924616514e-05
1805,1.2394947134453105e-05,9.324638874375069e-07,3.6656064594353666e-05
1806,1.2587130754582176e-05,9.653591570568665e-07,3.594594181777211e-05
1807,1.6791341977295815e-05,1.5601314018454104e-06,4.269009264135093e-05
1808,1.982588059945556e-05,1.2259460362429309e-06,4.097741498299001e-05
1809,1.7371945205013617e-05,1.2447258184167254e-06,4.423181667334575e-05
1810,1.1915925824723672e-05,1.2355869429825361e-06,2.7386503802517836e-05
1811,1.6220787074416876e-05,1.7975740078668423e-06,4.1940885694202734e-05
1812,1.4306904859040515e-05,9.415245187938126e-07,3.410825934224704e-05
1813,1.7734697848936776e-05,1.4234921295042113e-06,3.1952365361576085e-05
1814,1.1123503782073385e-05,1.0446967912969285e-06,3.793004498220398e-05
1815,1.7143553122878075e-05,1.1544116735873189e-06,3.590004394027346e-05
1816,1.8726239318311855e-05,9.919344758912985e-07,3.0309623070934322e-05
1817,1.6057592688412115e-05,1.0804701418010154e-06,3.5963777008873876e-05
1818,1.4238653989195882e-05,9.250833867824326e-07,4.090990364602476e-05
1819,1.261482447034723e-05,7.701181243824351e-07,4.025316184197436e-05
1820,1.7993146002481808e-05,1.1427421213738853e-06,3.605393067118712e-05
1821,1.2167103932370082e-05,8.332957381895767e-07,3.352610019646818e-05
1822,1.2964123982328601e-05,1.1990636892278417e-06,3.657445108729007e-05
1823,1.3094560358695162e-05,1.305502955517568e-06,3.697508623190515e-05
1824,1.1698610023813671e-05,1.0374810957003433e-06,3.476656524981081e-05
1825,1.5953702131810132e-05,1.7276279447031584e-06,3.62405619398487e-05
1826,1.8236931737192208e-05,1.7334113504574589e-06,4.684526493292651e-05
1827,1.584817891853163e-05,1.2931834527663e-06,3.4465226917745895e-05
1828,1.4728881751580047e-05,1.4629820253020398e-06,3.5275753134556e-05
1829,1.460097655581194e-05,2.082424478189182e-06,3.5801583635475254e-05
1830,1.4773341490581515e-05,1.3463518362399896e-06,3.881041902786819e-05
1831,1.2505706195042876e-05,1.0025145353864673e-06,3.6784332451134105e-05
1832,1.2643756292618491e-05,1.5789474296923345e-06,3.248680923206848e-05
1833,2.4092788180496427e-05,3.2874338788957402e-06,3.397362502255419e-05
1834,1.696270896900387e-05,1.6662138371259516e-06,4.066868314112071e-05
1835,1.3907006064073357e-05,1.8983350216217332e-06,3.849536096822703e-05
1836,1.3791650758321339e-05,1.582064548699691e-06,4.3061861561000114e-05
1837,1.3495525081452797e-05,1.9983063177519966e-06,4.4219483015695005e-05
1838,1.1000835513641505e-05,2.006636307783083e-06,5.048340699431719e-05
1839,1.3762719277110591e-05,2.2260856979983146e-06,4.373447200123337e-05
1840,1.247885734301235e-05,2.1440371433811833e-06,4.6605102170360624e-05
1841,1.1915896095615608e-05,1.8542543935851086e-06,3.810017597061233e-05
1842,1.1824659054582298e-05,1.5522925451705305e-06,4.13175455378223e-05
1843,1.2501977380452445e-05,2.031977416550035e-06,3.9666678276262246e-05
1844,1.1029263987438753e-05,1.69706311581308e-06,4.8726349632488564e-05
1845,9.930015494319377e-06,1.697505346953676e-06,3.8028695144021185e-05
1846,1.1536880606399791e-05,1.7926482769325958e-06,4.114894818485482e-05
1847,1.1509139653753664e-05,2.0273127852021844e-06,4.2067144022439606e-05
1848,1.2083922740657727e-05,1.8849954379618339e-06,4.307894300836779e-05
1849,1.0589904945845774e-05,2.047929022808148e-06,3.457765524217393e-05
1850,8.287327432299207e-06,1.8045151213286204e-06,3.708692679538217e-05
1851,9.187870489313354e-06,1.46402260980949e-06,3.7995578850313905e-05
1852,8.387536070131318e-06,1.8815476305888978e-06,3.679043970805651e-05
1853,1.1822036242392642e-05,1.894893941312148e-06,3.7387280599432415e-05
1854,9.806297384784557e-06,1.5638949619756204e-06,3.435789039940573e-05
1855,1.088134393967266e-05,1.675400088885226e-06,3.402595848456258e-05
1856,8.754109671826882e-06,1.7731873018789202e-06,3.4980715327037615e-05
1857,9.036649885274528e-06,1.5933246153565506e-06,3.434239260968752e-05
1858,7.913074114185292e-06,1.379527233780209e-06,3.8255823938015965e-05
1859,9.18424365181636e-06,1.737958751135693e-06,3.503007974359207e-05
1860,8.61471767166222e-06,1.2376705669225885e-06,3.5257588478998514e-05
1861,8.548155790322198e-06,1.5661715284664979e-06,3.328904404042987e-05
1862,9.031906586187688e-06,1.3391311188826194e-06,3.4867557587858755e-05
1863,9.370408406539354e-06,1.584793196229839e-06,3.3418010843888624e-05
1864,1.0455383346652525e-05,1.8023382288845369e-06,3.3204928286068025e-05
1865,9.191525407459267e-06,1.3503936031611374e-06,3.562940128176706e-05
1866,9.141513885424501e-06,1.5088265854501515e-06,3.2300372140525724e-05
1867,8.949555194703862e-06,1.4306088687021656e-06,3.617382594711671e-05
1868,8.377038625440036e-06,1.3851406670539745e-06,3.2222304071183316e-05
1869,8.775195908583555e-06,1.1398133601403515e-06,2.8218439410920837e-05
1870,8.246709114700934e-06,1.3733046682062877e-06,3.164564145663462e-05
1871,6.097617671230182e-06,9.028000729216501e-07,2.9369679396040738e-05
1872,8.044775313464925e-06,1.195558960276344e-06,2.9127009042895224e-05
1873,9.447112518046197e-06,1.5952701986066131e-06,2.9489452117559267e-05
1874,8.277223400909861e-06,1.118446856906985e-06,3.2628534313516866e-05
1875,8.224122723277105e-06,1.1174142482417437e-06,2.9806295515300008e-05
1876,9.849563014086016e-06,1.4177904859025148e-06,3.14906683342997e-05
1877,9.836331400947529e-06,1.3810694170501847e-06,3.0327246008710063e-05
