year,ces_DET idéaux_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,8.57317605795771e-10
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,1.5126175867408165e-09
1836,3.3603750337896088e-09
1837,0.0
1838,4.418513555037862e-09
1839,7.690622805256453e-09
1840,1.9109065441114126e-09
1841,6.420548537278137e-10
1842,3.3541325272778977e-09
1843,0.0
1844,3.2931368743049916e-09
1845,4.464182357111213e-09
1846,4.0981511517657054e-09
1847,2.6966118227278457e-09
1848,9.65426583121598e-09
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,1.1943863675867306e-09
1854,0.0
1855,0.0
1856,2.485050742961903e-08
1857,3.4170564155999728e-09
1858,8.31924928945682e-09
1859,9.165912029374113e-09
1860,0.0
1861,3.3011746669586728e-09
1862,3.162590411776023e-09
1863,6.493007020935693e-09
1864,5.753673537611803e-09
1865,4.706844358715045e-10
1866,1.4596839292835284e-09
1867,1.455843445796745e-09
1868,0.0
1869,4.883519366671862e-09
1870,0.0
1871,2.1242354542039266e-09
1872,3.628403577593531e-09
1873,5.986004469882289e-10
1874,0.0
1875,0.0
1876,6.04601479992084e-10
1877,4.329371083855449e-09
1878,4.831270883354222e-09
1879,2.443730107160036e-09
1880,2.5671385017744797e-09
1881,0.0
1882,0.0
1883,3.791603475633565e-09
1884,1.4523733327109767e-08
1885,3.86738152613475e-09
1886,2.5813855497602844e-09
1887,0.0
1888,6.974675947901687e-09
1889,6.265136742733546e-10
1890,4.588070645628051e-09
1891,4.461953917456185e-09
1892,9.402768341715273e-09
1893,3.079208221734575e-09
1894,1.8904617871129403e-09
1895,7.22233739480771e-09
1896,5.307326134129653e-09
1897,1.2818770045441852e-08
1898,1.4145887128336199e-08
1899,2.4874102777516782e-08
1900,5.19105292084987e-09
1901,1.1736351446245408e-08
1902,8.347482705062248e-09
1903,8.100329962346109e-09
1904,1.289910045443321e-08
1905,3.612531440655431e-09
1906,2.36632491379396e-08
1907,1.2857108266928208e-08
1908,1.7189861978295085e-08
1909,2.805501675418043e-08
1910,5.878565634276356e-09
1911,2.128149700908466e-08
1912,3.021464278774033e-08
1913,1.590896925307561e-08
1914,2.5447626228469744e-08
1915,9.424609537234119e-09
1916,6.7023519179088e-08
1917,1.315970976634162e-08
1918,1.6080927700556913e-08
1919,1.5653341733923298e-08
1920,3.483226640454973e-08
1921,2.4232791773215467e-08
1922,1.5493664795585005e-08
1923,4.140219678205881e-08
1924,3.996403541428606e-08
1925,8.798542339150117e-09
1926,2.6750731407787498e-08
