year,ses_DET oeufs_NOUN,ses_DET voeux_NOUN
1800,6.854278495893595e-07,9.872676507427514e-07
1801,8.619880809135338e-07,6.953052906766288e-07
1802,9.264658160645922e-07,6.601628683711169e-07
1803,3.2453644394081493e-06,5.89002421946816e-07
1804,7.34139717906146e-07,5.586383124978056e-07
1805,2.3311597452391197e-07,6.822906568615394e-07
1806,7.780506727783632e-08,3.025752617347166e-07
1807,1.822051274302794e-07,3.672572184143519e-07
1808,1.7448769229488903e-07,5.302613068636219e-07
1809,1.0165637065462363e-07,6.483417429592464e-07
1810,1.4976810946976116e-07,6.037526851798702e-07
1811,7.521230127593981e-08,4.989082533768396e-07
1812,5.067695596494559e-08,3.2006499983694425e-07
1813,8.339650969801937e-08,4.3423698059541493e-07
1814,1.3530711440168375e-07,5.475218234352042e-07
1815,5.39444717784221e-08,4.099779924437996e-07
1816,1.8309069993449612e-07,3.012884928210724e-07
1817,2.2263290322399598e-07,4.421520509723109e-07
1818,3.0041366372302036e-07,3.254481408809795e-07
1819,2.3910925150971707e-07,3.022506636085609e-07
1820,4.9839219862235495e-08,4.046470207796915e-07
1821,5.0293590514449704e-08,2.8401087437401884e-07
1822,6.015369535816717e-08,2.7269676650121255e-07
1823,7.016707892493201e-08,2.638677401023415e-07
1824,7.831634896149353e-08,2.8379149075163923e-07
1825,5.1952114388242876e-08,2.518356776448627e-07
1826,9.7768624973682e-08,2.3605398435933012e-07
1827,7.558163755971847e-08,2.5347501297900976e-07
1828,6.51233389437067e-08,2.4490045302805186e-07
1829,5.3153690893203986e-08,2.529086899905053e-07
1830,7.723258477199124e-08,2.1291144935986495e-07
1831,3.741889442743229e-08,2.011265536339124e-07
1832,4.0589908545385356e-08,3.2471926481036917e-07
1833,2.89590715851773e-08,2.58314907242152e-07
1834,4.947301368574131e-08,2.613668574902306e-07
1835,4.0840674842002045e-08,1.9058980882391552e-07
1836,6.048675027514605e-08,1.915413831987678e-07
1837,5.635891620059397e-08,2.108240924059146e-07
1838,5.7440673995046154e-08,1.2687446049319817e-07
1839,5.663094793106893e-08,1.7758346282370496e-07
1840,3.3759350426265655e-08,1.4841374973428856e-07
1841,5.521671653241356e-08,1.470305646122938e-07
1842,1.0062397848287219e-07,1.999062941848706e-07
1843,4.961805377678985e-08,2.0496981911755086e-07
1844,3.293136835447186e-08,1.0702694774877841e-07
1845,4.296775690804111e-08,1.1048851367156942e-07
1846,4.332331005052481e-08,1.0245376991235844e-07
1847,5.3932236454556914e-08,1.1919023990003552e-07
1848,3.700802103656642e-08,1.279190290359722e-07
1849,4.5248841340495005e-08,1.047426883005187e-07
1850,3.530277759011824e-08,1.289909228319175e-07
1851,2.3862922748918436e-08,9.029214176337064e-08
1852,5.0131199635927715e-08,9.635607356450748e-08
1853,6.628844229084052e-08,8.89817832749884e-08
1854,1.922395914677466e-08,1.0443285636263511e-07
1855,3.078023524949458e-08,1.1887538775567918e-07
1856,2.226191442300518e-08,1.03543785989757e-07
1857,2.8800904106063285e-08,1.0104723835446805e-07
1858,1.5659764096565e-08,1.0472466405175851e-07
1859,3.920973368209957e-08,1.4359929312313113e-07
1860,7.140407021211104e-08,9.657858351941329e-08
1861,2.923897507445261e-08,1.160127081067941e-07
1862,4.292087130153277e-08,7.454677608542681e-08
1863,3.096664924484571e-08,1.6382355916277902e-07
1864,1.7740493851725603e-08,1.0212770273909655e-07
1865,2.400490611842443e-08,8.236977921960431e-08
1866,3.259960479340407e-08,8.466166612208781e-08
1867,2.426405742994575e-08,1.1015882250831055e-07
1868,2.7169306804353255e-08,8.743577439851435e-08
1869,3.076617005604021e-08,1.0255389970570405e-07
1870,2.1789385407089412e-08,9.690542768225896e-08
1871,1.911811864374613e-08,8.815577245968598e-08
1872,2.3584624031514068e-08,9.554796154276346e-08
1873,3.1725821969530443e-08,1.0236067771174362e-07
1874,3.764003819739514e-08,9.021659819197225e-08
1875,4.1194994082616176e-08,8.639505943985881e-08
1876,2.8416270225761764e-08,7.194757567496879e-08
1877,3.896434142003358e-08,8.225805525619023e-08
1878,9.058633199110488e-08,1.5097722361190336e-07
1879,2.993569458986656e-08,1.0935692529301377e-07
1880,3.016387850607316e-08,7.123809542264326e-08
1881,3.2770783919833235e-08,7.181682804002776e-08
1882,3.926677161203429e-08,1.437563224016003e-07
1883,3.5388296737437486e-08,8.278334312494806e-08
1884,3.6969503014461225e-08,8.516188820806292e-08
1885,1.740321664556177e-08,8.894977210349708e-08
1886,4.646494033977433e-08,5.679048098450323e-08
1887,4.1132223627116105e-08,7.704131377295198e-08
1888,2.4728396663675767e-08,7.164894411104683e-08
1889,3.445825286219062e-08,8.26998047820382e-08
1890,2.6872984115744458e-08,9.372772424853792e-08
1891,2.42220359325529e-08,7.457837614133211e-08
1892,4.2625884599800656e-08,9.340083795272847e-08
1893,4.865149016985981e-08,8.744951451866712e-08
1894,3.843939100356408e-08,6.175508304728794e-08
1895,2.1065151400989635e-08,5.777869782619405e-08
1896,2.6536631059226323e-08,7.725107953326926e-08
1897,4.836172218247725e-08,6.817254671886985e-08
1898,2.4330926717830437e-08,6.733442647899324e-08
1899,4.69844163575317e-08,5.472302611053692e-08
