year,certains_DET ans_NOUN,certains_DET vents_NOUN
1800,0.0,2.2952401224074492e-07
1801,2.3811825844433088e-09,1.5239568540437176e-07
1802,0.0,1.4769744893783354e-07
1803,0.0,1.911332390136522e-07
1804,0.0,1.1370514130248921e-07
1805,0.0,1.6772979072321448e-07
1806,0.0,9.797675115663651e-08
1807,0.0,9.679647661187119e-08
1808,0.0,6.571614363792833e-08
1809,0.0,6.325285539787728e-08
1810,0.0,1.2870697219113936e-07
1811,0.0,1.5293167621166504e-07
1812,0.0,4.800974906515876e-08
1813,0.0,2.53065256972107e-07
1814,0.0,6.608022173892891e-08
1815,0.0,5.3944470224109864e-08
1816,0.0,1.9236111903353503e-07
1817,0.0,1.6814232139950036e-07
1818,0.0,1.0252212234718172e-07
1819,0.0,9.315945215249144e-08
1820,0.0,9.849179516407958e-08
1821,0.0,1.065040748926549e-07
1822,0.0,1.082766516447009e-07
1823,0.0,7.41201504617095e-08
1824,0.0,6.484257131234017e-08
1825,1.7610886082763955e-09,8.365170600654892e-08
1826,0.0,1.5766292493779588e-07
1827,1.566936447261469e-08,1.336504533711036e-07
1828,0.0,1.036470014814661e-07
1829,0.0,8.573176302206775e-08
1830,0.0,8.349468894053302e-08
1831,1.5591206103948707e-09,1.3096613038499072e-07
1832,0.0,9.606278128515555e-08
1833,0.0,9.38273876371909e-08
1834,3.733812370398937e-09,9.894602737148261e-08
1835,6.050470346963266e-09,1.2554725969948777e-07
1836,6.720750067579218e-10,1.075320019694459e-07
1837,6.957890930081589e-10,8.697363695908678e-08
1838,0.0,1.1425012935717405e-07
1839,0.0,8.110111004988596e-08
1840,3.1848443882154243e-09,7.962110826209567e-08
1841,0.0,6.80578122747022e-08
1842,0.0,6.43993427473788e-08
1843,0.0,9.451057536580265e-08
1844,0.0,9.385439736497858e-08
1845,0.0,7.812318936206708e-08
1846,5.854501328173001e-10,9.191566863187006e-08
1847,0.0,7.874106700000993e-08
1848,0.0,8.20612626739603e-08
1849,8.379414939696517e-10,1.1563592750007956e-07
1850,0.0,9.165144820855176e-08
1851,0.0,4.514607288008676e-08
1852,0.0,7.291811243703705e-08
1853,0.0,1.0809196737682214e-07
1854,2.5978321716024766e-09,9.144369156333099e-08
1855,5.306937111981824e-10,8.172682797180642e-08
1856,4.141751386299575e-09,8.024642994541864e-08
1857,4.393358121745905e-09,9.909463782875605e-08
1858,0.0,5.3830436552715355e-08
1859,1.5276520048956854e-09,4.6338775927523557e-08
1860,9.154367819341758e-10,7.552353498141429e-08
1861,6.13075279431996e-09,5.093240851294922e-08
1862,4.517986262886353e-10,6.144461650592348e-08
1863,9.989241656072068e-10,6.892576553951812e-08
1864,4.794727948009836e-10,8.246932026167997e-08
1865,5.6482134525026595e-09,6.118897705187365e-08
1866,1.4596839292835284e-09,8.952727714728326e-08
1867,0.0,6.357183224281471e-08
1868,0.0,6.866425072971083e-08
1869,0.0,7.960136150231278e-08
1870,2.2936195165357276e-09,6.99553956984289e-08
1871,0.0,5.098164979067121e-08
1872,6.047339295989218e-10,6.893966553178643e-08
1873,0.0,5.566984045968226e-08
1874,0.0,5.138163983176014e-08
1875,0.0,6.75140180983469e-08
1876,3.627608879952504e-09,6.166934962692494e-08
1877,0.0,6.61775281241006e-08
1878,3.6234530931267273e-09,6.461824986203624e-08
1879,0.0,8.186495525919213e-08
1880,0.0,7.444701566328149e-08
1881,2.091752326904839e-09,5.578006068152064e-08
1882,0.0,5.191200580512145e-08
1883,0.0,6.256145423932935e-08
1884,6.601696966868076e-10,6.469663116348556e-08
1885,0.0,4.4474886218281995e-08
1886,1.2906927748801422e-09,3.8075435915274625e-08
1887,0.0,4.439668632727489e-08
1888,5.706553452000662e-09,3.614150223540946e-08
1889,6.265136742733546e-10,3.445825202952335e-08
1890,2.6217545912032847e-09,4.1948073015163345e-08
1891,2.5496880162734215e-09,5.673055758492751e-08
1892,0.0,2.8835156484774416e-08
1893,6.158416554491453e-10,5.1114856403078335e-08
1894,0.0,3.5918775731502706e-08
1895,6.018614495673091e-10,3.791727065660666e-08
1896,0.0,3.3613064720494634e-08
1897,0.0,7.225124754040024e-08
1898,5.6583548957434e-10,3.451596430892323e-08
1899,0.0,4.0351324059884064e-08
1900,5.191053142894475e-10,5.139142500443228e-08
1901,0.0,2.2913829056392387e-08
1902,0.0,5.352209342390779e-08
1903,0.0,4.806195974538241e-08
1904,5.374625189347171e-10,5.5896101969210576e-08
1905,0.0,4.489860377931976e-08
1906,0.0,3.652371005635757e-08
1907,0.0,3.754275779144223e-08
1908,2.4556945366072114e-09,4.174680867663483e-08
1909,0.0,1.870334331854906e-08
1910,5.344150677544235e-10,4.702852507421085e-08
1911,6.384448969498635e-09,6.916486494645824e-08
1912,5.209421227725386e-10,2.7088990162127402e-08
1913,1.060597942803554e-09,4.8787505202430026e-08
1914,0.0,3.4153393446700875e-08
1915,0.0,2.0027295377644805e-08
1916,0.0,2.6369908923129515e-08
1917,0.0,1.5352993543160665e-08
1918,1.1486376294556067e-09,3.216185273657857e-08
1919,0.0,3.775218004875569e-08
1920,0.0,4.240449769099541e-08
1921,0.0,2.0446417892117097e-08
1922,1.4755870969551665e-09,3.4676296833957565e-08
1923,1.0615948120573648e-09,2.7601466001669905e-08
1924,0.0,2.8361574311297488e-08
1925,0.0,2.6395627683584166e-08
1926,0.0,1.2260752413340015e-08
1927,0.0,3.4562596784581956e-08
1928,0.0,2.170947821511504e-08
1929,2.2280812750352652e-09,3.5649300400564243e-08
1930,0.0,2.520864805788392e-08
1931,2.2810713318222042e-09,2.8513392535955973e-08
1932,3.287861094491973e-09,4.274219245203881e-08
1933,1.1470662197865522e-09,1.7205992852709073e-08
1934,0.0,4.7926320689839486e-08
1935,8.377798899061872e-09,3.351119559624749e-08
1936,0.0,2.7886843501079284e-08
1937,1.2591118148108649e-09,3.6514241852358964e-08
1938,3.8895642262559704e-09,3.500607925754906e-08
1939,0.0,2.141167065872196e-08
1940,0.0,3.803674530900025e-08
1941,0.0,2.9515025090631752e-08
1942,0.0,4.8547388331598995e-08
1943,2.9032352077962287e-09,1.161294105322952e-08
1944,0.0,1.927911696952833e-08
1945,0.0,1.089252021913012e-08
1946,0.0,8.352662561605939e-09
1947,0.0,2.3841742358143847e-08
