year,trois_DET oeufs_NOUN,trois_DET voeux_NOUN
1800,1.0690159513160324e-07,0.0
1801,6.429193177837078e-08,0.0
1802,5.594600338554301e-08,0.0
1803,3.70564464446943e-07,1.950339223455444e-09
1804,4.943701981119375e-08,0.0
1805,1.1371510844071508e-08,5.685755422035754e-09
1806,1.729001475325731e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,9.036122072814123e-09,0.0
1810,2.8081521108447305e-08,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,5.751483289628823e-09,8.627225156487839e-09
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,1.8540831092650478e-08,0.0
1817,4.826307531402563e-08,0.0
1818,4.768470773797162e-08,5.960588467246453e-09
1819,8.280840013696888e-09,0.0
1820,1.6613073583471305e-08,0.0
1821,9.86148829262845e-10,9.86148829262845e-10
1822,4.010246357211145e-09,1.0025615893027862e-09
1823,1.087095569118901e-08,9.882686891060644e-10
1824,1.6842225392110777e-08,0.0
1825,2.641632912414593e-09,2.641632912414593e-09
1826,2.1139161532346407e-08,2.642395191543301e-09
1827,5.530363722527909e-09,1.8434546111834038e-09
1828,1.834460228167245e-08,9.172301251858528e-10
1829,8.573175946935407e-09,8.57317605795771e-10
1830,6.262101504006523e-09,1.0436835840010872e-09
1831,1.4032085715598441e-08,0.0
1832,0.0,0.0
1833,6.950176989484191e-09,0.0
1834,5.600718555598405e-09,2.8003592777992026e-09
1835,2.4201881387853064e-08,1.5126175867408165e-09
1836,4.032449929525228e-09,1.3441500135158435e-09
1837,3.478945576063097e-09,0.0
1838,2.5248647617104325e-09,0.0
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,1.3376346252869098e-08,0.0
1841,3.852329122366882e-09,1.2841097074556274e-09
1842,5.366612043644636e-09,0.0
1843,2.3627644285539873e-09,1.1813822142769936e-09
1844,5.488561161115513e-09,0.0
1845,5.580227946389016e-10,5.580227946389016e-10
1846,3.5127007969038004e-09,0.0
1847,9.168480197274675e-09,1.0786447290911383e-09
1848,8.84974404868899e-09,8.045221711050488e-10
1849,7.54147322368226e-09,0.0
1850,3.394498016007219e-09,1.3577992064028876e-09
1851,6.449438760824933e-09,0.0
1852,2.6042181744401205e-09,6.510545436100301e-10
1853,6.569124799682413e-09,0.0
1854,6.754363734984281e-09,0.0
1855,3.1841622671890946e-09,5.306937111981824e-10
1856,6.730345947225658e-09,0.0
1857,1.9526036343364694e-09,0.0
1858,1.468102750479261e-09,4.893676019968041e-10
1859,1.5276520048956854e-09,5.092173349652285e-10
1860,1.8308735638683515e-09,4.577183909670879e-10
1861,2.8295783494058924e-09,1.4147891747029462e-09
1862,1.9879140111811466e-08,0.0
1863,4.495158911765884e-09,4.994620828036034e-10
1864,1.4384183844029508e-09,9.589455896019672e-10
1865,4.706844358715045e-10,1.882737743486018e-09
1866,9.731225825149181e-10,0.0
1867,3.396968040192405e-09,0.0
1868,3.951899252285784e-09,9.87974813071446e-10
1869,1.953407657850903e-09,9.767038289254515e-10
1870,1.7202146374017957e-09,5.734048791339319e-10
1871,1.0621177271019633e-09,0.0
1872,1.8142017887967654e-09,6.047339295989218e-10
1873,4.788803575905831e-09,0.0
1874,4.182226565063729e-09,0.0
1875,5.721527251978387e-09,0.0
