year,plusieurs_DET ans_NOUN,plusieurs_DET vents_NOUN
1800,9.432493897065797e-09,6.917161954334006e-08
1801,7.143547753329926e-09,5.476719877606229e-08
1802,2.2378401354217203e-08,2.2378401354217203e-08
1803,1.5602713787643552e-08,2.5354410126965377e-08
1804,2.4718509461507665e-09,2.4718509905596875e-08
1805,5.685755422035754e-09,7.960057502032214e-08
1806,2.881669125542885e-09,3.7461699520235925e-08
1807,8.540865792383556e-09,3.131650672116848e-08
1808,0.0,3.852325747288887e-08
1809,4.518061036407062e-09,4.0662547995395926e-08
1810,1.4040760554223652e-08,2.574139479349924e-08
1811,5.0141535368197765e-09,2.5070768572277302e-08
1812,1.8670458068470452e-08,2.400487364440096e-08
1813,5.751483289628823e-09,1.4378708002027452e-08
1814,3.1466771410748606e-09,2.5173417128598885e-08
1815,2.697223555614414e-09,5.1247248222807684e-08
1816,2.3176038865813098e-09,2.3176038865813098e-08
1817,9.341240669868967e-09,3.89218364205135e-08
1818,1.7881766067873173e-08,5.960588467246453e-09
1819,3.1053151161586356e-09,1.3456364911235141e-08
1820,2.610625848831205e-08,1.5426425470366212e-08
1821,4.2404398215012407e-08,7.889190412058156e-09
1822,4.411270992932259e-08,2.105379337535851e-08
1823,9.882687224127551e-09,1.581229902569703e-08
1824,8.252690264498597e-08,4.21055617039201e-08
1825,6.163809906922779e-09,1.2327619813845558e-08
1826,4.4039921931471326e-08,1.6735169694470642e-08
1827,3.133872894522938e-08,3.96342727526644e-08
1828,8.346794067026764e-08,2.017906314266682e-08
1829,1.2859763920403111e-08,2.2290258194779256e-08
1830,1.6698937344017395e-08,2.9223141018164256e-08
1831,3.274153215215847e-08,4.053713453799901e-08
1832,1.2176972319366541e-08,1.3529969367098715e-09
1833,4.6334514003376626e-09,2.89590715851773e-08
1834,3.547121618652227e-08,1.120143711119681e-08
1835,2.647080776796429e-08,1.739510224751939e-08
1836,2.352262562510532e-08,1.0753200274660202e-08
1837,4.0355768504696243e-08,2.2265250976261086e-08
1838,2.3354999711955315e-08,2.7773513266993177e-08
1839,1.677954131196202e-08,2.0275278567183364e-08
1840,1.6561189752906103e-08,1.46502836528839e-08
