year,vieux_ADJ airs_NOUN
1800,2.2009151834367913e-08
1801,1.6668277424969347e-08
1802,4.475680270843441e-09
1803,5.851017803593095e-08
1804,3.213406074564773e-08
1805,1.7057265822018053e-08
1806,2.0171682990621775e-08
1807,5.693910232196231e-09
1808,6.798221985349073e-09
1809,4.0662548883574345e-08
1810,2.3401266702194334e-08
1811,7.521229861140455e-09
1812,2.6672082320544632e-09
1813,8.627225156487839e-09
1814,9.440030979135372e-09
1815,8.091670444798638e-09
1816,3.244645441213834e-08
1817,1.71256075987003e-08
1818,1.668964877410417e-08
1819,1.6561680027393777e-08
1820,3.322614716694261e-08
1821,4.2404398215012407e-08
1822,4.0102463572111446e-08
1823,8.894418535021487e-09
1824,1.431589158329416e-08
1825,1.6730341556581152e-08
1826,2.6423952803611428e-08
1827,2.765181922326221e-08
1828,1.7427371545863934e-08
1829,4.115124596637543e-08
1830,3.235419043789989e-08
1831,3.897801548191637e-08
1832,4.8707889277466165e-08
1833,6.718504863556518e-08
1834,4.0138484536100805e-08
1835,5.445423312266939e-08
1836,3.024337402735e-08
1837,3.896418832027848e-08
1838,1.5149188570262595e-08
1839,3.5656523067473245e-08
1840,5.987507023519356e-08
1841,8.667740569734406e-08
1842,5.500777433553594e-08
1843,3.6622846977252266e-08
1844,4.390849023261367e-08
1845,4.464182268293371e-08
1846,4.4494210982293225e-08
1847,5.716816975365191e-08
1848,4.746680865030939e-08
1849,1.4245005175439474e-08
1850,3.86972773824823e-08
1851,3.5471913406581734e-08
1852,4.101643469311966e-08
1853,7.584353767242646e-08
1854,6.494580873095401e-08
1855,6.580602018857462e-08
1856,3.986435714864456e-08
1857,8.200935042168567e-08
1858,9.200110895335456e-08
1859,8.656694916453489e-08
1860,8.284703056915532e-08
1861,5.659156343540417e-08
1862,6.054101933661293e-08
1863,5.8437063188421234e-08
1864,6.376988181955312e-08
1865,4.8009813014004976e-08
1866,8.90407179099384e-08
1867,8.104195359237565e-08
1868,5.8290513749170714e-08
1869,9.132180878168583e-08
1870,5.6193677266946906e-08
1871,3.9298356568906456e-08
1872,5.2007116613239646e-08
1873,5.3874039451784483e-08
1874,5.377148326601855e-08
1875,4.63443683429432e-08
1876,6.711076139254146e-08
1877,9.772008979780367e-08
1878,1.2017786316098622e-07
1879,6.231511662235789e-08
1880,5.455169471701993e-08
1881,9.970685965754456e-08
1882,9.517200694197925e-08
1883,6.76169292224138e-08
1884,1.2411189942440615e-07
1885,9.346171503388234e-08
1886,1.0002868777725382e-07
1887,9.466940931179835e-08
1888,1.1476512651320547e-07
1889,1.2217016320814622e-07
1890,1.0093755165030416e-07
1891,1.1983533576565009e-07
1892,9.966934966243457e-08
1893,1.0407723793903756e-07
1894,8.065970291681879e-08
1895,9.509410858754563e-08
1896,8.314810606702139e-08
1897,1.042981736532056e-07
1898,1.1939128796711884e-07
1899,9.175780135706191e-08
1900,1.1160764457063266e-07
1901,1.1456914705831878e-07
1902,8.151071506645735e-08
1903,1.0962446839180018e-07
1904,9.190608896147978e-08
1905,1.0476341022469526e-07
1906,8.745114010721977e-08
1907,1.2291396112029673e-07
1908,1.394834490131558e-07
1909,1.0671907746395703e-07
1910,1.2558754658442695e-07
1911,1.3992584269040265e-07
1912,1.963951805628028e-07
1913,1.643926804129059e-07
1914,1.4464966524574407e-07
1915,8.364340686739524e-08
1916,2.2084799100596797e-07
1917,2.127486361525044e-07
1918,1.5162017064085376e-07
1919,1.8507775578768815e-07
1920,1.673463265738917e-07
1921,2.02949634209304e-07
1922,1.7338148583512236e-07
1923,1.5817763010517183e-07
1924,1.456753575546088e-07
1925,1.5287467647340236e-07
1926,1.460144134490804e-07
1927,1.2487131950678076e-07
1928,1.096899955310704e-07
1929,1.2477255495468853e-07
1930,1.1764036145223145e-07
1931,1.3914535657022498e-07
1932,1.074034559067627e-07
1933,1.1700075530640675e-07
1934,1.1502316965561477e-07
1935,8.497481829294884e-08
1936,8.244806082302603e-08
1937,8.310137644684801e-08
1938,1.2835562479551754e-07
1939,8.258787165260628e-08
1940,1.1664601373695405e-07
1941,1.8299315662773097e-07
1942,1.2136847038490828e-07
1943,1.0741970157823744e-07
1944,8.032965581605822e-08
1945,1.742803275028848e-07
1946,1.0858461507723405e-07
1947,8.583027044650748e-08
1948,1.0437012409880708e-07
1949,6.479225411748502e-08
1950,8.933703710134466e-08
1951,8.102665338682868e-08
1952,9.701219738644795e-08
1953,6.572034605412114e-08
1954,8.59983206868975e-08
1955,6.94534967315974e-08
1956,5.1454734917300016e-08
1957,6.626277981869322e-08
1958,6.948684810881289e-08
1959,7.208195551555718e-08
1960,7.543708191448673e-08
1961,6.670232721717184e-08
1962,8.942158374880549e-08
1963,7.306640270599019e-08
1964,4.806334885643082e-08
1965,7.825021930418785e-08
1966,6.868452961938942e-08
1967,6.162919419239188e-08
1968,1.2935277360348607e-07
1969,6.176790401379861e-08
1970,6.668151542044143e-08
1971,7.245140343226097e-08
1972,9.336867634601731e-08
1973,5.402939884380231e-08
1974,4.444201562314731e-08
1975,5.311676432029344e-08
1976,7.02763819360186e-08
1977,5.994317309188091e-08
1978,6.297027099755326e-08
1979,5.6178943497187106e-08
1980,5.11663575952781e-08
1981,6.452060574702045e-08
1982,5.58675191664193e-08
1983,4.736487113632393e-08
1984,4.929157376709625e-08
1985,5.1132242995244326e-08
1986,4.495863992204363e-08
1987,4.033139050507728e-08
1988,4.9171742178000244e-08
1989,4.93931004985626e-08
1990,4.7403264924472666e-08
1991,5.978694517239092e-08
1992,4.573253775674857e-08
1993,5.539207492688547e-08
1994,4.430938460586731e-08
1995,4.12106260228029e-08
1996,4.804283104675733e-08
1997,4.842843281949172e-08
1998,5.435667460584881e-08
1999,4.2959889867688617e-08
2000,4.550572407779896e-08
2001,4.381211837767296e-08
2002,4.731719166484183e-08
2003,4.375269146983385e-08
2004,5.373845368694674e-08
2005,4.0533746248350155e-08
2006,6.01211951334335e-08
2007,4.0743690032929436e-08
2008,5.7475436937570734e-08
2009,4.434418943155549e-08
2010,5.1489344343735866e-08
2011,4.81820474629302e-08
2012,7.114888089798654e-08
2013,7.028595266911353e-08
2014,8.18538248847922e-08
2015,7.292533191205486e-08
2016,9.362457209505237e-08
2017,5.182159290573196e-08
2018,6.969959942537685e-08
2019,7.474394408957252e-08
