year,petits_ADJ ans_NOUN,petits_ADJ vents_NOUN
1800,0.0,9.432493186523061e-08
1801,4.7623651688866175e-09,6.667310969987739e-08
1802,0.0,4.699464284385613e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,1.2359254952798437e-08
1805,0.0,0.0
1806,0.0,1.3832011802605848e-07
1807,0.0,3.387876468252671e-07
1808,0.0,4.305540457494317e-08
1809,0.0,5.1957702140725814e-08
1810,2.3401267590372754e-09,4.44624070894406e-08
1811,0.0,5.0141537144554604e-08
1812,0.0,1.8670457180292033e-08
1813,0.0,5.463909147351842e-08
1814,0.0,1.6992056828257773e-07
1815,0.0,3.236668177919455e-08
1816,0.0,3.0128852301913867e-08
1817,1.556873407970727e-09,6.227493631882908e-09
1818,0.0,3.337929754820834e-08
1819,0.0,7.24573512300708e-09
1820,0.0,3.441279616822612e-08
1821,0.0,2.5639868894700157e-08
1822,0.0,3.208197085768916e-08
1823,0.0,5.0401702367253165e-08
1824,0.0,2.863178316658832e-08
1825,0.0,5.0191026446100295e-08
1826,0.0,2.8185549894033102e-08
1827,0.0,5.530363722527909e-08
1828,0.0,1.926183179623564e-08
1829,8.57317605795771e-10,2.571952872898464e-09
1830,0.0,1.878630406793036e-08
1831,0.0,1.091384405071949e-08
1832,0.0,1.6235963684607668e-08
1833,0.0,7.18184978154568e-08
1834,0.0,4.667265329771908e-08
1835,0.0,3.1764969321557146e-08
1836,2.688300027031687e-09,3.0243375082061874e-08
1837,0.0,2.7135774516295896e-08
1838,1.2624323808552163e-09,2.5248647617104325e-08
1839,6.9914751765765e-10,2.307186797168015e-08
1840,0.0,1.0191502197720581e-08
1841,6.420548537278137e-10,1.4125206782011901e-08
1842,6.708265054555795e-10,1.8112315203211438e-08
1843,0.0,8.269675610961258e-09
1844,1.097712254427563e-09,1.0428266250528395e-08
1845,5.580227946389016e-10,1.2834524387717039e-08
1846,0.0,1.5221703009160592e-08
1847,0.0,8.089835468183537e-09
1848,0.0,4.82713291560799e-09
1849,8.379414939696517e-10,5.02764896381791e-09
1850,0.0,2.7155984128057753e-09
1851,0.0,9.674158363282004e-09
1852,0.0,6.510545436100301e-10
1853,5.971931837933653e-10,7.166318205520383e-09
1854,0.0,1.1430461910322265e-08
1855,0.0,8.491099379170919e-09
1856,0.0,3.1063134287023786e-09
1857,0.0,7.810414537345878e-09
1858,4.893676019968041e-10,1.3212924976357954e-08
1859,0.0,1.6804172275897145e-08
1860,0.0,3.661747127736703e-09
1861,0.0,1.650587222457034e-08
1862,0.0,1.3102160245637151e-08
1863,0.0,1.2986014041871385e-08
1864,9.589455896019672e-10,1.1507347075223606e-08
1865,0.0,1.2237795665726026e-08
1866,0.0,4.379051787850585e-09
1867,4.85281148598915e-10,9.220341823379385e-09
1868,0.0,3.457911734727759e-09
1869,0.0,1.3185501579471293e-08
1870,0.0,1.1468097582678638e-08
1871,1.0621177271019633e-09,2.442870794538976e-08
1872,0.0,7.256807155187062e-09
1873,0.0,2.3944017324417644e-09
1874,0.0,8.961913877669758e-09
1875,0.0,9.154443425529735e-09
1876,6.04601479992084e-10,7.859819461941697e-09
1877,0.0,8.658742167710898e-09
1878,0.0,8.4547240319921e-09
1879,0.0,9.163987790827832e-09
