year,ses_DET airs_NOUN,ses_DET verts_ADJ
1800,3.018397904952508e-07,0.0
1801,4.143257559263702e-07,0.0
1802,2.4616241489638924e-07,0.0
1803,4.21273259831878e-07,0.0
1804,7.464990119387949e-07,0.0
1805,3.098736751638853e-07,0.0
1806,5.503988118604752e-07,0.0
1807,2.4768510797912313e-07,0.0
1808,3.512414803452657e-07,0.0
1809,2.868968715930009e-07,2.259030518203531e-09
1810,4.422839516848853e-07,0.0
1811,5.114436874009698e-07,1.0028307073639553e-08
1812,6.134579066952028e-07,8.00162425207418e-09
1813,7.620715223310981e-07,0.0
1814,2.832009533548785e-07,0.0
1815,1.7531953111493692e-07,0.0
1816,3.569109896517375e-07,0.0
1817,3.3939841515007174e-07,0.0
1818,3.6598014663269396e-07,0.0
1819,3.0949639295840825e-07,0.0
1820,3.548077778248171e-07,0.0
1821,2.504818059634317e-07,0.0
1822,4.661911532366503e-07,2.606660132187244e-08
1823,5.297120146963152e-07,0.0
1824,2.5937027459121964e-07,1.2631669044083083e-08
1825,3.2492083512636327e-07,0.0
1826,2.1051082210732375e-07,0.0
1827,2.2213627737244224e-07,0.0
1828,2.5315550056248526e-07,1.8344602503717056e-09
1829,2.9491725683783443e-07,0.0
1830,4.039055490068222e-07,5.218417697960831e-09
1831,2.8064169654840043e-07,0.0
1832,2.273034804822771e-07,9.470978667991403e-09
1833,2.8495726667188137e-07,1.1583628500844156e-09
1834,2.174945723520949e-07,7.467624740797874e-09
1835,2.8134687113379186e-07,7.563087933704082e-09
1836,3.461186359743351e-07,0.0
1837,2.1847777098571441e-07,1.1132625488130543e-08
1838,2.3165634388533363e-07,2.5248647617104325e-09
1839,2.929428202236295e-07,6.9914751765765e-10
1840,2.3695241679888568e-07,5.095750932326837e-09
1841,3.017657759230019e-07,5.1364388298225094e-09
1842,3.474881253850981e-07,2.683306021822318e-09
1843,3.904468250937043e-07,2.953455480181333e-09
1844,3.534633599144854e-07,5.488561161115513e-09
1845,2.812434836130251e-07,2.2320911785556063e-09
1846,2.8452876144058337e-07,5.854501328173001e-10
1847,1.9361672976003774e-07,5.393223645455691e-10
1848,2.856053598065955e-07,8.045221711050488e-10
1849,3.0584863974780774e-07,5.865590679832167e-09
1850,2.0910107512150944e-07,3.394498016007219e-09
1851,2.1154158513780885e-07,2.579775504329973e-09
1852,2.975319315368097e-07,1.9531636308300904e-09
1853,3.3084501804836464e-07,1.4929829816878737e-08
1854,3.205725054300501e-07,1.2989160858012383e-08
1855,4.24554979616687e-07,1.2736649068756378e-08
1856,3.6861587382475136e-07,6.73034605824796e-09
1857,3.6220798094177553e-07,6.8341128311999455e-09
1858,3.9002598661852517e-07,2.936205500958522e-09
1859,3.890420323671151e-07,4.582956236731661e-09
1860,3.972995692436143e-07,4.57718396518203e-09
1861,3.2634468283276874e-07,3.3011746669586728e-09
1862,3.117410560804501e-07,7.680577063240435e-09
1863,3.6310894024893514e-07,3.995696662428827e-09
1864,3.605635559011944e-07,6.233146443435089e-09
1865,3.652511124663249e-07,5.177528628053096e-09
1866,3.14805156165221e-07,3.8924903300596725e-09
1867,3.799751358002368e-07,7.279217228983725e-09
1868,3.5171902101893693e-07,1.0373735648272486e-08
1869,3.731008497709354e-07,4.883519366671862e-09
1870,3.635387013645186e-07,9.17447806614291e-09
1871,3.2500803737178785e-07,5.3105884134652115e-09
1872,3.2837051566758646e-07,4.23313739617015e-09
1873,4.477531332369722e-07,5.986004469882289e-10
1874,3.172517573091227e-07,3.5847653734322193e-09
1875,3.341371748177835e-07,7.437985338754061e-09
1876,3.766667333593432e-07,6.650616057868319e-09
1877,3.3892790440859244e-07,1.2369631985365004e-09
1878,4.1971667208429153e-07,3.0195443923020093e-09
1879,3.8366562193914433e-07,1.832797580370027e-09
1880,3.529815550962212e-07,1.2835692508872398e-09
1881,4.0440544069042517e-07,5.5780060570498335e-09
1882,3.4009017646496886e-07,6.655385131892899e-10
1883,3.444039791133946e-07,9.479008689083912e-09
1884,4.152467312223962e-07,7.922036360241691e-09
1885,3.7706968569750643e-07,1.933690763067375e-09
1886,3.9753338043624353e-07,7.744156427236248e-09
1887,3.6627267441247113e-07,4.570247291724172e-09
1888,3.734621962792062e-07,5.706553452000662e-09
1889,3.35811327190072e-07,3.132568426877924e-09
1890,3.480379096032493e-07,3.9326319978272295e-09
