year,aurons_VERB eu_VERB,aurons_VERB vu_VERB
1800,9.118077315406481e-08,5.65949598296811e-08
1801,8.572257570449437e-08,5.2386017301842e-08
1802,8.727576528144709e-08,3.8043282302169246e-08
1803,2.145373123596528e-08,2.9255089017965474e-08
1804,1.0628959046243835e-07,5.6852570651244605e-08
1805,4.8328921309348516e-08,1.7057265822018053e-08
1806,6.916005901302924e-08,2.305335300434308e-08
1807,1.7081731584767113e-08,5.693910054560547e-08
1808,5.211970233176544e-08,4.5321478125970316e-08
1809,3.840352036377226e-08,1.3554183553310395e-08
1810,3.2761775514700275e-08,5.3822915901946544e-08
1811,2.5070768572277302e-08,4.262030373070047e-08
1812,6.13457871168066e-08,8.268345652595599e-08
1813,5.751483289628823e-09,7.764502640839055e-08
1814,1.1328037885505182e-07,1.8880061958270744e-08
1815,1.8880564667256294e-08,5.3944472000466703e-08
1816,3.244645441213834e-08,2.7811246638975717e-08
1817,5.7604317760251433e-08,8.874178547557676e-08
1818,4.2916237674717195e-08,7.629553522292554e-08
1819,4.243930362690662e-08,5.4860564091541164e-08
1820,3.441279616822612e-08,3.441279616822612e-08
1821,5.226588939422072e-08,6.01550809165019e-08
1822,1.0326384369818697e-07,7.920236555492011e-08
1823,4.644862983127496e-08,5.5343047478118024e-08
1824,3.03160057057994e-08,1.2631669044083083e-08
1825,9.509878395874694e-08,5.723537910284904e-08
1826,5.108631029315802e-08,5.372870504061211e-08
1827,6.452091128039683e-08,4.516463647519231e-08
1828,4.035812395386529e-08,7.613009955775851e-08
1829,3.8579290873030914e-08,4.886710414098161e-08
1830,3.339787468803479e-08,9.601888706356476e-08
1831,5.9246584527272717e-08,3.4300654760954785e-08
1832,4.329590197471589e-08,4.8707889277466165e-08
1833,8.108539617524002e-09,6.02348677603004e-08
1834,4.29388435918554e-08,3.360431222176885e-08
1835,3.100866052818674e-08,5.596685070941021e-08
1836,6.72075017860152e-08,4.5029025841358816e-08
1837,3.826840000442644e-08,7.51452233771488e-08
1838,2.840472923537618e-08,4.797243136067664e-08
1839,3.216078425793967e-08,3.985140750728533e-08
1840,3.9492068282243054e-08,7.707323135264232e-08
1841,2.43980835534785e-08,4.365973182984817e-08
1842,3.890793820460203e-08,4.360372329870188e-08
1843,3.2488010504039266e-08,4.0757687003178944e-08
1844,3.677336124496833e-08,5.982531803283564e-08
1845,3.627148004170522e-08,4.51998474204629e-08
1846,4.9177810268474786e-08,5.620321275046081e-08
1847,5.2314270249098627e-08,7.820174374728595e-08
1848,4.103063133698015e-08,6.436177102386864e-08
1849,3.603148357456121e-08,5.6980020701757894e-08
1850,1.1541293254424545e-08,4.0055077477063605e-08
1851,3.4826967976187007e-08,5.997978291816253e-08
1852,3.7761164861649377e-08,6.054807499822346e-08
1853,3.762317035693741e-08,5.971931926751495e-08
1854,3.4810952342922974e-08,4.46827144173767e-08
1855,4.351688431825096e-08,4.82931277190346e-08
1856,3.727576114442854e-08,5.7984518520015627e-08
1857,3.270611159678083e-08,4.3445432140742923e-08
1858,4.942612719105455e-08,5.970284888690003e-08
1859,2.34239969643113e-08,5.29586046127406e-08
1860,3.249800428761773e-08,4.7144993686742964e-08
1861,5.046081241744105e-08,3.0182167876091626e-08
1862,5.783022416494532e-08,5.0601446588416366e-08
1863,5.4940830551686304e-08,6.04349139621263e-08
1864,5.3221480555976086e-08,5.2262535632507934e-08
1865,5.271665770578693e-08,6.777855787731824e-08
1866,5.54679857600604e-08,7.444387506438943e-08
1867,3.688136729351754e-08,5.192508467644075e-08
1868,3.853101659956337e-08,4.445886503390284e-08
1869,3.711474505507795e-08,4.785848872757015e-08
1870,7.0528798801206e-08,8.486392033546508e-08
1871,6.478918379571041e-08,8.178306387662815e-08
1872,5.019291648977742e-08,5.442605299776915e-08
1873,4.968383748860106e-08,5.926144552859114e-08
1874,5.675878611555163e-08,3.4055272379873713e-08
1875,3.661777370211894e-08,3.89063856687244e-08
1876,4.17175023414984e-08,3.9903696347209916e-08
1877,2.4739264858908427e-08,4.08197848855707e-08
1878,3.01954443671093e-08,5.012443438090486e-08
1879,4.459807456669296e-08,5.5594860270957724e-08
1880,5.0059199452334724e-08,5.262634061864446e-08
1881,5.508281120114589e-08,6.205532088188193e-08
1882,4.6587697255517924e-08,5.790185042542362e-08
1883,4.2971503688704615e-08,4.92908434068795e-08
1884,5.677459569142229e-08,4.291102939646407e-08
1885,4.254119545521462e-08,5.349877696403382e-08
1886,3.0976625708944994e-08,4.840097744818195e-08
1887,6.137189245691843e-08,4.961982824625011e-08
1888,3.6775563927449184e-08,3.9311810695608074e-08
1889,2.944614330147033e-08,6.01453109538852e-08
1890,4.0637196718762425e-08,3.736000309118026e-08
1891,2.932141285327816e-08,6.820415165975646e-08
1892,3.949162774574688e-08,3.384996816180319e-08
1893,3.87980243488073e-08,4.6803965148001225e-08
1894,3.465846631911518e-08,4.285046628638156e-08
1895,3.611168608586013e-08,4.032471778714353e-08
1896,3.538217541176891e-08,4.776593343081004e-08
1897,3.96216535136773e-08,3.612562338162206e-08
1898,4.3003495875382214e-08,4.639851169940812e-08
1899,4.145683618617113e-08,4.366786754417262e-08
1900,5.0353214930964896e-08,5.813979697677496e-08
1901,4.470991044058792e-08,4.359216276839106e-08
1902,2.5042448115186744e-08,3.2407871941586563e-08
1903,3.6181475593366486e-08,4.266173903033632e-08
1904,4.72967016662551e-08,3.869730136329963e-08
1905,6.605771574186292e-08,3.973784501454247e-08
1906,5.041300710217911e-08,2.8807432883581896e-08
1907,3.651418722938615e-08,2.8799922446864912e-08
1908,4.174680867663483e-08,4.322022562064376e-08
1909,3.960708028216686e-08,5.0609049395689e-08
1910,5.076943310200477e-08,2.672075360976578e-08
1911,2.500575924102577e-08,5.533189195716659e-08
1912,4.5842906359894187e-08,5.990834495150921e-08
1913,4.2423916823963737e-08,3.7651226136858895e-08
1914,3.549274296688054e-08,5.357394883276356e-08
1915,4.7123048574349014e-08,4.005459075528961e-08
1916,7.801097723358907e-08,8.680095220370276e-08
1917,8.005489604556715e-08,1.030843890248434e-07
