year,avons_VERB ôté_VERB,avons_VERB oté_VERB,avons_VERB voté_VERB
1800,6.288328791015374e-08,0.0,3.772997558826319e-08
1801,2.3811825844433088e-09,4.7623651688866175e-09,4.7623651688866175e-09
1802,0.0,0.0,4.475680270843441e-09
1803,7.801356893821776e-09,0.0,0.0
1804,2.7190360185613827e-08,0.0,4.943701892301533e-09
1805,3.1271653710973624e-08,0.0,0.0
1806,2.881669125542885e-09,0.0,0.0
1807,1.4234775136401367e-08,0.0,1.4234775136401367e-08
1808,4.078933102391602e-08,0.0,0.0
1809,6.7770917766551975e-09,0.0,2.0331274441787173e-08
1810,3.7442028144596406e-08,0.0,0.0
1811,1.7549536934780008e-08,0.0,0.0
1812,2.6672082320544632e-09,0.0,2.6672082320544632e-09
1813,3.163315653864629e-08,0.0,5.751483289628823e-09
1814,5.664018942752591e-08,0.0,1.8880061958270744e-08
1815,2.966945977789237e-08,0.0,2.697223555614414e-09
1816,4.1716869958463576e-08,0.0,2.3176038865813098e-09
1817,5.293369653713853e-08,0.0,3.113746815941454e-09
1818,4.530047448270125e-08,1.1921177378582115e-09,2.026600220972341e-08
1819,7.349245834120666e-08,4.140420006848444e-09,2.173720581311045e-08
1820,2.4919611263385377e-08,0.0,5.102586797534059e-08
1821,9.171183990019927e-08,0.0,7.88919063410276e-09
1822,6.015369535816717e-08,0.0,1.7043547018147365e-08
1823,1.581229902569703e-08,9.882686891060644e-10,3.9530747564242574e-09
1824,1.7684335773537896e-08,0.0,1.6842225392110777e-09
1825,1.6730341556581152e-08,0.0,0.0
1826,4.315912249808207e-08,8.807984341885344e-10,2.025836387531399e-08
1827,4.7929820112813104e-08,0.0,2.8573547083965423e-08
1828,4.1275356466030644e-08,1.8344602503717056e-09,5.044765671868845e-08
1829,3.086343269842473e-08,8.57317605795771e-10,1.0287811491593857e-08
1830,2.817945699007396e-08,1.0436835840010872e-09,1.1480519646056564e-08
1831,6.080570358335535e-08,0.0,2.9623292263636358e-08
