year,six_DET oies_NOUN,six_DET voies_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,3.1329761895904085e-08
1803,1.1702034896643454e-08,1.950339223455444e-09
1804,2.7190360185613827e-08,0.0
1805,3.980028751016107e-08,5.685755422035754e-09
1806,0.0,0.0
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,1.3596443970698147e-08,1.8128592405020072e-08
1809,1.581321384946932e-08,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,1.8670458068470452e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,2.5173417128598885e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.0898113522728181e-08
1818,1.668964877410417e-08,7.152706427149269e-09
1819,0.0,2.4842520929269085e-08
1820,0.0,1.0679833017945839e-08
1821,0.0,2.3667571014129862e-08
1822,2.0051231786055723e-09,5.012807946513931e-09
1823,1.9765373782121287e-09,1.4824030891702478e-08
1824,0.0,7.57900142644985e-09
1825,0.0,1.1447076175841175e-08
1826,0.0,4.492072136486058e-08
1827,1.8434546111834038e-09,1.013900075008678e-08
1828,1.8344602503717056e-09,4.586150570418113e-09
1829,0.0,1.0287811491593857e-08
1830,2.0873671680021744e-09,1.7742621594152297e-08
1831,0.0,2.6505050598757407e-08
1832,9.470978667991403e-09,1.8941957335982806e-08
1833,0.0,1.1583628833911064e-08
1834,0.0,3.733812370398937e-09
1835,0.0,2.0420337421001022e-08
1836,1.6129799718100912e-08,1.68018754465038e-08
1837,4.174734336004349e-09,6.262101948095733e-09
1838,0.0,3.787297142565649e-09
1839,0.0,1.0487213097931658e-08
1840,1.2739377330817092e-09,2.356784845058968e-08
1841,1.926164561183441e-09,7.704658244733764e-09
1842,2.683306021822318e-09,4.695785538189057e-09
1843,1.1813822142769936e-09,2.4809025944705354e-08
1844,2.7442805805577564e-09,1.2074834521147437e-08
1845,0.0,1.674068350610014e-08
1846,3.5127007969038004e-09,1.8734404250153602e-08
