year,mes_DET allées_NOUN,mes_DET vallées_NOUN
1800,1.2576657937302116e-08,0.0
1801,6.667311147623423e-08,0.0
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,1.1702035562777269e-08,0.0
1804,3.707776263794926e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,6.051505074822217e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,1.3596443970698147e-08,4.5321479902327155e-09
1809,2.259030518203531e-09,0.0
1810,3.7442028588685616e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,8.627225156487839e-09,0.0
1814,3.776012391654149e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,0.0,0.0
1817,7.784366928831332e-09,1.0898113522728181e-08
1818,4.6492591998514854e-08,3.5763532135746345e-09
1819,5.175524897538253e-09,8.280840013696888e-09
1820,3.79727405075414e-08,1.542642635854463e-08
1821,1.972297702934611e-08,2.859831660373402e-08
1822,1.804610860745015e-08,2.0051231786055723e-09
1823,4.644862849900733e-08,1.9765373782121287e-09
1824,8.421112696055388e-09,5.052667617633233e-09
1825,6.163809906922779e-09,6.163809906922779e-09
1826,1.9377566218281572e-08,8.807984341885344e-10
1827,1.3825909306319772e-08,3.6869092223668076e-09
1828,5.503380862137419e-09,9.172301140836225e-09
1829,1.0287811491593857e-08,1.714635211591542e-09
1830,8.349468672008697e-09,4.174734336004349e-09
1831,2.3386809822056875e-08,1.2472964883158966e-08
1832,9.470978667991403e-09,4.058990654698391e-08
1833,5.791814139399776e-09,2.6642345218874652e-08
1834,1.4935249481595747e-08,1.3068342852307069e-08
1835,9.075705520444899e-09,2.2689263801112247e-09
1836,1.88180997451326e-08,0.0
1837,1.043683617307778e-08,4.174734336004349e-09
1838,1.5149189014351805e-08,1.8936485712828244e-09
1839,4.194885327990505e-09,2.7965900706306e-09
1840,1.1465439264668476e-08,3.821813088222825e-09
1841,2.6966304744746594e-08,6.420548537278137e-10
1842,1.2074877098200432e-08,1.341653010911159e-09
1843,2.0674189582514657e-08,4.7255288571079745e-09
1844,8.232842074740176e-09,4.9397050894128824e-09
1845,2.2320911341466854e-08,1.1160455892778032e-09
1846,8.196302303531411e-09,2.9272506640865004e-09
1847,9.707802561820245e-09,0.0
1848,7.24069959545659e-09,0.0
1849,7.54147322368226e-09,2.513824481908955e-09
1850,6.1100964288129944e-09,0.0
1851,1.2253933867611977e-08,1.2898877521649865e-09
1852,1.9531636308300904e-09,6.510545436100301e-10
1853,7.763511167269144e-09,1.1943863675867306e-09
1854,8.313062960230155e-09,1.0391328908454511e-09
1855,1.1675261646360013e-08,4.776243400783642e-09
1856,1.863788146039269e-08,4.141751386299575e-09
1857,1.4156376515472857e-08,2.9289055625270066e-09
1858,1.9574704523961373e-08,7.34051397444091e-09
1859,1.7313389832906978e-08,1.2730433596175317e-08
1860,2.5632229755379043e-08,2.288591982591015e-09
1861,3.6312922002679215e-08,3.3011746669586728e-09
1862,5.873382180610065e-08,6.325181090005572e-08
1863,2.5472567166673343e-08,9.989241656072068e-10
1864,1.726102105692462e-08,7.1920918109924514e-09
1865,1.0355057256106193e-08,3.294791106611683e-09
1866,1.6056523222118813e-08,1.4596839292835284e-09
1867,1.1161466417775046e-08,4.85281148598915e-09
1868,8.397785578040384e-09,4.93987406535723e-10
1869,2.0510780629479086e-08,5.860222973552709e-09
1870,1.0321287824410774e-08,2.2936195165357276e-09
1871,2.0180236148803488e-08,0.0
1872,1.8746751262455064e-08,1.2094678591978436e-09
1873,8.380406590902112e-09,1.7958012854535355e-09
1874,1.3741600746186577e-08,2.3898436563030145e-09
1875,1.3159512590732447e-08,4.005069165202713e-09
1876,7.859819461941697e-09,3.627608879952504e-09
1877,7.4217790801967e-09,9.895705588292003e-09
1878,2.8987625577681086e-08,3.6234530931267273e-09
1879,5.498392852132383e-09,6.10932526790009e-10
1880,5.776061628992579e-09,5.776061406947974e-09
1881,4.183504653809678e-09,1.743126887276958e-08
1882,1.6638462829732248e-08,0.0
1883,8.847074739470884e-09,0.0
1884,1.9144920315739e-08,6.601696966868076e-10
1885,1.0313017162477678e-08,8.379326565943757e-09
1886,1.4197620856748472e-08,0.0
1887,1.4363633837888301e-08,9.793386546164129e-09
1888,2.028996703984376e-08,0.0
1889,7.51816386923565e-09,1.8795409673089125e-09
1890,9.176140736144589e-09,3.2771931834929546e-09
1891,2.103492668936724e-08,2.5496880162734215e-09
1892,1.5044429702015805e-08,6.268512375839919e-10
1893,8.005941687372342e-09,1.847525021858587e-09
1894,6.9316932194141145e-09,2.520615716150587e-09
1895,1.8055843042930064e-08,6.6204757231957956e-09
1896,1.533227589334274e-08,0.0
1897,1.2818769712374944e-08,0.0
1898,9.05336783318944e-09,1.13167097914868e-09
1899,1.1055156790007459e-08,5.527578395003729e-10
1900,1.0382106507833555e-08,5.191053142894475e-10
1901,1.8442838367604963e-08,1.676621730339889e-09
1902,2.0132164380015638e-08,4.910283735171106e-09
1903,2.1600881083827517e-09,1.6200660812870638e-09
