year,ses_DET yeux_NOUN,ses_DET vieux_ADJ
1800,3.450406188676425e-05,8.897985397382513e-07
1801,3.3608010426178225e-05,1.1405864150937362e-06
1802,2.996467912907974e-05,1.107730895455461e-06
1803,3.191730081653077e-05,7.333275533483175e-07
1804,3.6257108490644896e-05,9.393033479909718e-07
1805,3.653950864190847e-05,9.580497959404966e-07
1806,2.7900320105800347e-05,7.780506461330106e-07
1807,2.5616901552893978e-05,7.174327070202935e-07
1808,2.9701432595174992e-05,7.50070499933031e-07
1809,2.538472597279906e-05,9.600879842253107e-07
1810,3.952474207835621e-05,9.407309349285242e-07
1811,2.8826368634327082e-05,8.498990222705061e-07
1812,2.6912131033896003e-05,8.34836168195352e-07
1813,3.0379334930330515e-05,9.001071106240488e-07
1814,2.5497525143691746e-05,1.010083312991128e-06
1815,2.351709167669469e-05,1.022247719140168e-06
1816,2.675673772500886e-05,8.273846141548802e-07
1817,2.7477259322949976e-05,8.080172921864914e-07
1818,3.165191753851104e-05,8.177927561803244e-07
1819,3.0402068318835518e-05,9.968061291942831e-07
1820,3.261027802636818e-05,9.979710533514208e-07
1821,2.9223534284028574e-05,9.575505046655053e-07
1822,3.093103043738665e-05,1.169989346294642e-06
1823,2.8087584837521717e-05,1.1315676147205522e-06
1824,3.0324426234074053e-05,1.2059033061007085e-06
1825,2.9271052994772617e-05,1.2662227355519917e-06
1826,2.7310917516842892e-05,1.1062827880436998e-06
1827,2.4136350816661434e-05,1.1069944498842688e-06
1828,2.6153899625569466e-05,8.869615584217172e-07
1829,2.669258390142204e-05,1.1033677296268252e-06
1830,3.08471114749409e-05,1.2023235118618913e-06
1831,2.804078428653156e-05,1.3595531793697546e-06
1832,3.4198352295788936e-05,1.4395887308893407e-06
1833,3.1413643000632874e-05,1.606649277618999e-06
1834,2.9645537324540783e-05,1.5906040999880133e-06
1835,3.165833015827957e-05,1.4067343201418225e-06
1836,3.0483977525364025e-05,1.4584027354658247e-06
1837,2.8849502314187703e-05,1.4214971191250925e-06
1838,2.710189926347084e-05,1.3167170109795734e-06
1839,2.691787892672437e-05,1.2332962633365696e-06
1840,2.7604320052887488e-05,1.401331561012853e-06
1841,2.719680185236939e-05,1.295666667289197e-06
1842,2.9066241268083104e-05,1.6522457197964968e-06
1843,2.808913404805935e-05,1.5381596263353003e-06
1844,3.03308877391828e-05,1.6010133236932234e-06
1845,3.0301753554340394e-05,1.3225140591544005e-06
1846,2.741311720910744e-05,1.2721830984219196e-06
1847,2.5968371005546942e-05,1.272261503260097e-06
1848,2.4697221988390083e-05,1.2083923000005825e-06
1849,2.4393314902226848e-05,1.4286902363380705e-06
1850,2.5292405553045683e-05,1.3964964367119137e-06
1851,2.3733934881420282e-05,1.2924675321102086e-06
1852,2.6593624511406233e-05,1.3607039548446664e-06
1853,2.850403097909293e-05,1.4834279049580346e-06
1854,2.9359140512497106e-05,1.2339702681885e-06
1855,3.1411229883815395e-05,1.42809671999089e-06
1856,2.945717051261454e-05,1.3118996990968412e-06
1857,2.9637593456754985e-05,1.3687751163615758e-06
1858,3.2142153486347524e-05,1.4509749313162956e-06
1859,3.377689392891625e-05,1.594868749066336e-06
1860,3.403914411137521e-05,1.4926196634235112e-06
1861,3.206100916486321e-05,1.457232833956823e-06
1862,3.181746592417767e-05,1.533856350377505e-06
1863,3.1499575811722025e-05,1.3750191101280507e-06
1864,3.088284211116843e-05,1.5180108654533342e-06
1865,3.0833125492790714e-05,1.4078171481912705e-06
1866,3.026362662694737e-05,1.352153851996718e-06
1867,2.9755984428447846e-05,1.4587551344646954e-06
1868,2.7807538685920008e-05,1.3382118932980802e-06
1869,3.133558868739783e-05,1.383989379988293e-06
1870,2.7837659672513837e-05,1.3864929684359595e-06
1871,2.523166926948761e-05,1.2596716345569803e-06
1872,2.850897101325245e-05,1.473131804985428e-06
1873,2.59906325936754e-05,1.1798414654151657e-06
1874,2.674354573173332e-05,1.291710461259754e-06
1875,2.760522409062105e-05,1.235277741429286e-06
1876,2.577174291218398e-05,1.3107760068464813e-06
1877,2.7753742756431166e-05,1.2814938337157855e-06
1878,2.380186060690903e-05,1.2857220088591248e-06
1879,2.6109422719855502e-05,1.2713506087891346e-06
1880,2.544547635352501e-05,1.3150167035291815e-06
1881,2.6306573772671982e-05,1.3261709135292676e-06
1882,2.7382916186979855e-05,1.3583641447212358e-06
1883,2.506439420812967e-05,1.2897770567121825e-06
1884,2.6408109079056885e-05,1.2978936148044795e-06
1885,2.534423981614964e-05,1.2859042755053451e-06
1886,2.5025241370713047e-05,1.2274487861674288e-06
1887,2.5954434477171162e-05,1.043322181537576e-06
1888,2.543030336710217e-05,1.1875971761554638e-06
1889,2.489201551725273e-05,1.1859904329725168e-06
1890,2.4050009869824862e-05,1.3311958788619904e-06
1891,2.3258890792021703e-05,1.196441100859147e-06
1892,2.3844168026698753e-05,1.2737617671731982e-06
1893,2.403075677648303e-05,1.1793367793444531e-06
1894,2.451361785915651e-05,1.3542007835098957e-06
1895,2.5231236463696405e-05,1.3168729076085128e-06
