year,premières_ADJ oies_NOUN,premières_ADJ voies_NOUN
1800,3.144164484325529e-09,9.27528503780195e-07
1801,2.3811825844433088e-09,2.7788400984718464e-06
1802,0.0,2.4034402485995088e-06
1803,0.0,1.3535353673432837e-06
1804,2.4718509461507665e-09,1.7624297470320016e-06
1805,0.0,2.2288161289907293e-06
1806,0.0,1.0345191867600079e-06
1807,0.0,1.340915900982509e-06
1808,2.2660739951163578e-09,8.837688483254169e-07
1809,0.0,1.3328279919733177e-06
1810,0.0,1.7036122699209955e-06
1811,5.0141535368197765e-09,9.6773158020369e-07
1812,0.0,2.0270781533326954e-06
1813,0.0,2.4357532311114483e-06
1814,0.0,1.9005930198545684e-06
1815,0.0,3.3715293739078334e-06
1816,0.0,2.961897735076491e-06
1817,0.0,1.6191482927752077e-06
1818,4.768470951432846e-09,1.7154574152300484e-06
1819,0.0,1.099281462302315e-06
1820,1.1866481131050932e-09,1.2827665614167927e-06
1821,0.0,1.2247968470546766e-06
1822,1.0025615893027862e-09,9.313797022514336e-07
1823,0.0,6.987059464336198e-07
1824,0.0,6.778995498279983e-07
1825,8.805443041381977e-10,4.490775893373211e-07
1826,0.0,7.072811172292859e-07
1827,0.0,4.083252065356646e-07
1828,5.503380862137419e-09,6.429783070416306e-07
1829,0.0,6.472748168562248e-07
1830,2.0873671680021744e-09,4.310413146413339e-07
1831,1.5591206103948707e-09,8.029471132431354e-07
1832,0.0,5.168448069525766e-07
1833,0.0,5.525390633920324e-07
1834,9.334530925997342e-10,3.8458267681562575e-07
1835,2.2689263801112247e-09,9.514364478491188e-07
1836,6.720750067579218e-10,3.219239204099722e-07
1837,0.0,7.577143037451606e-07
1838,6.312161904276081e-10,5.605199930869276e-07
1839,2.0974426639952526e-09,6.01266890498664e-07
1840,0.0,3.184844388215424e-07
1841,1.2841097074556274e-09,6.105941565692774e-07
1842,0.0,6.225270112736325e-07
1843,0.0,2.5281579496549966e-07
1844,5.488561272137815e-10,3.408396480608644e-07
1845,0.0,4.129368562644231e-07
1846,5.854501328173001e-10,3.7820078091499454e-07
1847,5.3932236454556914e-09,2.0224588581641e-07
1848,0.0,3.2502694580216485e-07
1849,8.379414939696517e-10,2.765206943422527e-07
1850,6.788996032014438e-10,2.7766992616307107e-07
1851,0.0,3.186022752288409e-07
1852,0.0,3.0599562705901917e-07
1853,5.971931837933653e-10,3.2248431125481147e-07
1854,1.558699391779328e-09,2.7537021196621936e-07
1855,0.0,4.1712524989634403e-07
1856,0.0,2.557531502134225e-07
1857,0.0,2.5383846491422446e-07
1858,0.0,2.471306288498454e-07
1859,0.0,1.812813650303724e-07
1860,0.0,2.7691962145581783e-07
1861,0.0,2.87202198023806e-07
1862,0.0,2.1641153580276296e-07
1863,0.0,1.7131549157056725e-07
1864,0.0,3.2556204132561106e-07
1865,0.0,2.1604415678666555e-07
1866,0.0,1.8002768342739728e-07
1867,4.85281148598915e-10,2.1934707206128223e-07
1868,0.0,2.924405464455049e-07
1869,3.906815315701806e-09,2.270836461093495e-07
