year,tes_DET iles_NOUN,tes_DET villes_NOUN
1800,3.144164484325529e-09,8.174827570428533e-08
1801,0.0,6.191074675143682e-08
1802,0.0,7.161088433349505e-08
1803,0.0,6.046051481689574e-08
1804,0.0,4.202146608456303e-08
1805,0.0,1.1371510977298271e-07
1806,0.0,6.051505074822217e-08
1807,0.0,4.555128185756985e-08
1808,2.2660739951163578e-09,2.2660739062985158e-08
1809,0.0,2.0331274441787173e-08
1810,0.0,2.8081521108447305e-08
1811,0.0,8.273353557797236e-08
1812,0.0,1.3336041604361526e-08
1813,0.0,4.026038169513413e-08
1814,0.0,3.776012391654149e-08
1815,0.0,1.6183341333686485e-08
1816,2.3176038865813098e-09,1.8540831092650478e-08
1817,0.0,4.670620379343404e-08
1818,0.0,2.3842354979208835e-08
1819,0.0,8.073819302012453e-08
1820,0.0,8.899861114741725e-08
1821,9.86148829262845e-10,5.8182782036730885e-08
1822,1.0025615893027862e-09,1.2532019866284827e-07
1823,0.0,3.656594316225892e-08
1824,0.0,4.126345132249298e-08
1825,0.0,3.522177305370633e-08
1826,0.0,4.139752518561579e-08
1827,0.0,2.027800150017356e-08
1828,9.172301251858528e-10,1.2474329003087092e-07
1829,0.0,8.058785283537873e-08
1830,2.0873671680021744e-09,4.070366022013161e-08
1831,0.0,2.182768810143898e-08
1832,0.0,5.817886972181441e-08
1833,1.1583628500844156e-09,5.6759781430493206e-08
1834,0.0,1.1761508744712046e-07
1835,0.0,3.025235173481633e-08
1836,6.720750067579218e-10,5.712637429766687e-08
1837,6.957890930081589e-10,3.896418832027848e-08
1838,1.2624323808552163e-09,6.059675561331801e-08
1839,0.0,5.942754033316788e-08
1840,1.2739377330817092e-09,4.649872731299354e-08
1841,0.0,4.6227950800670214e-08
1842,6.708265054555795e-10,6.43993427473788e-08
1843,0.0,6.970155214114371e-08
1844,5.488561272137815e-10,4.3359633383754925e-08
1845,1.6740683839167048e-09,4.1293686192656054e-08
1846,1.1709002656346001e-09,4.039605983052752e-08
1847,2.6966118227278457e-09,9.707802295366719e-08
1848,0.0,2.494018680465615e-08
1849,8.379414939696517e-10,1.759677115131808e-08
1850,1.3577992064028876e-09,2.7155985016236173e-08
1851,6.449438760824933e-10,2.644269869733762e-08
1852,2.6042181744401205e-09,4.7526981461487594e-08
1853,1.1943863675867306e-09,3.642878332321686e-08
1854,1.0391328908454511e-09,3.377181878594371e-08
1855,1.0613874223963649e-09,5.943769565419643e-08
1856,5.177189232874468e-10,5.0218735614393495e-08
1857,1.9526036898476207e-09,4.7838789152265804e-08
1858,4.893676019968041e-10,8.025629005814494e-08
1859,0.0,2.698851875315711e-08
1860,9.154367819341758e-10,2.5632230560290736e-08
1861,1.8863854922557266e-09,7.215424457918118e-08
1862,1.8071945051545413e-09,4.743885662072955e-08
1863,1.4983862484108101e-09,3.6960195182178524e-08
1864,4.794727948009836e-10,4.3152552087200036e-08
1865,4.706844358715045e-10,3.247722646371187e-08
1866,0.0,5.060237495690956e-08
1867,4.85281148598915e-10,3.930777126015528e-08
1868,9.87974813071446e-10,2.7169306804353255e-08
1869,1.953407657850903e-09,3.125452141539142e-08
1870,0.0,3.2110673675589396e-08
1871,0.0,3.611200227737754e-08
1872,0.0,5.382131929021483e-08
1873,0.0,3.711322893451552e-08
1874,0.0,4.002988118756434e-08
1875,0.0,1.94531928343622e-08
1876,0.0,5.8646343337187545e-08
1877,6.184815992682502e-10,2.22653372405901e-08
1878,0.0,1.9928993455486932e-08
1879,6.10932526790009e-10,2.565916579211347e-08
1880,0.0,1.5402831232691483e-08
1881,0.0,3.974329465528115e-08
1882,0.0,2.3959387362992857e-08
1883,0.0,1.5166413291911596e-08
1884,0.0,1.5844073608661802e-08
1885,6.445635691854079e-10,4.1896631997051514e-08
1886,0.0,9.034849213218621e-08
1887,0.0,1.0446279397058333e-08
1888,1.268122939990235e-09,1.4583413809887702e-08
1889,0.0,2.4434033463194282e-08
1890,0.0,1.9007720952757268e-08
1891,0.0,3.4420789774003424e-08
1892,0.0,2.570090096298827e-08
1893,6.158416554491453e-10,1.1700991398022609e-08
1894,2.520615716150587e-09,2.2685542333533704e-08
1895,6.018614495673091e-10,1.8055842598840854e-08
1896,1.179405795248556e-09,2.1819007267609436e-08
1897,0.0,1.3401441401050818e-08
1898,0.0,1.0185038701315818e-08
1899,0.0,3.8693048765026106e-08
1900,0.0,9.863000749454898e-09
1901,5.588738916095792e-10,2.7384819856202114e-08
1902,0.0,1.3748794824852695e-08
1903,0.0,1.4580595175672784e-08
1904,0.0,1.7736263124845664e-08
1905,1.0321518084666081e-09,2.631987072732045e-08
1906,0.0,1.646139019539916e-08
1907,1.028568674676933e-09,1.1828539647762426e-08
1908,4.911389073214423e-10,2.0136695200179133e-08
1909,5.500983557560346e-10,2.2554033307642385e-08
1910,1.068830135508847e-09,2.618633831996675e-08
1911,1.5961122423746588e-09,1.7557234666121246e-08
1912,5.209421227725386e-10,1.6149205250837184e-08
1913,0.0,1.8030165416238475e-08
1914,0.0,2.142958016593255e-08
1915,1.1780761921542648e-09,4.5944971271971724e-08
1916,1.0987462051303964e-09,2.8567401111345703e-08
1917,3.2899273305631027e-09,2.9609346086090227e-08
1918,1.1486376294556067e-09,2.986457925402419e-08
1919,0.0,3.222746858266845e-08
1920,7.572231730534895e-10,3.9375605442870665e-08
1921,0.0,2.120369219094087e-08
1922,0.0,1.7707044441817033e-08
1923,1.0615948120573648e-09,4.2463791594116174e-08
1924,0.0,3.222906186373109e-08
1925,0.0,2.6395626573361142e-08
1926,0.0,1.1146138789719373e-08
1927,5.574612549352764e-09,4.4596898618465275e-08
1928,1.1426041224282812e-09,2.170947854818195e-08
1929,0.0,2.0052731253272782e-08
1930,0.0,3.0460449496061415e-08
