year,des_DET îles_NOUN,des_DET iles_NOUN,des_DET villes_NOUN
1800,4.276063705788147e-06,3.584347454399506e-07,5.549450307285042e-06
1801,3.000289961363478e-06,3.0002900719416914e-07,5.060012895796717e-06
1802,3.981117544071822e-06,2.7077865638602816e-07,5.74901127947669e-06
1803,4.341455323242371e-06,4.1542226791868586e-07,6.352254970920512e-06
1804,4.23180875941398e-06,3.4605912624385837e-07,6.708603464744556e-06
1805,3.894742476973079e-06,4.4633179796527145e-07,6.8968213895459485e-06
1806,2.8903140716352027e-06,1.6425513926776603e-07,5.763338130293505e-06
1807,3.2910801905927656e-06,2.135216305987342e-07,6.0127690773015274e-06
1808,4.0018864524427045e-06,3.489753863661349e-07,6.632798488226399e-06
1809,3.318515751971063e-06,2.756017205562955e-07,6.88552516692198e-06
1810,2.7028463058798025e-06,2.363527977777835e-07,4.77151828448541e-06
1811,3.0260417602789857e-06,3.6854028939714567e-07,6.275213081607944e-06
1812,3.326008723547602e-06,4.267533113555544e-07,5.84385344382099e-06
1813,3.640688916561885e-06,2.4156230171712423e-07,5.374761357757052e-06
1814,2.608595345066078e-06,1.7621391412703247e-07,7.004503146390562e-06
1815,3.827360323782614e-06,3.2096960111971384e-07,6.535372762073166e-06
1816,4.03263070580806e-06,4.959672210702593e-07,4.663018827955057e-06
1817,3.1090761787311294e-06,2.522134935345477e-07,6.308450906544749e-06
1818,3.2795159938814322e-06,2.813397803613782e-07,5.736470527040183e-06
1819,2.586727298137248e-06,2.546358294219786e-07,6.702304986561103e-06
1820,3.5172250179016373e-06,2.7530236756945214e-07,6.8564526429781836e-06
1821,2.921959094237536e-06,2.0709126091755792e-07,6.1387763281572916e-06
1822,2.6968907320679136e-06,3.398683645627898e-07,6.47755024374419e-06
1823,2.610017496351702e-06,4.882047340837303e-07,5.8367146706928e-06
1824,3.4105506259152207e-06,3.023179395711395e-07,5.539408036270288e-06
1825,3.725582956803919e-06,2.888185297589274e-07,6.36985734558948e-06
1826,3.956546528627314e-06,3.576041787134443e-07,6.761008563671567e-06
1827,3.0370913819410816e-06,2.5624019173164925e-07,5.42805203451735e-06
1828,3.590955969912102e-06,3.4029238227262226e-07,5.924389256506402e-06
1829,3.2612361451356264e-06,4.2265756683423916e-07,6.291853893003463e-06
1830,3.334569143476074e-06,2.974498249930235e-07,6.3476835521214525e-06
1831,3.0200166989402533e-06,2.946737971409874e-07,6.1055161637568744e-06
1832,2.5693411558336265e-06,4.383709959476789e-07,5.6000542301148926e-06
1833,4.806047627425869e-06,5.189465461796772e-07,6.324661029566414e-06
1834,3.4332405789427867e-06,3.4071037724459075e-07,6.688191291459589e-06
1835,3.022209931202724e-06,4.0462519734774105e-07,6.775014355753228e-06
1836,2.916805563302205e-06,4.509623268145191e-07,6.892801124536163e-06
1837,3.2020214959516125e-06,5.114049805854393e-07,6.829865768054333e-06
1838,2.6441645530894675e-06,4.1597145616911746e-07,8.037906624736024e-06
