year,ses_DET yeux_NOUN,ses_DET vieux_NOUN
1800,3.450406188676425e-05,3.144164484325529e-09
1801,3.3608010426178225e-05,9.524730337773235e-09
1802,2.996467912907974e-05,1.7902721083373763e-08
1803,3.191730081653077e-05,9.751696339321825e-09
1804,3.6257108490644896e-05,1.730295684509997e-08
1805,3.653950864190847e-05,6.822906328807221e-08
1806,2.7900320105800347e-05,3.458003039469304e-08
1807,2.5616901552893978e-05,5.693910232196231e-09
1808,2.9701432595174992e-05,6.798221985349073e-09
1809,2.538472597279906e-05,1.129515236897305e-08
1810,3.952474207835621e-05,1.4040760554223652e-08
1811,2.8826368634327082e-05,1.0028307073639553e-08
1812,2.6912131033896003e-05,1.600324983641599e-08
1813,3.0379334930330515e-05,2.300593315851529e-08
1814,2.5497525143691746e-05,3.1466771410748606e-09
1815,2.351709167669469e-05,1.3486118000116676e-08
1816,2.675673772500886e-05,5.7940098940889584e-08
1817,2.7477259322949976e-05,1.4011860671736542e-08
1818,3.165191753851104e-05,1.7881765401739358e-08
1819,3.0402068318835518e-05,1.5526574914659363e-08
1820,3.261027802636818e-05,1.3053129244156025e-08
1821,2.9223534284028574e-05,7.88919063410276e-09
1822,3.093103043738665e-05,2.7069162911175226e-08
1823,2.8087584837521717e-05,4.842516432290722e-08
1824,3.0324426234074053e-05,1.0947446504872005e-08
1825,2.9271052994772617e-05,1.937197424695114e-08
1826,2.7310917516842892e-05,2.3781558056157337e-08
1827,2.4136350816661434e-05,4.424290978022327e-08
1828,2.6153899625569466e-05,1.1923991571904935e-08
1829,2.669258390142204e-05,2.3147574523818548e-08
1830,3.08471114749409e-05,3.1310506187764986e-08
1831,2.804078428653156e-05,2.3386808933878456e-08
1832,3.4198352295788936e-05,3.3824925083081325e-08
1833,3.1413643000632874e-05,3.243415847009601e-08
1834,2.9645537324540783e-05,2.8937046536725575e-08
1835,3.165833015827957e-05,4.840376277570613e-08
1836,3.0483977525364025e-05,3.3603751947719473e-08
1837,2.8849502314187703e-05,4.0355768504696243e-08
1838,2.710189926347084e-05,3.724175701158572e-08
1839,2.691787892672437e-05,2.586845759822154e-08
1840,2.7604320052887488e-05,4.267691267045848e-08
1841,2.719680185236939e-05,3.0818632978935057e-08
1842,2.9066241268083104e-05,5.500777389144673e-08
1843,2.808913404805935e-05,5.3752891915337386e-08
1844,3.03308877391828e-05,3.238251200521347e-08
1845,3.0301753554340394e-05,4.073566339801715e-08
1846,2.741311720910744e-05,4.9763260401292086e-08
1847,2.5968371005546942e-05,6.36400363518419e-08
1848,2.4697221988390083e-05,4.263967617879061e-08
1849,2.4393314902226848e-05,7.038708194073706e-08
1850,2.5292405553045683e-05,3.394497927189377e-08
1851,2.3733934881420282e-05,2.192809134271556e-08
1852,2.6593624511406233e-05,2.929745379631754e-08
1853,2.850403097909293e-05,3.463720310570295e-08
1854,2.9359140512497106e-05,3.3771818674921406e-08
1855,3.1411229883815395e-05,4.0332722051061864e-08
1856,2.945717051261454e-05,3.4169449492083004e-08
1857,2.9637593456754985e-05,3.7587621237733515e-08
1858,3.2142153486347524e-05,4.208561227292407e-08
1859,3.377689392891625e-05,3.258990943777462e-08
1860,3.403914411137521e-05,4.348324658676184e-08
1861,3.206100916486321e-05,5.3290391044402696e-08
1862,3.181746592417767e-05,4.337266901188741e-08
1863,3.1499575811722025e-05,3.596127157168283e-08
1864,3.088284211116843e-05,3.643993407020929e-08
1865,3.0833125492790714e-05,2.6358328464315406e-08
1866,3.026362662694737e-05,4.622332322457012e-08
1867,2.9755984428447846e-05,5.338092634588065e-08
1868,2.7807538685920008e-05,3.853101693263028e-08
1869,3.133558868739783e-05,2.9301114534696637e-08
1870,2.7837659672513837e-05,3.1537267908277045e-08
1871,2.523166926948761e-05,2.549082545044712e-08
1872,2.850897101325245e-05,2.056095360636334e-08
1873,2.59906325936754e-05,2.693702005895915e-08
1874,2.674354573173332e-05,3.4652731351059174e-08
1875,2.760522409062105e-05,2.5174719198162165e-08
1876,2.577174291218398e-05,2.418405919968336e-08
1877,2.7753742756431166e-05,4.081978555170451e-08
