year,des_DET ânes_NOUN,des_DET anes_NOUN,des_DET vannes_NOUN
1800,4.967779845266307e-07,3.144164484325529e-09,7.545995117652637e-08
1801,7.19117167591321e-07,4.524246866033366e-08,6.429193177837078e-08
1802,8.391900507831451e-07,1.5664880947952042e-08,4.4756802708434407e-08
1803,7.762350111573113e-07,7.801356893821776e-09,4.095712458074274e-08
1804,6.772871756766108e-07,1.2359254952798437e-08,1.1123329102247226e-07
1805,6.567047590166908e-07,2.842877711017877e-09,9.381496290927771e-08
1806,3.890253230665053e-07,2.881669125542885e-08,7.492339815229343e-08
1807,7.288204901811923e-07,1.4234776024579787e-08,2.2775640928784924e-08
1808,9.970725134422764e-07,1.1330369975581789e-08,4.758755522971114e-08
1809,9.05871218037646e-07,2.7108366440486975e-08,1.0617443280125372e-07
1810,4.703654750137787e-07,1.4040760110134443e-08,3.978215445954447e-08
1811,7.01981491602055e-07,2.5070767684098882e-09,5.0141536256376185e-08
1812,6.881397212055163e-07,2.1337664968257286e-08,1.2535878113340004e-07
1813,6.15408737303369e-07,5.751483289628823e-09,8.627225156487839e-09
1814,7.740825935798057e-07,6.293354282149721e-09,2.5173417128598885e-08
1815,5.718113698094385e-07,5.394447111228828e-09,3.776112933451259e-08
1816,7.30045242036681e-07,4.6352077731626196e-09,5.3304891167726964e-08
1817,4.997563678443839e-07,3.113746815941454e-09,4.826307531402563e-08
1818,5.114185341881239e-07,8.344823942962876e-09,9.536941725230008e-08
1819,8.384350280721264e-07,1.3456365355324351e-08,8.79839276990424e-08
1820,6.633363156538508e-07,1.5426425470366212e-08,1.6613073583471305e-08
1821,6.557889458136401e-07,1.9722976585256902e-08,4.6348993976153e-08
1822,5.514089025382418e-07,3.0076847679083585e-09,9.825103575167304e-08
1823,5.860433134330378e-07,5.929612134636386e-09,6.819054121365298e-08
1824,6.83794328715237e-07,1.51580028528997e-08,5.557934379396556e-08
1825,8.541279781226763e-07,1.1447076175841175e-08,7.04435478837695e-08
1826,8.543744631772654e-07,8.80798411984074e-09,4.1397527184017235e-08
1827,4.6547228116367023e-07,4.608636583469661e-09,4.977327527910802e-08
1828,5.631792703297833e-07,3.668920500743411e-09,2.751690308944177e-08
1829,6.241271943707716e-07,8.573175946935407e-09,8.144517504860005e-08
1830,7.138795705685652e-07,1.5655254204105518e-08,7.723258654834808e-08
1831,5.113915721999263e-07,3.1182412207897414e-09,1.2161140539035387e-07
1832,7.19794375214633e-07,6.764984683549358e-09,1.596536316483821e-07
1833,8.641386939345352e-07,1.5058717495186613e-08,5.90765054653275e-08
1834,5.85275072406688e-07,1.2134890647885754e-08,6.44082607248464e-08
1835,6.90509914136328e-07,1.1344631900556124e-08,7.563087933704082e-08
1836,5.786565915322228e-07,1.2097349788575684e-08,4.3684875439264914e-08
1837,5.72634445639153e-07,9.74104752415883e-09,5.0096815584765864e-08
1838,6.400532193140407e-07,1.7674052887883818e-08,7.38522962784316e-08
1839,5.2575891240636e-07,1.0487212875887053e-08,8.249940641746889e-08
1840,5.083011531681336e-07,2.5478754661634184e-09,1.0637379821432091e-07
1841,6.58748267490239e-07,7.704658244733764e-09,1.0208672440725763e-07
1842,5.79594114036297e-07,2.0795622113212175e-08,7.580339200785602e-08
1843,5.381196150899825e-07,1.122313109114259e-08,7.738053842132331e-08
1844,5.422698361456924e-07,6.037417454862748e-09,4.8299338806234715e-08
1845,6.32797837241128e-07,1.9530798311961917e-08,1.1439467506590972e-07
1846,5.614466964676268e-07,1.0538102390711401e-08,5.561776283968811e-08
1847,5.150528847863711e-07,1.0247124926365814e-08,6.525800611001387e-08
1848,6.709714934771682e-07,1.769948720919956e-08,2.5744709697406165e-08
1849,4.466228189503596e-07,1.6758829435303824e-08,6.619737691337946e-08
1850,5.322573031207867e-07,5.431196825611551e-09,5.499086874749537e-08
1851,5.959281488276957e-07,1.0964045893402385e-08,7.545843616618697e-08
1852,4.433681433102521e-07,2.213585514887484e-08,1.1263243493431219e-07
1853,5.822633433183455e-07,3.941474835400527e-08,6.151089593231518e-08
1854,4.7228590194237086e-07,1.2989161302101593e-08,6.078927405894774e-08
1855,6.246264874221197e-07,2.812676669350367e-08,9.711694914926738e-08
1856,5.21342935932978e-07,1.656700510110909e-08,1.1648675624087446e-07
1857,5.057243690487212e-07,1.0739320155384036e-08,5.2232147607078616e-08
1858,5.206871254159751e-07,5.3830435664536935e-09,1.003203546900977e-07
1859,4.628785588156603e-07,5.601390817844276e-08,5.5504688178942274e-08
1860,6.343976686196129e-07,5.492620802627357e-09,6.865776080999808e-08
1861,4.6970999756368315e-07,7.545542246578663e-09,7.498382448289931e-08
1862,5.10532438546818e-07,2.6656119561652147e-08,6.867339452654164e-08
1863,4.2504224673223234e-07,7.491931075520597e-09,9.090209651674286e-08
1864,4.794728112322844e-07,1.7740493518658695e-08,1.0260717697718746e-07
1865,5.15399440237374e-07,7.530950751899468e-09,9.649031174063794e-08
1866,5.279189867479772e-07,9.244664589402873e-09,6.471265001639637e-08
1867,4.940161826283429e-07,2.1837651686951176e-08,6.842464017609018e-08
1868,4.3619087097823694e-07,1.1361710239299327e-08,8.792975991767094e-08
1869,5.225365762306922e-07,1.2697149553986264e-08,8.350817903846064e-08
1870,4.3750792322327925e-07,9.17447806614291e-09,8.830434827800104e-08
1871,4.184743831459059e-07,4.248470908407853e-09,1.0302541642026597e-07
1872,4.0154333769137907e-07,1.8142017332856142e-08,7.92201466648379e-08
