year,auras_VERB eu_VERB,auras_VERB vu_VERB
1800,3.144164395507687e-08,3.144164484325529e-09
1801,2.6193008650921e-08,4.7623651688866175e-09
1802,4.475680270843441e-09,4.475680270843441e-09
1803,5.851017448321727e-09,0.0
1804,4.943701892301533e-09,7.4155526164076946e-09
1805,0.0,3.695740957709859e-08
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,9.064295980465431e-09,6.798221985349073e-09
1809,2.259030518203531e-09,2.0331274441787173e-08
1810,4.680253518074551e-09,0.0
1811,5.0141535368197765e-09,2.2563691359778204e-08
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,1.1502966579257645e-08,2.5881675469463516e-08
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,8.091670444798638e-09,2.697223555614414e-09
1816,0.0,0.0
1817,4.670620334934483e-09,9.341240669868967e-09
1818,0.0,3.5763532135746345e-09
1819,1.035105001712111e-09,1.3456364911235141e-08
1820,9.493184904840746e-09,1.6613073583471305e-08
1821,9.86148829262845e-10,2.9584463767662328e-09
1822,7.017931125119503e-09,1.2030739071633434e-08
1823,9.882686891060644e-10,1.1859224713361982e-08
1824,1.0105335235266466e-08,8.421112696055388e-10
1825,1.7610886082763955e-09,1.6730341556581152e-08
1826,3.5231937367541377e-09,2.906634755106552e-08
1827,3.6869092223668076e-09,0.0
1828,1.8344602503717056e-09,8.255071293206129e-09
1829,5.143905745796928e-09,1.1145129263923081e-08
1830,4.174734336004349e-09,8.349468672008697e-09
1831,3.1182412207897414e-09,1.7150327380477393e-08
1832,1.3529969367098715e-09,9.470978667991403e-09
1833,1.1583628500844156e-09,4.865124125785769e-08
1834,2.0535967593104942e-08,2.42697808516823e-08
1835,6.050470346963266e-09,3.479020449503878e-08
1836,6.720750067579218e-10,2.8227150394855016e-08
1837,4.87052354003481e-09,4.5922078584226256e-08
1838,2.209256599883247e-08,1.7042836475411605e-08
1839,1.2584655095793096e-08,1.6080392128969834e-08
1840,1.9109065441114126e-09,4.1402977046800515e-08
1841,3.852329122366882e-09,3.723918240439161e-08
1842,9.391571076378114e-09,1.7441490030023488e-08
1843,9.451057714215949e-09,3.0125246297529884e-08
1844,5.488561161115513e-09,2.5247381074677833e-08
1845,9.48638767539478e-09,3.348136701220028e-08
1846,7.025401593807601e-09,2.751615646445771e-08
1847,8.629157832729106e-09,2.3190860787281053e-08
1848,1.6090443422100975e-09,3.298540818263973e-08
1849,8.379414939696517e-10,1.005529792763582e-08
1850,1.3577992064028876e-09,9.504594444820214e-09
1851,6.449438760824933e-09,2.4507867735223954e-08
1852,3.906327261660181e-09,1.6927417689771573e-08
1853,1.4332636411040767e-08,2.5679307569248522e-08
1854,9.352196350675968e-09,2.0782657372819813e-08
1855,5.837630823180007e-09,3.3964397516683675e-08
1856,5.177189343896771e-09,3.054541508618058e-08
1857,4.881508974818871e-09,2.636014961865385e-08
1858,7.829881631948865e-09,2.7404585267731818e-08
1859,9.675129142294736e-09,2.64793023063703e-08
1860,7.323494255473406e-09,3.61597543019343e-08
1861,5.234719679947375e-08,1.325185792211414e-07
1862,1.8071945051545413e-09,2.5300723294208183e-08
1863,3.995696662428827e-09,2.447364266799923e-08
1864,9.109982990196386e-09,4.6029388300894425e-08
1865,9.413688495385486e-09,3.7654753981541944e-08
1866,4.379051787850585e-09,4.330395597662573e-08
1867,1.261730986357179e-08,3.494024269912188e-08
1868,9.87974857480367e-09,1.975949714960734e-08
1869,2.539429999615095e-08,1.8069020057964735e-08
1870,6.880858549607183e-09,3.841812556970581e-08
1871,7.434824311758348e-09,4.0360472297606975e-08
1872,4.8378714367913744e-09,2.660829245826335e-08
1873,3.591602570907071e-09,1.9155214303623325e-08
1874,5.974609251779839e-09,3.0470506118263074e-08
1875,2.8607636259891933e-09,3.6045619822289154e-08
1876,5.441413541973361e-09,2.6602464231473277e-08
1877,5.566334504436554e-09,3.64904160221613e-08
1878,3.6234530931267273e-09,2.6571990829893366e-08
1879,9.774920428640144e-09,3.726688291294522e-08
1880,1.1552122813895949e-08,1.6044616302224313e-08
1881,9.064259565150223e-09,3.765154232837631e-08
1882,1.4641846846075168e-08,3.128031167420886e-08
1883,9.479008689083912e-09,1.1374810426900694e-08
1884,7.922036360241691e-09,6.271611852071146e-08
1885,7.7347630522695e-09,6.445635580831777e-09
1886,1.097088819790315e-08,1.871504551331782e-08
1887,7.1818169189441505e-09,1.9586773092328258e-08
1888,1.268122939990235e-08,6.150396103521416e-08
