year,quelques_DET ans_NOUN,quelques_DET vents_NOUN
1800,3.458580977167003e-08,2.829747991484055e-08
1801,2.857419123536431e-08,4.286128785224719e-08
1802,6.713520406265161e-09,3.8043282302169246e-08
1803,3.900678446910888e-09,1.1702034896643454e-08
1804,4.2021465418429216e-08,2.719036085174764e-08
1805,1.9900143755080535e-08,5.685755510853596e-08
1806,2.5935023018064385e-08,7.780506905419315e-08
1807,3.131650672116848e-08,4.27043254092041e-08
1808,6.798221985349073e-09,1.3596443970698147e-08
1809,5.421673243688474e-08,2.25903047379461e-08
1810,3.978215445954447e-08,3.042164919975221e-08
1811,1.504245972228091e-08,1.504245972228091e-08
1812,2.1337665856435706e-08,8.001624962616916e-08
1813,1.1502966579257645e-08,6.614205716459765e-08
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,2.966945888971395e-08,7.012781111370714e-08
1816,2.5493642752394408e-08,3.476405652236281e-08
1817,1.5568734412774177e-08,2.80237220096069e-08
1818,1.907388358368678e-08,4.053200441944682e-08
1819,1.9666995143552413e-08,1.5526575580793178e-08
1820,1.7799721696576398e-08,1.898636980968149e-08
1821,7.297501347647284e-08,3.648750634965836e-08
1822,6.115625694746996e-08,2.105379337535851e-08
1823,2.371844876059015e-08,1.1859224713361982e-08
1824,1.0021123841852386e-07,1.431589158329416e-08
1825,2.2894151241459326e-08,9.68598712347557e-09
1826,2.201995996653494e-08,7.927186018719112e-09
1827,2.1199728195142598e-08,4.977327350275118e-08
1828,1.742737265608696e-08,1.1923991571904935e-08
1829,1.2859763920403111e-08,1.7146351893870815e-08
1830,2.817945699007396e-08,1.6698937344017395e-08
1831,9.510635434750725e-08,2.6505050598757407e-08
1832,1.488296597074168e-08,2.4353944638733083e-08
1833,9.26690302271993e-09,3.938433579264711e-08
1834,1.866906118586087e-08,5.0406466556296436e-08
1835,3.025235173481633e-08,5.672315950278062e-08
1836,3.22596004909137e-08,2.352262562510532e-08
1837,5.427154992077021e-08,3.061471942622518e-08
1838,3.1560809521380406e-08,1.9567702125300457e-08
1839,1.1186360504567006e-08,4.544458898081416e-08
1840,4.458782187910515e-08,3.05745047057826e-08
1841,2.6966304744746594e-08,2.5040138407206314e-08
1842,3.287049921141261e-08,2.3478927246856074e-08
1843,4.193906921745594e-08,1.8311423488626133e-08
1844,2.3600813969792966e-08,1.920996517412732e-08
1845,1.729870580113868e-08,2.1204865419122143e-08
1846,1.5807153586067102e-08,2.8101606819319613e-08
1847,1.833696128272777e-08,9.707802561820245e-09
1848,2.413566457803995e-08,8.04522137798358e-09
1849,3.2679717376637996e-08,1.9272654583346593e-08
1850,2.7834883731259197e-08,1.765138968323754e-08
1851,2.063820425668439e-08,8.384270167027807e-09
1852,2.018269107395554e-08,1.7578472011337e-08
1853,2.6276500530997282e-08,1.4332636411040767e-08
1854,3.013485427860729e-08,9.352196350675968e-09
1855,4.139410947345823e-08,7.960405667972736e-09
1856,2.381507024917795e-08,7.248064815001953e-09
1857,3.465871334373816e-08,2.7336451324799782e-08
1858,2.88726889063895e-08,1.8106600663259087e-08
1859,1.680417205385254e-08,1.1202780925145817e-08
1860,3.7532908503390416e-08,6.865775947773045e-09
1861,2.4994607272788016e-08,7.073945429425521e-09
1862,2.5752522003763545e-08,3.7499287341979937e-08
1863,2.0977407033662132e-08,1.6981710260211003e-08
1864,1.7740493518658695e-08,3.356309563606885e-09
1865,1.3179164426446732e-08,5.6482134525026595e-09
1866,2.5787747603978062e-08,9.244664589402873e-09
1867,3.445495977416613e-08,1.2132028714972876e-08
1868,2.519335706718806e-08,1.3831646938911035e-08
1869,2.7347706321734222e-08,4.883519366671862e-09
1870,2.6376624884250077e-08,4.587239033071455e-09
1871,2.2304472935275044e-08,3.080141297573391e-08
1872,1.9956219454719815e-08,9.07100861091692e-09
1873,2.454261771589472e-08,2.4542618937140048e-08
1874,1.1351757034372412e-08,2.8678124042169628e-08
1875,2.6891177895560503e-08,1.3159512590732447e-08
1876,2.176565305767042e-08,1.3905833817773328e-08
1877,2.906863472151855e-08,9.27722432209066e-09
1878,1.8721174777081018e-08,6.039088784604019e-09
1879,5.8649524126153096e-08,9.163987790827832e-09
1880,2.9522092326317306e-08,7.701415505323439e-09
1881,2.5798277791810875e-08,1.324776466304911e-08
1882,4.725323421439498e-08,1.6638463051776853e-08
1883,4.297150424381613e-08,1.516641390253426e-08
1884,2.706695845233753e-08,1.3203393933736152e-08
1885,3.351730470946279e-08,8.379326565943757e-09
1886,3.872078235822585e-08,7.744156427236248e-09
1887,3.3950408484528793e-08,7.1818171409887555e-09
1888,2.53624587998047e-08,1.9021844099853524e-09
1889,4.510898587994916e-08,2.5060546970934183e-09
1890,2.3595791986963377e-08,6.554386366985909e-09
1891,2.7409146508006188e-08,1.2748440525456317e-08
1892,2.820830591332424e-08,5.641661138255927e-09
1893,1.4780200174868696e-08,9.23762488724833e-09
1894,3.3398158905129094e-08,5.671385361338821e-09
1895,3.5509824414248214e-08,3.611168697403855e-09
1896,3.125425407368709e-08,5.307326078618502e-09
1897,7.982597294287075e-08,1.51494548017439e-08
1898,1.4145887239358501e-08,6.224190496340043e-09
1899,5.638130140539488e-08,1.1055156790007459e-09
1900,3.529916137168243e-08,6.748368863718213e-09
1901,3.688567695725453e-08,5.588738916095792e-10
1902,3.240787266323153e-08,2.455141867585553e-09
1903,5.4542223182352245e-08,3.7801541896698154e-09
1904,3.117282609821359e-08,4.837162670412454e-09
1905,3.354493349760901e-08,1.0321518084666081e-09
1906,4.784091645060329e-08,4.115347618238729e-09
1907,3.188562835987341e-08,2.571421631181181e-09
