year,nos_DET vivres_NOUN
1800,8.17482739279285e-08
1801,5.2386017301842e-08
1802,1.0294064622939914e-07
1803,5.655983681407406e-08
1804,5.190887186756754e-08
1805,1.2224373868718885e-07
1806,1.4408345627714425e-08
1807,7.97147414743904e-08
1808,9.517510735079782e-08
1809,1.4457795316502597e-07
1810,1.3338722837374917e-07
1811,1.1532553179094407e-07
1812,7.468182872116813e-08
1813,1.610415303332502e-07
1814,1.7306723520960077e-07
1815,8.091670444798638e-08
1816,1.5296186006708012e-07
1817,3.89218364205135e-08
1818,6.795071039178424e-08
1819,8.487860903017008e-08
1820,1.2103810576036267e-07
1821,8.579494803484522e-08
1822,1.523893615740235e-07
1823,4.793103069999916e-07
1824,8.25269044213428e-08
1825,1.1887347994843367e-07
1826,5.989429197050811e-08
1827,4.7008093417844066e-08
1828,1.6051526563476415e-07
1829,6.772809318933426e-08
1830,1.784698926421413e-07
1831,1.1849316905454543e-07
1832,4.058990654698391e-08
1833,2.455729273265206e-07
1834,1.5028594635424497e-07
1835,1.7924518402878675e-07
1836,2.05654945073519e-07
1837,1.454199241024412e-07
1838,2.1776958192276652e-07
1839,9.71815021788558e-08
1840,1.1338046013165126e-07
1841,2.0353139396078745e-07
1842,6.30576928450921e-08
1843,1.7779801986250732e-07
1844,6.366730898044182e-08
1845,8.370341736396725e-08
1846,1.1884637984849178e-07
1847,7.820174374728595e-08
1848,3.620349886546137e-08
1849,1.0306680309213334e-07
1850,1.0115603910065829e-07
1851,9.996630012665264e-08
1852,3.2552727624590716e-08
1853,7.285756709052293e-08
1854,1.0547198958654747e-07
1855,1.0666943950354835e-07
1856,4.193523128748211e-08
1857,1.3765854944836065e-07
1858,1.1989505899201447e-07
1859,8.351164271225286e-08
1860,1.1992222104240113e-07
1861,1.1035355207411612e-07
1862,6.957699150156316e-08
1863,8.091285597089382e-08
1864,5.513937306744765e-08
1865,4.189091629136499e-08
1866,8.271542029092416e-08
1867,6.745408143160603e-08
1868,9.286962932009146e-08
1869,8.106642135352615e-08
1870,8.371711102128643e-08
1871,3.9085931646809513e-07
1872,2.4370776685600504e-07
1873,1.20917293511269e-07
1874,1.744585800267373e-07
1875,9.898241637440464e-08
1876,1.0278224893411902e-07
1877,4.824156585314654e-08
1878,8.031987763779114e-08
1879,1.6800644342396254e-07
1880,7.38052321480609e-08
1881,1.0040410769462937e-07
1882,5.191200580512145e-08
1883,7.709593807803117e-08
1884,1.043068120765156e-07
1885,1.2697902196379118e-07
1886,1.0583680820630548e-07
1887,6.724792300794036e-08
1888,8.17939271868795e-08
1889,1.3156786948798072e-07
1890,1.0159298780010317e-07
1891,1.0899916258466646e-07
1892,1.266239433306282e-07
1893,7.88277323415798e-08
1894,6.86867780430589e-08
1895,9.689969093784612e-08
1896,8.373781046344675e-08
1897,1.0080214174479352e-07
1898,8.883616864352462e-08
1899,4.477338677588705e-08
1900,7.786579736546173e-08
1901,8.327221046044997e-08
1902,9.133127676363983e-08
1903,1.593064968830049e-07
1904,6.879520064728695e-08
1905,4.335037484537452e-08
1906,6.481672443214848e-08
1907,4.31998852246096e-08
1908,7.219741782193978e-08
1909,4.565816302815051e-08
1910,6.092331661378125e-08
1911,6.278041309037974e-08
1912,4.7926675073028946e-08
1913,5.3560197610380555e-08
1914,7.031581095162664e-08
1915,6.361611237792886e-08
1916,1.2196083476467834e-07
1917,8.773139659190576e-08
1918,7.925599998515054e-08
1919,2.8544329566670967e-08
1920,6.284952291935042e-08
1921,5.6038331308627676e-08
1922,4.943216680430851e-08
1923,5.095655009057509e-08
1924,5.1566498182609166e-08
1925,5.059162022647001e-08
1926,5.461607877066399e-08
1927,3.902228862262547e-08
1928,5.59876029981865e-08
1929,4.4561624168437675e-08
1930,7.457558237611295e-08
1931,6.957267562057723e-08
1932,7.342889696282384e-08
1933,4.932384722877714e-08
1934,4.67281626725935e-08
1935,2.6330224223158893e-08
1936,3.516167268458048e-08
1937,2.0145789036973838e-08
1938,4.2785209153350934e-08
1939,3.5176316970364496e-08
1940,7.607348528892999e-09
1941,6.493305493293633e-08
1942,5.158160121254696e-08
1943,2.9032352077962287e-08
1944,6.426372145540427e-08
1945,8.496165548876888e-08
1946,7.378185085116229e-08
1947,2.861009096299938e-08
1948,3.696441863709765e-08
1949,1.7670615193310368e-08
1950,3.296962214349719e-08
1951,4.9042446770286574e-08
1952,3.58523338794825e-08
1953,2.9089333830611963e-08
1954,2.931760767488356e-08
1955,2.3464020060259827e-08
1956,3.139610993407871e-08
1957,2.3854601516326568e-08
1958,2.1507833403155985e-08
1959,2.8677766494844548e-08
1960,3.737249848478896e-08
1961,2.987708436208436e-08
1962,2.219684747117867e-08
1963,2.7804028857048024e-08
1964,3.4070221754944896e-08
1965,2.2435377999840966e-08
1966,2.714146662974315e-08
1967,2.7609878827661305e-08
1968,3.233819434456109e-08
1969,5.086768584128265e-08
1970,4.230826955442524e-08
1971,3.08303840235169e-08
1972,1.6416469961200164e-08
1973,3.08739407373082e-08
1974,2.5877629372672573e-08
1975,1.8847885030481848e-08
1976,2.4568165724048185e-08
1977,2.4682484334181964e-08
1978,3.683166727164178e-08
1979,4.974177314487349e-08
1980,3.865902487021344e-08
1981,2.7832417481832294e-08
1982,1.6139505731871395e-08
1983,2.0209011353244932e-08
1984,3.189454744756404e-08
1985,3.368712497842097e-08
1986,2.3378493918535526e-08
1987,3.666490178133586e-08
1988,2.6984492418336004e-08
1989,2.195248893777091e-08
1990,3.1602174876965705e-08
1991,3.16519124243797e-08
1992,1.8733810169813125e-08
1993,2.82499581505391e-08
1994,3.639699297508514e-08
1995,3.3076950067822963e-08
1996,2.6690460952494277e-08
1997,2.924885578181602e-08
1998,3.623778055406035e-08
1999,2.8335246871069586e-08
2000,3.048441721276163e-08
2001,3.110660384830766e-08
2002,2.7601694929657583e-08
2003,3.041853657848037e-08
2004,3.523833003171717e-08
2005,3.6029996985931234e-08
2006,3.2531330740326325e-08
2007,4.194203317986478e-08
2008,3.618823862794329e-08
2009,4.5297827044876726e-08
2010,3.3066551718974324e-08
2011,3.0209378776291373e-08
2012,4.97020897771705e-08
2013,5.243555012413026e-08
2014,5.197068553286499e-08
2015,7.159538606416049e-08
2016,8.803195372664163e-08
2017,4.9054420081517947e-08
2018,6.24714941999116e-08
2019,4.846876899833319e-08
