year,ils_PRON ont_VERB,ils_PRON vont_VERB
1800,0.00011526507114467677,6.725367597937293e-06
1801,0.0001039791004586732,5.745793714595493e-06
1802,9.918779142026324e-05,5.625930157293624e-06
1803,0.00010779329568322282,6.139667675597593e-06
1804,0.0001041168361552991,5.314479494700208e-06
1805,9.376947673445102e-05,4.599776048053172e-06
1806,8.956227611633949e-05,4.328266982156492e-06
1807,9.562921877659392e-05,4.1622484445724695e-06
1808,9.704461990622804e-05,5.316209808370331e-06
1809,9.584614781488199e-05,5.021825018047821e-06
1810,9.424626477994025e-05,5.653746256939485e-06
1811,8.04144874564372e-05,5.094379844194918e-06
1812,8.84046148712514e-05,3.947468144360755e-06
1813,8.596454790676944e-05,4.164073857282347e-06
1814,9.162808783003129e-05,4.216547324631392e-06
1815,8.917290870158467e-05,3.681710268210736e-06
1816,9.80809963948559e-05,4.5749500827696465e-06
1817,9.784793837752659e-05,4.367029987406568e-06
1818,9.313420196122024e-05,4.685022645389836e-06
1819,0.00010018884859164245,4.798746658707387e-06
1820,0.00010081881191581488,5.152426183485659e-06
1821,9.922432400344405e-05,5.059929435446975e-06
1822,9.592108108336106e-05,5.034864216213464e-06
1823,8.611773409938905e-05,4.105268089915626e-06
1824,8.229616287280805e-05,3.962133519053168e-06
1825,8.890327262633946e-05,4.802488547284156e-06
1826,8.550703023502138e-05,4.423369773576269e-06
1827,9.115606917475816e-05,4.133025299779547e-06
1828,9.134327592619229e-05,4.461407229428005e-06
1829,9.176299136015587e-05,4.252295241258253e-06
1830,9.423314440937247e-05,4.839560915570473e-06
1831,9.32416514842771e-05,4.477794391277712e-06
1832,8.491273365507368e-05,4.688134367825114e-06
1833,9.057586794369854e-05,5.21147444487724e-06
1834,9.030691580846906e-05,4.673799480769958e-06
1835,8.889805030776188e-05,4.942477971781045e-06
1836,8.50719261507038e-05,4.075462925356987e-06
1837,8.69228460942395e-05,4.5560269086308836e-06
1838,8.213006185542326e-05,4.1754950643735356e-06
1839,8.202957815228729e-05,4.0305854440703115e-06
1840,8.815903493086807e-05,4.16195450725354e-06
1841,8.752106441534124e-05,4.1919761315512005e-06
1842,8.530900777259376e-05,4.179249231128779e-06
1843,8.818073183647357e-05,4.310272913699009e-06
1844,8.041126602620352e-05,4.20972639858519e-06
1845,8.014044033188839e-05,4.0601739215162524e-06
