year,vingt - six ans
1800,5.442734050120634e-07
1801,5.543763563764514e-07
1802,7.612228332121163e-07
1803,6.364281555093498e-07
1804,9.677523107320951e-07
1805,7.11869631686568e-07
1806,6.95184975363361e-07
1807,6.946335142643534e-07
1808,1.1056257278596604e-06
1809,8.425970872139033e-07
1810,1.0564876602447981e-06
1811,1.277557544199226e-06
1812,1.5597696148006435e-06
1813,1.9165628692974224e-06
1814,1.2416156887073981e-06
1815,1.4663831358063817e-06
1816,1.4641553596206336e-06
1817,1.0902130167522728e-06
1818,1.6174237362776012e-06
1819,1.3646451151316796e-06
1820,1.1239494526193994e-06
1821,1.3176392608116316e-06
1822,1.0021792880010594e-06
1823,1.2069785326751514e-06
1824,1.0749419683264705e-06
1825,1.4416056757227125e-06
1826,1.2637927184755426e-06
1827,1.2143209744408523e-06
1828,1.3120248532061396e-06
1829,1.3289636378033265e-06
1830,1.1242711721592968e-06
1831,1.1706305453884625e-06
1832,1.3210208464897732e-06
1833,1.078538680587826e-06
1834,1.1282303571391594e-06
1835,1.0764588669331943e-06
1836,1.1176791581135603e-06
1837,1.4088873321327355e-06
1838,1.2505035247301066e-06
1839,1.2220483931457693e-06
1840,1.2859380884577831e-06
1841,1.4467788300720485e-06
1842,1.2770597086486646e-06
1843,1.21532173480432e-06
1844,1.4038402262883665e-06
1845,1.1761579870039895e-06
1846,1.2633824510999148e-06
1847,1.099774983970292e-06
1848,1.293163581550516e-06
1849,1.0596214643499025e-06
1850,1.2965466442693696e-06
1851,1.156193592422028e-06
1852,1.296876117606871e-06
1853,1.788534641278261e-06
1854,1.4463702555644886e-06
1855,1.6394525950147454e-06
1856,1.4002045638505933e-06
1857,1.5257336976048919e-06
1858,1.634565155228529e-06
1859,1.590893985436992e-06
1860,1.6047506878891227e-06
1861,1.4799576426582917e-06
1862,1.5516700688777973e-06
1863,1.5016877554785424e-06
1864,1.3564810092958623e-06
1865,1.4379820036936053e-06
1866,1.4143822220091806e-06
1867,1.4016332441357804e-06
1868,1.4585120968746423e-06
1869,1.3612930480633167e-06
1870,1.3980316957429295e-06
1871,9.63522881036738e-07
