year,quelques_DET yeux_NOUN,quelques_DET vieux_ADJ
1800,5.973912209356058e-08,3.395697634189787e-07
1801,5.476719877606229e-08,2.2383116515811707e-07
1802,2.0140561218795483e-08,2.6854081625060644e-07
1803,5.655983770225248e-08,3.9786919714401847e-07
1804,7.662737999680758e-08,2.719035903098188e-07
1805,4.264316544322355e-08,3.8378850231168826e-07
1806,2.0171683878800195e-08,4.1207868406445414e-07
1807,5.693910232196231e-09,3.7010417486271763e-07
1808,4.305540457494317e-08,2.560663610040592e-07
1809,9.487928309681593e-08,5.195770267363287e-07
1810,1.4040760554223652e-08,2.995362127222734e-07
1811,1.0028307073639553e-08,3.9611812496787024e-07
1812,6.13457871168066e-08,5.22772839239849e-07
1813,8.052076339026826e-08,3.393375074267624e-07
1814,6.922689976818219e-08,4.499748236241885e-07
1815,7.821948599939788e-08,3.910974086807073e-07
1816,6.952811304472561e-08,2.433484063146807e-07
1817,4.0478710161551135e-08,3.362846463517144e-07
1818,4.887682791832049e-08,4.470441545834092e-07
1819,3.105314938522952e-08,4.4302492696601803e-07
1820,1.6613073583471305e-08,4.722859454631134e-07
1821,3.944595405869222e-08,4.1516864257573616e-07
1822,1.604098542884458e-08,3.7896828075645317e-07
1823,1.9765373338032077e-08,4.447209072111491e-07
1824,2.6947560627377243e-08,4.547400784815636e-07
1825,8.189061873054015e-08,5.635483475430192e-07
1826,1.6735169694470642e-08,4.641807862526548e-07
1827,5.2538454919925925e-08,4.32290107710287e-07
1828,1.3758452155343548e-08,4.7420797955055605e-07
1829,3.600733933240008e-08,6.309857667474716e-07
1830,3.1310506187764986e-08,6.627390547464529e-07
1831,4.989185953263586e-08,7.078407548988253e-07
1832,7.441483085290912e-08,8.307401060392294e-07
1833,3.8225973497674204e-08,6.961760803392281e-07
1834,1.866906162995008e-08,7.271599429259368e-07
1835,5.596685070941021e-08,6.020217853119902e-07
1836,3.427582484505365e-08,5.403482958854511e-07
1837,4.035576894878545e-08,5.148839328228405e-07
1838,1.8936486156917454e-08,5.586263114309986e-07
1839,2.9364195075487487e-08,6.096566345092924e-07
