year,grandes_ADJ oies_NOUN,grandes_ADJ voies_NOUN
1800,3.144164484325529e-09,6.60274537267469e-08
1801,2.3811825844433088e-09,4.7623650800687756e-08
1802,4.475680270843441e-09,9.398928568771225e-08
1803,0.0,8.971560561121805e-08
1804,2.4718509461507665e-09,5.438072037122765e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,7.204172902675055e-08
1807,0.0,6.832692633906845e-08
1808,2.2660739951163578e-09,6.798222074166915e-08
1809,0.0,3.162642769893864e-08
1810,0.0,1.0296557917399696e-07
1811,0.0,2.1059445032278745e-07
1812,0.0,2.90725694185312e-07
1813,0.0,2.300593315851529e-08
1814,0.0,6.293354459785405e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,2.3176038865813098e-08
1817,1.556873407970727e-09,7.005930058312515e-08
1818,4.768470951432846e-09,5.722165141719415e-08
1819,0.0,2.070209959015301e-08
1820,0.0,7.001224133773576e-08
1821,0.0,8.973954379598581e-08
1822,1.0025615893027862e-09,1.082766516447009e-07
1823,0.0,2.7671523739059012e-08
1824,6.736890156844311e-09,7.326367779114662e-08
1825,8.805443041381977e-10,8.541280038798504e-08
1826,0.0,5.460950447400137e-08
1827,0.0,9.217273344575005e-08
1828,5.503380862137419e-09,5.6868266540277546e-08
1829,0.0,1.0716470200122785e-07
1830,3.1310507520032616e-09,1.5133412034629146e-07
1831,1.5591206548037917e-08,1.808579952466971e-07
1832,0.0,1.3394669906574563e-07
1833,1.2741991461950875e-08,1.5985406776053424e-07
1834,1.8669061851994684e-09,2.4363126271964575e-07
1835,2.2689263801112247e-09,2.3823727701710595e-07
1836,6.720750067579218e-10,2.0699910407984135e-07
1837,6.957890930081589e-10,2.3656829739593377e-07
1838,1.2624323808552163e-09,3.036149962554191e-07
1839,6.9914751765765e-10,2.9154452363400196e-07
1840,0.0,3.3886743722177926e-07
1841,0.0,3.4542551929916954e-07
1842,1.341653010911159e-09,4.876908974438265e-07
1843,4.7255288571079745e-09,3.8099577182038047e-07
1844,5.488561272137815e-10,5.461118348648597e-07
1845,0.0,5.535586069527199e-07
1846,0.0,4.841672875954828e-07
1847,5.3932236454556914e-09,3.640425916273671e-07
1848,0.0,4.690364221460186e-07
1849,0.0,5.262272679829039e-07
1850,6.788996032014438e-10,4.772664397023618e-07
1851,6.449438760824933e-10,4.572652017031942e-07
1852,6.510545436100301e-10,5.950638524154783e-07
1853,1.3735443005202796e-08,4.0848013327376975e-07
1854,7.27393034694046e-09,4.463075811145245e-07
1855,2.1227748447927297e-09,5.15834301495488e-07
