year,certains_DET airs_NOUN,certains_DET verres_NOUN
1800,5.345079756580162e-08,1.320549074534938e-07
1801,4.286128785224719e-08,1.904946067554647e-08
1802,3.8043282302169246e-08,4.475680270843441e-09
1803,2.145373079187607e-08,1.0531832117521844e-07
1804,4.943701981119375e-08,1.4831105232815389e-08
1805,6.254330742194725e-08,5.1171799242411e-08
1806,5.4751712497136396e-08,5.187004603612877e-08
1807,2.562259560079383e-08,2.8469550272802735e-08
1808,1.5862518409903714e-08,6.798221985349073e-09
1809,3.6144488291256494e-08,2.4849335034105025e-08
1810,7.254392642153107e-08,8.658469141664682e-08
1811,6.267691787797958e-08,7.52123057168319e-08
1812,6.401299401659344e-08,1.8670456736202823e-08
1813,6.039057609541487e-08,2.8757416448144113e-09
1814,5.664018942752591e-08,3.1466771410748606e-09
1815,3.236668177919455e-08,2.6972236000233352e-08
1816,3.708166040894412e-08,3.9399267848239106e-08
1817,4.981994838892945e-08,3.42512151974006e-08
1818,4.530047559292427e-08,3.5763532135746345e-09
1819,4.0369095288816936e-08,2.3807415150400857e-08
1820,6.40789963313182e-08,1.542642635854463e-08
1821,7.889190811738445e-08,1.8736827200882544e-08
1822,3.709477880420309e-08,1.4035862250239006e-08
1823,5.830785232419089e-08,2.9648061783404955e-09
1824,9.263223965660927e-09,2.4421225930382207e-08
1825,8.717388766399381e-08,1.0566531649658373e-08
1826,4.227832306469281e-08,5.284790383086602e-09
1827,6.267745789045875e-08,3.594736597278825e-08
1828,9.814362300630819e-08,2.384798314380987e-08
1829,3.1720752247110795e-08,1.971830521085849e-08
1830,5.3227864116323076e-08,3.5485243188304594e-08
1831,3.585977337294821e-08,6.236482441579483e-09
1832,3.788391467196561e-08,1.2176972319366541e-08
1833,6.139323005527331e-08,2.4325620628928846e-08
1834,2.333632664885954e-08,2.7070139907436896e-08
1835,8.092504089063368e-08,1.5126175867408165e-08
1836,5.578222433966218e-08,8.064899859050456e-09
1837,4.800944708449606e-08,1.3915782304252389e-08
1838,5.2390943361402265e-08,1.64116205070286e-08
1839,5.243606460147987e-08,6.502071603353698e-08
1840,3.0574503984137635e-08,2.4204816595485568e-08
1841,3.980739915476761e-08,7.576247273988201e-08
1842,7.714504501876718e-08,1.542900918138912e-08
1843,7.206431279493941e-08,3.9576303123567413e-08
1844,3.622450606144412e-08,1.3721403568922597e-08
1845,5.245414103072221e-08,1.5066614622583074e-08
1846,3.7468808500307205e-08,1.8734404694242812e-08
1847,3.343798660182529e-08,3.667391990092028e-08
1848,5.148941845112276e-08,4.344419846091796e-08
1849,6.116972728342773e-08,1.3407063903514427e-08
1850,1.6972489191857676e-08,5.566976923887523e-08
1851,4.192135261149588e-08,2.7087642351375507e-08
1852,4.427170807730363e-08,2.7344292163888895e-08
1853,4.717826063149744e-08,4.538668285647418e-08
1854,6.702407073788663e-08,7.845453531274416e-08
1855,7.058226003664458e-08,2.0697054736729115e-08
1856,1.2062850940353087e-07,3.986435714864456e-08
1857,6.83411300883563e-08,3.905207268672939e-08
1858,4.355371774344974e-08,6.019221632236338e-08
1859,6.517981887554924e-08,3.0043823429082295e-08
1860,4.76027130491552e-08,1.2358396750400402e-08
1861,8.488734426492783e-08,2.971057178058345e-08
1862,5.2408641426637814e-08,2.1234536018432948e-08
1863,4.395266284262789e-08,6.942522912112281e-08
1864,2.8768367688059016e-08,3.0686259089307555e-08
1865,4.7539127800977354e-08,4.1420231466915425e-08
1866,5.741423336758089e-08,3.941146431429843e-08
1867,5.774845668327089e-08,5.82337378318698e-08
1868,7.311013483501938e-08,1.0768925751136749e-07
1869,6.78809173315642e-08,3.320792929528693e-08
1870,4.759260452402714e-08,5.6193676822857697e-08
1871,3.611200227737754e-08,9.559059321873065e-09
1872,4.5959778094406545e-08,1.7537283514279522e-08
1873,3.890902922076833e-08,3.7711828326791874e-08
1874,6.691562060012757e-08,2.7483201825440062e-08
1875,8.639505710839046e-08,4.291145216939185e-08
1876,3.506688606158548e-08,3.748529131542e-08
1877,5.442638051356141e-08,2.535774612510977e-08
1878,8.273551527215872e-08,3.381889657205761e-08
1879,3.54340856656421e-08,1.9549840857280287e-08
1880,4.171599954361227e-08,1.4761046607247863e-08
1881,3.834879180875106e-08,1.1853262871230896e-08
1882,4.3260003357303844e-08,3.793569547383413e-08
1883,4.486730742492284e-08,5.245051237778853e-08
1884,9.572460513140868e-08,3.300848483434038e-08
1885,5.220965038077452e-08,6.896830351266203e-08
1886,5.227305832633533e-08,2.9685933489176364e-08
1887,3.395040937270721e-08,2.2198344107327017e-08
1888,4.56524276160053e-08,2.789870512387438e-08
1889,6.578393474399036e-08,3.4458252251567956e-08
1890,2.4251230357208442e-08,4.981333595610593e-08
1891,2.549687994068961e-08,5.609313546983685e-08
1892,3.886477561998447e-08,2.005923960268774e-08
1893,3.6334658393144537e-08,4.0645549148621285e-08
1894,4.7891699495039575e-08,3.024738925994086e-08
1895,7.643640276278063e-08,3.310238017029121e-08
1896,4.8355637716213096e-08,2.712633340173909e-08
1897,3.379493884736462e-08,5.768446564857754e-08
1898,3.5647635066027306e-08,1.640922964174507e-08
1899,4.0351322283527224e-08,3.703477524652499e-08
1900,3.218453115128028e-08,4.983411105996538e-08
1901,4.079779380994353e-08,3.800342462945139e-08
1902,2.553347622225033e-08,1.9150106222998176e-08
1903,3.1321277793594504e-08,3.67214987306852e-08
1904,2.956043942958786e-08,2.418581424024069e-08
1905,5.522012180847469e-08,4.902721251198727e-08
1906,3.96102199928805e-08,1.4918134283448126e-08
1907,5.502842537197239e-08,2.3142794958186386e-08
1908,4.9605030305599485e-08,2.1610112588277275e-08
1909,3.355600064480768e-08,3.1355606777694334e-08
1910,5.6647995627656655e-08,2.6186338875078263e-08
1911,3.245428181752885e-08,3.032613271614082e-08
1912,3.4903122170248935e-08,3.0735586076247046e-08
1913,4.45451151520615e-08,1.0712038900351217e-07
1914,4.218948390644073e-08,5.55829746673453e-08
1915,1.5314990053916233e-08,5.772573485884891e-08
1916,1.8678685265172135e-08,3.186363972673689e-08
1917,3.180263163926611e-08,1.0966424213165737e-08
1918,4.020231791912465e-08,1.4932289182922887e-08
1919,4.235610151503977e-08,2.6702760114183377e-08
1920,5.149117443536966e-08,4.543339082729858e-08
1921,5.906743028027961e-08,3.483463789644148e-08
1922,3.6889677090812256e-08,4.500540828900057e-08
1923,3.715581753382935e-08,2.9724653849427796e-08
1924,4.640984829773487e-08,5.543398617913198e-08
1925,4.289289479153524e-08,2.7495444365754906e-08
1926,4.346993875969929e-08,3.455302755028811e-08
1927,5.0171512722130274e-08,2.8987984013184587e-08
1928,3.085031063942978e-08,3.313552077166548e-08
1929,3.230717737778832e-08,1.8938690837799754e-08
1930,7.562594328547334e-08,4.411513465640837e-08
1931,3.763767875142321e-08,5.0183567523731654e-08
1932,4.822196164600001e-08,5.4797682835783235e-08
1933,3.900024991843054e-08,3.670611903316967e-08
1934,6.47005329312833e-08,4.912448048344231e-08
1935,4.308582113310422e-08,8.258116235282387e-08
1936,6.062357416070085e-08,5.2136272188363364e-08
1937,2.5182236296217297e-08,2.6441348222050465e-08
1938,4.6674770715071645e-08,4.926781604908115e-08
1939,6.576441879957429e-08,7.035263482890741e-08
1940,3.296517903095264e-08,9.88955315417428e-08
1941,6.198155411141215e-08,4.132103725851266e-08
1942,3.034211815133858e-08,7.888950426249153e-08
1943,3.4838823381733164e-08,6.09679391416762e-08
1944,4.177142187700156e-08,3.8558232162699824e-08
1945,4.35700817646989e-08,3.921307278886843e-08
1946,7.378185173934071e-08,1.6705325123211878e-08
1947,2.7418003423207438e-08,3.8146785952264395e-08
1948,4.566192846056083e-08,3.261566305923225e-08
1949,4.0249735766551e-08,2.552422173618396e-08
1950,3.6160229699433444e-08,5.2113269921605365e-08
1951,7.462981543859826e-08,4.47778885082073e-08
1952,3.479785237736621e-08,4.5342655852209646e-08
1953,3.986316254867006e-08,4.84822226809456e-08
1954,7.03622600184417e-08,5.668071079156789e-08
1955,4.411235776657918e-08,2.7218262754757916e-08
1956,5.1454737137746065e-08,4.098936479124404e-08
1957,4.594219671361088e-08,3.180613505904262e-08
1958,3.8052319517589694e-08,5.04606840756594e-08
1959,5.348016118844612e-08,3.1778066844623254e-08
1960,3.4604168197560625e-08,3.045166707682512e-08
1961,3.335116538494276e-08,2.153929301584867e-08
1962,3.9320128486508565e-08,4.312530355043975e-08
1963,4.267595066220764e-08,4.267595077322994e-08
1964,2.433587364958356e-08,3.893739886073888e-08
1965,3.228505507379964e-08,6.511731465153048e-08
1966,4.2096966801352664e-08,3.489616973162413e-08
1967,3.9935716511507735e-08,4.240088680163012e-08
1968,7.231179299793666e-08,2.3355362532839763e-08
1969,2.725054604191257e-08,3.042977725353779e-08
1970,4.000890863053996e-08,2.2073879835105004e-08
1971,4.624557869981061e-08,3.802414116904629e-08
1972,4.771036610229373e-08,1.282536721269878e-08
1973,4.520827223686297e-08,3.473318432867245e-08
1974,2.1377172254588572e-08,3.487854538519741e-08
1975,3.25554365687708e-08,3.940921189382607e-08
1976,2.456816594609279e-08,2.399681298115297e-08
1977,1.9393379790955123e-08,5.406639402849578e-08
1978,3.38613705963553e-08,1.841583374684319e-08
1979,2.984506419778654e-08,2.5163485517509798e-08
1980,3.354238775621354e-08,2.0466542349772965e-08
1981,3.858585184701724e-08,8.223214609248686e-09
1982,2.110550711975634e-08,1.6139505620849093e-08
1983,2.77873914988902e-08,1.4525227243211702e-08
1984,4.291266186839948e-08,1.797692661398287e-08
1985,3.849957153079231e-08,1.9851341570564784e-08
1986,3.596691411367203e-08,1.7983456057635294e-08
1987,3.91092271900817e-08,1.588812326147604e-08
1988,3.1182079085478875e-08,1.3192418657492766e-08
1989,3.677041826577465e-08,1.6464366314750123e-08
1990,2.6153524790295535e-08,2.179460389939436e-08
1991,6.09592376576984e-08,1.1136784217047335e-08
1992,3.967159711848467e-08,1.487684975209902e-08
1993,3.54509293032379e-08,1.4401939196773128e-08
1994,2.3209677513236215e-08,1.0022360497075056e-08
1995,3.470368570290816e-08,1.5725107438413488e-08
1996,4.4839973512011966e-08,6.4057104065540216e-09
1997,3.212579313682795e-08,2.97283464512077e-08
1998,4.4343601235397045e-08,1.7165265431273724e-08
1999,3.244842838867612e-08,2.8792266348887097e-08
2000,3.2251629811241855e-08,1.2370488189361595e-08
