year,cents_ADJ villes_NOUN
1800,4.4018303668735825e-08
1801,5.476719877606229e-08
1802,9.398928568771225e-08
1803,1.5212646076179226e-07
1804,1.2853624298259092e-07
1805,1.02343598484822e-07
1806,8.35684019762084e-08
1807,7.686778502602465e-08
1808,1.1783584596969376e-07
1809,1.5587310997489112e-07
1810,1.0764583180389309e-07
1811,1.3788921648938413e-07
1812,2.0270782385978237e-07
1813,2.2143210287595139e-07
1814,1.195737269199526e-07
1815,4.8550024445148665e-08
1816,4.4034472068688046e-08
1817,3.42512151974006e-08
1818,1.0252212234718172e-07
1819,1.656167967212241e-07
1820,3.678609061807947e-08
1821,1.2819934624985763e-07
1822,1.1028177482330648e-07
1823,5.0401702367253165e-08
1824,8.5053237341981e-08
1825,1.0214314016820936e-07
1826,9.600702810530493e-08
1827,9.309445658800541e-08
1828,8.438517085096464e-08
1829,1.0459275046059702e-07
1830,1.2419835115906608e-07
1831,8.731075240575592e-08
1832,1.1500473817704915e-07
1833,9.961920710566119e-08
1834,1.0548019702127931e-07
1835,1.1269001021219083e-07
1836,1.5457725055512128e-07
1837,1.092388899337493e-07
1838,1.230871617963203e-07
1839,1.1116445364223182e-07
1840,1.7771431259916426e-07
1841,6.613164771351876e-08
1842,8.385331540239349e-08
1843,1.3585895430878736e-07
1844,1.1306435965252604e-07
1845,1.0211817169647475e-07
1846,8.079211966105504e-08
1847,8.46736085691191e-08
1848,9.49336182998195e-08
1849,6.116972883773997e-08
1850,1.4256892200137372e-07
1851,9.803147094089582e-08
1852,9.440290682505292e-08
1853,1.3616003968763835e-07
1854,1.0079588719236199e-07
1855,7.482780972623004e-08
1856,1.1493359863834485e-07
1857,9.714202775512604e-08
1858,1.2283126693546365e-07
1859,8.656694916453489e-08
1860,7.82698421630812e-08
1861,7.121105483065548e-08
1862,1.2334102450495266e-07
1863,9.689564706150122e-08
1864,6.712619438076217e-08
1865,1.5626723381956253e-07
1866,7.493044051898323e-08
1867,7.813026314806848e-08
1868,6.076044911651479e-08
1869,6.495080384638641e-08
1870,6.250112960515253e-08
1871,1.1789506970671937e-07
1872,5.6844989160254045e-08
1873,4.4895035244962855e-08
1874,8.66318359271645e-08
1875,9.326089411842986e-08
1876,6.106474614853141e-08
1877,7.483627229021295e-08
1878,5.3747889694477635e-08
1879,8.858521738375202e-08
1880,8.599914025353428e-08
1881,7.878933416805012e-08
1882,7.786800892972678e-08
1883,6.698499532831192e-08
1884,6.007544328667791e-08
1885,7.928132106371777e-08
1886,2.9040586824180536e-08
1887,4.439668899181015e-08
1888,4.7554610915767626e-08
1889,3.947036120166558e-08
1890,6.423298515301212e-08
1891,4.84440718651058e-08
1892,3.949162774574688e-08
1893,3.1407925149551374e-08
1894,1.7014155417882648e-08
1895,4.8750777636996645e-08
1896,3.3023361822870356e-08
1897,3.4960280004270317e-08
1898,2.998928039232851e-08
1899,1.8241008703512307e-08
1900,3.218453059616877e-08
1901,3.409130755471779e-08
1902,2.455141867585553e-08
1903,2.754112315983548e-08
1904,2.8485512615361586e-08
1905,3.8705692873008957e-08
1906,2.0576738535282857e-08
1907,2.0057088434555226e-08
1908,1.9154416719402434e-08
1909,2.3654228797909127e-08
1910,2.1911017000775246e-08
1911,1.9685383989553884e-08
1912,2.2400511667797218e-08
1913,1.96210621083992e-08
1914,1.4732836284281348e-08
1915,1.1780762143587253e-08
1916,3.735737053034427e-08
1917,2.631941953268324e-08
1918,2.2972752589112133e-08
1919,2.3940405213807026e-08
1920,2.0445025228355007e-08
1921,1.5902768879527684e-08
1922,1.623145884366295e-08
1923,1.0615948120573648e-08
1924,2.0626599095407983e-08
1925,2.0896537833436923e-08
1926,1.4489979882625903e-08
1927,2.7873062080630007e-08
1928,2.5137291359556002e-08
1929,1.5596569369336066e-08
1930,1.05036033204442e-08
1931,1.0264820993199919e-08
1932,1.0959536389520963e-08
1933,2.408838994938378e-08
1934,2.6359476379411717e-08
1935,1.4361940969820353e-08
1936,1.576212937948185e-08
1937,2.5182236740306507e-08
1938,9.07565009811151e-08
1939,6.270560959364957e-08
1940,4.564409294971483e-08
1941,1.7709016475464523e-08
1942,2.1239483061208375e-08
1943,8.709705845433291e-09
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,9.744772988540262e-09
1947,3.2186353138285995e-08
1948,3.261566305923225e-08
1949,1.570721330779179e-08
