year,vous_PRON oyez_VERB,vous_PRON voyez_VERB
1800,0.0,1.5374964277725667e-05
1801,2.3811825844433088e-09,1.6656372281431686e-05
1802,2.4616241489638924e-08,1.1786703908001073e-05
1803,4.095712213825209e-08,1.778319347067736e-05
1804,1.9774807569206132e-08,1.906785837491043e-05
1805,2.842877711017877e-09,1.5974130292306654e-05
1806,0.0,1.3987621514388593e-05
1807,2.8469551160981155e-09,1.1322340469632763e-05
1808,4.5321479902327155e-09,9.34302306632162e-06
1809,2.259030518203531e-09,1.2630239780264674e-05
1810,7.020380277111826e-09,1.906267243612092e-05
1811,2.5070767684098882e-09,1.2018926099699456e-05
1812,2.400487453257938e-08,1.2759924175043125e-05
1813,2.8757416448144113e-09,1.3403831417235779e-05
1814,9.440030979135372e-09,1.157347833213862e-05
1815,5.394447111228828e-09,1.2752472684951499e-05
1816,0.0,1.5620650174241746e-05
1817,1.2454987263765815e-08,1.6977704035525676e-05
1818,5.960588467246453e-09,1.5999412426026538e-05
1819,5.072014630513877e-08,1.4866177934891311e-05
1820,2.7292905713238724e-08,1.6773271454439964e-05
1821,2.8598316381689415e-08,2.319619306945242e-05
1822,1.303330066093622e-08,1.900856750580715e-05
1823,5.929612356680991e-09,1.765146680554608e-05
1824,2.762124893251894e-07,1.4785789517191006e-05
1825,2.6592438184813716e-07,1.617031557543669e-05
1826,1.2331177856594877e-07,1.3230473086878192e-05
1827,3.133872894522938e-08,1.2778827112924773e-05
1828,1.1006761724274838e-08,1.5519533462793333e-05
1829,1.714635211591542e-09,1.3843107353750383e-05
1830,1.2524203008013046e-08,1.548826458019903e-05
1831,3.1182412207897414e-09,1.5486744814552367e-05
1832,6.764984683549358e-09,1.698958203633083e-05
1833,5.791814361444381e-09,1.5417809663631488e-05
1834,8.401078055442213e-09,1.403913483954966e-05
1835,1.27816186079599e-07,1.5791727491887286e-05
1836,1.3038254476072098e-07,1.802841188691673e-05
1837,1.87863058442872e-08,1.4658188774774317e-05
1838,7.006499913586595e-08,1.3786392628389876e-05
1839,3.2510360847837205e-07,1.2788107142114313e-05
1840,5.8601136720959346e-08,1.4308231584436726e-05
1841,4.558589550285319e-08,1.4033392744750017e-05
1842,4.628703065279183e-08,1.4918510714778677e-05
1843,2.3627644063495268e-08,1.4349658613355132e-05
1844,1.0977122322231025e-08,1.3467282769852318e-05
1845,2.7901139176833567e-09,1.2442234492482385e-05
1846,7.610851504580296e-09,1.4068951713852584e-05
1847,8.629157832729106e-09,1.092559250537306e-05
1848,1.528592186161859e-08,1.337920366495382e-05
1849,1.4245005397484078e-08,1.2521359622041928e-05
1850,3.8018377779280854e-08,1.2560321465571178e-05
1851,1.1608989325395669e-08,1.232810245710425e-05
1852,3.5156945799030836e-08,1.2403240361891221e-05
1853,3.822036354073077e-08,1.1900865956704365e-05
1854,3.4291385730966795e-08,1.4068300970393466e-05
1855,3.767925349507095e-08,1.279874004467274e-05
1856,2.3815069916111042e-08,1.2256995432835538e-05
1857,2.0990488514005534e-08,1.2382436125335516e-05
1858,2.0553438950798864e-08,1.4414811630558688e-05
1859,3.208069276894321e-08,1.2457493085094029e-05
1860,1.0069804629031509e-08,1.3628565284307115e-05
1861,2.735258886055192e-08,1.3770613804808818e-05
1862,7.90647618487128e-08,1.4446261502598645e-05
1863,2.996772430208239e-08,1.4290609215095174e-05
1864,1.1507347075223606e-08,1.5010854895081138e-05
1865,2.2122168541471865e-08,1.465146488044411e-05
1866,4.6709885126450246e-08,1.403437363478588e-05
1867,3.008743121313273e-08,1.4204179478838341e-05
1868,9.385760946223343e-09,1.2652005807467503e-05
1869,3.4672985371742016e-08,1.3542975011660019e-05
1870,1.0321287824410774e-08,1.2769153272529365e-05
1871,2.8677177965619194e-08,1.1992371128144441e-05
1872,1.693255002876981e-08,1.3589581158157671e-05
1873,4.788803575905831e-09,1.3326043244887842e-05
1874,1.0754296786430473e-08,1.2169083674962167e-05
1875,8.582291044501034e-09,1.4710046343680006e-05
1876,2.1765653279715025e-08,1.3967503491585376e-05
1877,9.27722432209066e-09,1.4210851986717898e-05
1878,6.6429977074733415e-09,1.1570290098461555e-05
1879,3.115755986549118e-08,1.3488779131876072e-05
1880,1.6686400705623328e-08,1.2443561899999622e-05
1881,2.1614773082490046e-08,1.4084464964980725e-05
1882,1.3310770263785798e-08,1.299397354159737e-05
1883,2.2117686349076848e-08,1.1692673069774173e-05
1884,2.2445768799173038e-08,1.117139163397951e-05
1885,1.933690674249533e-08,1.024598259391496e-05
1886,1.613365974151293e-08,9.824753760767635e-06
1887,1.6322312390570914e-08,1.0502428267500363e-05
1888,1.3315291091942072e-08,9.796883659873856e-06
1889,1.1903759755682586e-08,1.031742704071803e-05
1890,3.277193239004106e-09,1.0974009455821943e-05
1891,8.92390783491237e-09,1.0284166819474194e-05
1892,1.191017329205124e-08,1.017630302158068e-05
1893,1.3548516086814288e-08,9.293666607845807e-06
1894,6.9316932194141145e-09,8.993557003122987e-06
1895,2.166701218442313e-08,9.871129805105738e-06
1896,1.4742572718162705e-08,9.258924819732783e-06
1897,1.2236098578810584e-08,9.267970654036617e-06
1898,1.1882544947994234e-08,9.118439265876077e-06
1899,4.4220627160029835e-09,9.401305305800634e-06
1900,4.15284251431558e-09,9.074479748960584e-06
1901,2.794369402536745e-09,8.929687282943632e-06
1902,6.874397606715377e-09,6.8935473791498225e-06
1903,5.400220270956879e-09,8.36278104543453e-06
1904,1.0211787859759625e-08,8.259723927039886e-06
1905,4.644683193610888e-09,9.315685929323081e-06
1906,5.144184633820714e-09,8.173080459528137e-06
1907,3.599990305858114e-09,9.070432497537695e-06
1908,8.349361646509124e-09,9.383209089719458e-06
1909,1.3752458727367411e-08,9.122281426243717e-06
1910,5.878565856320961e-09,9.250724815501599e-06
1911,1.3832972878269345e-08,8.297123486045166e-06
1912,3.6465949149189214e-09,9.277458502765512e-06
1913,1.590896969716482e-09,8.569100828026421e-06
1914,2.678697486047099e-09,8.259094101958908e-06
1915,5.890381071793627e-09,7.440728950314224e-06
1916,2.0876177231343718e-08,8.077982329268707e-06
1917,2.1932848870420685e-09,8.386024774154066e-06
1918,0.0,7.366213139903266e-06
1919,3.6831393490643904e-09,7.741038416497759e-06
1920,4.543339038320937e-09,8.261305083578918e-06
1921,6.8154727417280014e-09,8.291401400128962e-06
1922,7.377935595798135e-09,8.70448820933234e-06
1923,1.5923921736771263e-08,8.454540875391103e-06
1924,6.445812328337297e-09,8.798533599474467e-06
1925,2.0896537833436923e-08,8.936019639804726e-06
1926,6.687683296036084e-09,8.871211775840493e-06
1927,7.804457524684949e-09,1.0200426004303154e-05
1928,7.998228745975666e-09,8.017653044589679e-06
1929,1.0026365515614089e-08,9.134019364864798e-06
1930,5.2518016602221e-09,8.14344389254984e-06
1931,4.5621426636444085e-09,7.260650136231561e-06
1932,1.0959536389520963e-08,6.8694373567268485e-06
1933,3.4411986593596566e-09,6.784896868339274e-06
1934,7.188948103475923e-09,7.22129811947525e-06
1935,2.393656828303392e-09,6.935620831427514e-06
1936,4.849885826274658e-09,6.056294978407095e-06
1937,0.0,6.242676363399369e-06
1938,1.8151300351654243e-08,5.9419578519737115e-06
1939,1.5294050470515685e-09,6.357736765494337e-06
1940,0.0,4.561873538477812e-06
1941,2.9515025978810172e-09,6.770746949769091e-06
1942,0.0,6.987789674894884e-06
1943,2.9032351855917682e-08,6.7645380568137625e-06
1944,1.2852744646352221e-08,7.130059884730144e-06
1945,4.357008087652048e-09,7.136779458960518e-06
1946,6.960552134671616e-09,8.117395964291063e-06
1947,4.7683483828109274e-09,9.220793799613602e-06
1948,6.523132700664291e-09,7.562485052403645e-06
1949,1.9634016634739737e-09,6.431122073990991e-06
1950,6.381216888229346e-09,7.93717049418774e-06
1951,1.0661401539380222e-08,8.706100743438583e-06
1952,2.6362009464264702e-08,6.8235426624596585e-06
1953,5.386913581872932e-09,6.359790177157265e-06
1954,2.9317608341017376e-09,7.290311941687833e-06
1955,1.3139850985055546e-08,6.499533583337325e-06
1956,3.488456634670456e-09,7.562974133179523e-06
1957,2.6505113659425206e-09,6.536160753967124e-06
1958,8.272243334772611e-09,7.90081980994728e-06
1959,4.650448914844674e-09,7.284927733053337e-06
1960,1.1765417085030094e-08,7.405291626128019e-06
1961,1.59807664878997e-08,7.689527819820796e-06
1962,6.341956293454132e-09,7.996572776391986e-06
1963,1.3578711932638043e-08,7.682317800572491e-06
1964,1.2167936880302932e-08,8.592996891820803e-06
1965,1.2585699593614663e-08,7.093409749359125e-06
1966,1.9940668227746983e-08,7.810649321982055e-06
1967,2.267954357648705e-08,7.961505616549402e-06
1968,1.5719955892556925e-08,7.586899755551713e-06
1969,1.4987801166821413e-08,7.3985233939311e-06
1970,1.0577067582895339e-08,6.861757583465078e-06
1971,1.695671192347703e-08,7.415735353788477e-06
1972,6.156176013405457e-09,6.822069281042786e-06
1973,2.7566018911961976e-09,6.148876082079369e-06
1974,4.5004573956397564e-09,5.1817141866195016e-06
1975,3.4268881066168433e-09,4.619445007847389e-06
1976,5.142174241967723e-09,4.854212420468684e-06
1977,1.5279633558407113e-08,4.809558049601037e-06
1978,3.5643548113029055e-09,5.616829184873495e-06
1979,5.266775904289034e-09,6.550113766934373e-06
1980,1.1370301367108482e-09,5.7459817526250845e-06
1981,7.590659656386833e-09,5.907430704610306e-06
1982,7.449002747961231e-09,5.230441502135363e-06
1983,8.209910751233451e-09,5.1229844757472165e-06
1984,1.0438215292118969e-08,5.419173476184369e-06
1985,7.82022557821449e-09,4.76191576126439e-06
1986,4.196139768986029e-09,6.0700160702253925e-06
1987,7.944061963804927e-09,5.161195986147504e-06
1988,4.197587721854745e-09,4.932765250487137e-06
1989,2.744061089465788e-09,5.5106233958213124e-06
1990,4.358920835390023e-09,4.982246537110768e-06
1991,7.0337582425139544e-09,5.237219056652975e-06
1992,1.2672871418928366e-08,4.9732755087461555e-06
1993,5.539207592608619e-09,5.460550710267853e-06
1994,5.802419378309054e-09,5.570322400672012e-06
1995,2.1689803286761844e-09,5.4343802275980124e-06
1996,7.473329066698398e-09,4.993251423002221e-06
1997,2.876936688878118e-09,4.6711863888049265e-06
1998,5.2449422582867555e-09,4.9216630486625945e-06
1999,1.416762351880152e-08,4.930790055368561e-06
2000,7.51065365456327e-09,4.6769282562308945e-06
2001,5.257454194218525e-09,5.015173201172729e-06
2002,1.1391175447350577e-08,5.11069492858951e-06
2003,7.500461363108002e-09,5.353662572815665e-06
2004,1.497629043001325e-08,5.279142442304874e-06
2005,7.656374201303606e-09,5.476108981383732e-06
2006,1.3589036895744755e-08,5.9252317896607565e-06
2007,3.1955834922658966e-09,6.674375754300854e-06
2008,4.683183701947868e-09,6.7821013089996995e-06
2009,4.291373478793048e-09,7.381162049568957e-06
2010,2.8342759250676863e-09,8.833020274323644e-06
2011,1.529588788962144e-09,1.0510951597098028e-05
2012,3.404252713057332e-09,1.364901072520297e-05
2013,1.6734749697100426e-09,1.434614341633278e-05
2014,1.0827225921383743e-09,1.4786959127377486e-05
2015,2.659890446787827e-09,1.585760173838935e-05
2016,3.314144070287739e-09,1.5772011465742253e-05
2017,1.509366853724714e-09,1.3060802302788943e-05
2018,1.2907333535316923e-09,1.454320909033413e-05
2019,4.3366790158927415e-09,1.4647516763943713e-05
