year,vos_DET oies_NOUN,vos_DET voix_NOUN
1800,0.0,7.231578269539796e-08
1801,0.0,1.0000967165524344e-07
1802,2.2378401354217203e-09,5.594600338554301e-08
1803,3.900678446910888e-09,5.265915881125238e-08
1804,0.0,6.179627320967995e-08
1805,0.0,9.665784261869703e-08
1806,2.305335300434308e-08,5.763338162267928e-08
1807,2.8469551160981155e-09,1.224190668835945e-07
1808,1.1330369531492579e-08,1.586251778817882e-07
1809,0.0,7.906606613872214e-08
1810,1.6380887757350138e-08,1.801897551167997e-07
1811,1.504245972228091e-08,1.42903374467096e-07
1812,1.0668832928217853e-08,1.0135391459442644e-07
1813,0.0,7.476928232108548e-08
1814,1.2586708564299443e-08,1.3216043903696573e-07
1815,0.0,8.091670622434322e-08
1816,0.0,4.4034472068688046e-08
1817,6.227493631882908e-09,2.693390968033782e-07
1818,0.0,7.033494342501001e-08
1819,4.140420006848444e-09,1.0351050205859025e-07
1820,3.5599443393152796e-09,1.4595772235281856e-07
1821,5.9168927535324656e-09,1.9328516653871475e-07
1822,4.010246357211145e-09,1.223125138949399e-07
1823,9.882686891060644e-10,8.795591277532822e-08
1824,1.6842225392110777e-09,9.515857257724747e-08
1825,5.283265824829186e-09,1.0654585880232048e-07
1826,9.688783109140786e-09,7.662946444053631e-08
1827,6.452091305675367e-09,8.01902728109205e-08
1828,0.0,1.4217066751642804e-07
1829,0.0,7.715858751922156e-08
1830,3.1310507520032616e-09,1.6385831713705556e-07
1831,0.0,1.1537492183855136e-07
1832,0.0,1.1094574703385263e-07
1833,2.3167257001688313e-09,1.9808004658727896e-07
1834,6.534171426153534e-09,1.1854854142789861e-07
1835,1.285724948729694e-08,1.3386665642656226e-07
1836,2.016224964762614e-09,1.1962935131393237e-07
1837,6.957891152126194e-09,8.488626779268316e-08
1838,1.8936485712828244e-09,1.1551256640096597e-07
1839,9.788065469251706e-09,1.2514740621583087e-07
1840,0.0,9.554533164646273e-08
1841,1.2841097074556274e-09,1.0016055984607419e-07
1842,3.3541325272778977e-09,1.093447217215271e-07
1843,5.906911071384968e-10,1.1754752904380439e-07
1844,2.195424508855126e-09,1.3117662162054344e-07
1845,3.348136878855712e-09,1.0490828722398149e-07
1846,5.854501328173001e-10,1.2528632975516985e-07
1847,3.235934187273415e-09,9.653870325365688e-08
1848,6.43617736884039e-09,7.401603774326304e-08
1849,4.1897072478036534e-09,7.373885324568619e-08
1850,0.0,1.2084412670532174e-07
1851,1.9993260380601896e-08,8.384270544503636e-08
1852,3.2552727180501506e-09,8.007970908607831e-08
1853,6.569124799682413e-09,8.539862150769295e-08
1854,1.558699391779328e-09,1.5535036901326293e-07
1855,3.714855978387277e-09,1.5973881417608027e-07
1856,5.694908100650764e-09,1.3564236223118087e-07
1857,2.4407544874094356e-09,1.1617991724222065e-07
1858,1.9574704079872163e-09,1.1646948916421707e-07
1859,4.073738679721828e-09,9.929738009617495e-08
1860,2.288591982591015e-09,1.679826492073655e-07
1861,4.715963730639317e-10,1.730758709683755e-07
