year,vos_DET airs_NOUN
1800,2.2009151834367913e-08
1801,3.5717737434382e-08
1802,3.3567602031325805e-08
1803,5.265915836716317e-08
1804,1.359518080334965e-07
1805,4.548604315424143e-08
1806,1.0374009207225754e-07
1807,1.7081730252499483e-08
1808,4.75875534533543e-08
1809,1.3554183553310395e-08
1810,1.0530570193623134e-07
1811,8.774768467390004e-08
1812,6.134578844907423e-08
1813,6.039057609541487e-08
1814,9.125363398254649e-08
1815,1.8880564667256294e-08
1816,3.0128852301913867e-08
1817,7.472992091805963e-08
1818,5.0068943213688044e-08
1819,5.175524897538253e-08
1820,7.950542535439808e-08
1821,6.015507691969901e-08
1822,2.5064039732569654e-08
1823,5.731958552246397e-08
1824,3.8737119290033206e-08
1825,5.459374818883589e-08
1826,2.8185549894033102e-08
1827,2.0278000945062047e-08
1828,5.3199348259980184e-08
1829,3.0006116702452346e-08
1830,6.575206312753323e-08
1831,3.2741533706470705e-08
1832,4.058990832334075e-08
1833,4.749287596528262e-08
1834,2.893704542650255e-08
1835,5.218530674255817e-08
1836,2.822714967321005e-08
1837,1.8090516529234435e-08
1838,3.787297009338886e-08
1839,2.6567605448946097e-08
1840,3.375935120342177e-08
1841,3.5955072252846776e-08
1842,6.439934541191406e-08
1843,3.7804230856863796e-08
1844,3.56756482688958e-08
1845,5.6918324276011845e-08
1846,4.9763260845381296e-08
1847,3.020205241455187e-08
1848,5.5512030749937935e-08
1849,3.854530761238095e-08
1850,5.159636806695289e-08
1851,2.4507867735223954e-08
1852,4.5573818718835923e-08
1853,4.060913649794884e-08
1854,6.33871053423718e-08
1855,8.278822249963014e-08
1856,3.572260576234498e-08
1857,5.272029879321849e-08
1858,5.1872966366772744e-08
1859,4.786642771037464e-08
1860,6.087654602637826e-08
1861,4.810282866474225e-08
1862,3.885468324860142e-08
1863,5.044567208400963e-08
1864,6.856460954551835e-08
1865,4.7068444919418084e-08
1866,5.1575495207956124e-08
1867,5.386620571812273e-08
1868,5.236266353847441e-08
1869,7.325278961189952e-08
1870,2.8670243512607385e-08
1871,2.549082545044712e-08
1872,3.9307707089264454e-08
1873,2.9930021461233025e-08
1874,3.5847653734322193e-08
1875,3.37570102426632e-08
1876,5.6832537564943664e-08
1877,6.865146029433333e-08
1878,3.442280499532657e-08
1879,6.048231937505477e-08
1880,3.3372801855335865e-08
1881,1.8128519629900808e-08
1882,5.923292589748996e-08
1883,4.613117443597048e-08
1884,3.4328825115892414e-08
1885,1.4180398411056672e-08
1886,2.5813855941692054e-08
1887,2.7421483972389638e-08
1888,3.4873380627686856e-08
1889,2.7566601445982997e-08
1890,1.8352282582512203e-08
1891,4.971891465199718e-08
1892,3.635737289009455e-08
1893,2.2170299485146927e-08
1894,2.6466465019581165e-08
1895,2.407445731655855e-08
1896,3.715128332748563e-08
1897,3.43776108691074e-08
1898,1.697506502029711e-08
1899,2.65323762960179e-08
1900,3.426095018799202e-08
1901,3.409130766574009e-08
1902,2.1114220427609354e-08
1903,1.4580595175672784e-08
1904,2.0961038238453966e-08
1905,1.3934049136743454e-08
1906,3.806696413644062e-08
1907,3.394276593127188e-08
1908,2.7503778587956162e-08
1909,3.13556076103616e-08
1910,5.076943265791556e-08
1911,3.724261787851901e-08
1912,3.2298411722919695e-08
1913,3.606033122105501e-08
1914,3.616241528447972e-08
1915,2.1205371236732162e-08
1916,2.8567401111345703e-08
1917,2.8512703309502285e-08
1918,6.087779347296873e-08
1919,3.314825391953491e-08
1920,2.8017257847068322e-08
1921,3.634918815942356e-08
1922,5.976127831486266e-08
1923,4.352538862661959e-08
1924,5.0277336072213075e-08
1925,4.2892892793133797e-08
1926,3.78968714187522e-08
1927,5.9090890403012963e-08
1928,3.313552077166548e-08
1929,6.461435875237953e-08
1930,3.7812974085227324e-08
1931,2.8513392535955973e-08
1932,2.6302887090601246e-08
1933,3.211785326584504e-08
