year,nouveaux_ADJ airs_NOUN,nouveaux_ADJ verres_NOUN
1800,3.144164395507687e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,1.3652374342143503e-08,9.751696339321825e-09
1804,1.2359254952798437e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,4.3225035994964855e-08,2.881669125542885e-08
1807,2.8469550272802735e-08,1.7081731584767113e-08
1808,7.478044494746428e-08,0.0
1809,9.036122072814123e-09,0.0
1810,4.212228077449254e-08,7.020380277111826e-09
1811,1.2535384286138651e-08,4.763445815569867e-08
1812,1.600324850414836e-08,5.3344166417446104e-08
1813,7.476928232108548e-08,1.1502966579257645e-08
1814,1.5733386149463513e-08,0.0
1815,2.6972236000233352e-08,5.394447111228828e-09
1816,2.0858434979231788e-08,2.3176038865813098e-09
1817,1.8682481339737933e-08,0.0
1818,3.814776761146277e-08,0.0
1819,5.900098543065724e-08,0.0
1820,2.7292905713238724e-08,1.1866481131050932e-09
1821,2.5639868894700157e-08,1.1833785951154141e-08
1822,3.5089655625597516e-08,4.010246357211145e-09
1823,2.3718449426723964e-08,9.882686891060644e-10
1824,2.7789671008804362e-08,1.0947446504872005e-08
1825,2.0252519661312363e-08,9.68598756756478e-09
1826,2.554315514657901e-08,2.642395191543301e-09
1827,1.8434546333878643e-08,1.8434546111834038e-09
1828,2.4765213879618386e-08,1.8344602503717056e-09
1829,2.6576845613135447e-08,9.430493719264632e-09
1830,5.427154770032416e-08,5.218417920005436e-09
1831,1.870944643656003e-08,3.1182412207897414e-09
1832,4.058990921151917e-09,1.7588959622116818e-08
1833,4.170106393530659e-08,1.1583628500844156e-09
1834,2.240287511057204e-08,7.467624518753269e-09
1835,2.117664621437143e-08,1.3613558280667348e-08
1836,1.747394939854985e-08,3.36037508930076e-09
1837,6.262101948095733e-09,5.566312522020667e-09
1838,1.2624323808552163e-08,6.312161904276081e-09
1839,1.3982949909063791e-08,1.3982949909063791e-08
1840,2.993753511759678e-08,2.547875410652267e-09
1841,1.9903700021473014e-08,1.92616451677452e-08
