year,vos_DET airs_NOUN,vos_DET verres_NOUN
1800,2.2009151834367913e-08,2.2009151834367913e-08
1801,3.5717737434382e-08,1.666827853519237e-08
1802,3.3567602031325805e-08,8.951360541686881e-09
1803,5.265915836716317e-08,0.0
1804,1.359518080334965e-07,1.730295728918918e-08
1805,4.548604315424143e-08,0.0
1806,1.0374009207225754e-07,2.881669125542885e-09
1807,1.7081730252499483e-08,0.0
1808,4.75875534533543e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,1.0530570193623134e-07,4.212228077449254e-08
1811,8.774768467390004e-08,2.5070767684098882e-09
1812,6.134578844907423e-08,5.3344164641089264e-09
1813,6.039057609541487e-08,5.751483289628823e-09
1814,9.125363398254649e-08,1.8880061958270744e-08
1815,1.8880564667256294e-08,0.0
1816,3.0128852301913867e-08,2.3176038865813098e-09
1817,7.472992091805963e-08,1.556873407970727e-09
1818,5.0068943213688044e-08,1.1921177378582115e-09
1819,5.175524897538253e-08,3.3123360054787554e-08
1820,7.950542535439808e-08,2.3732962262101864e-09
1821,6.015507691969901e-08,3.94459531705138e-09
1822,2.5064039732569654e-08,1.0025615893027862e-08
1823,5.731958552246397e-08,1.581229902569703e-08
1824,3.8737119290033206e-08,2.5263338088166165e-09
1825,5.459374818883589e-08,1.4088708866211164e-08
1826,2.8185549894033102e-08,6.1655889282974385e-09
1827,2.0278000945062047e-08,1.7512819638909605e-08
1828,5.3199348259980184e-08,3.66892045633449e-08
1829,3.0006116702452346e-08,1.800366966620004e-08
1830,6.575206312753323e-08,5.635891398014792e-08
1831,3.2741533706470705e-08,9.354723218280014e-09
1832,4.058990832334075e-08,1.352996958914332e-08
1833,4.749287596528262e-08,5.791814139399776e-09
1834,2.893704542650255e-08,3.733812370398937e-09
1835,5.218530674255817e-08,2.949604294144592e-08
1836,2.822714967321005e-08,1.7473949731616756e-08
1837,1.8090516529234435e-08,8.349469449164815e-09
1838,3.787297009338886e-08,1.0730675015224733e-08
1839,2.6567605448946097e-08,1.11863602825224e-08
1840,3.375935120342177e-08,5.732719632334238e-09
1841,3.5955072252846776e-08,1.4125206782011901e-08
1842,6.439934541191406e-08,5.366612043644636e-09
1843,3.7804230856863796e-08,1.2995204023980023e-08
1844,3.56756482688958e-08,9.879410178825765e-09
1845,5.6918324276011845e-08,1.3392547515422848e-08
1846,4.9763260845381296e-08,2.751615646445771e-08
1847,3.020205241455187e-08,2.3190860787281053e-08
1848,5.5512030749937935e-08,8.849743549088629e-09
1849,3.854530761238095e-08,1.75967720394965e-08
1850,5.159636806695289e-08,1.4935791270431764e-08
1851,2.4507867735223954e-08,9.674158363282004e-09
1852,4.5573818718835923e-08,1.6276363368206148e-08
1853,4.060913649794884e-08,1.4332636411040767e-08
1854,6.33871053423718e-08,1.4028294081924741e-08
1855,8.278822249963014e-08,2.653468555990912e-08
1856,3.572260576234498e-08,1.1389816201301528e-08
1857,5.272029879321849e-08,2.0990489346672803e-08
