year,dix_DET oies_NOUN,dix_DET voies_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,3.1329761895904085e-08,2.2378401354217203e-09
1803,1.950339267864365e-08,0.0
1804,0.0,1.2359254952798437e-08
1805,2.842877755426798e-08,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,0.0,0.0
1809,1.581321384946932e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,0.0,1.600324850414836e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-08
1817,0.0,0.0
1818,1.668964877410417e-08,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,9.86148829262845e-10
1822,6.015369535816717e-09,1.0025615893027862e-09
1823,1.9765373782121287e-09,1.3835761869529506e-08
1824,0.0,0.0
1825,1.7610886082763955e-09,4.4027217427355936e-09
1826,8.807984341885344e-10,2.642395191543301e-09
1827,9.217273055917019e-10,0.0
1828,1.8344602503717056e-09,3.668920500743411e-09
1829,0.0,2.571952872898464e-09
1830,4.174734336004349e-09,0.0
1831,3.1182412207897414e-09,1.0913843828674885e-08
1832,0.0,1.3529969367098715e-09
1833,1.1583628500844156e-09,0.0
1834,0.0,9.334530925997342e-10
1835,5.294161553592858e-09,0.0
1836,1.3441500135158435e-09,4.704525213838906e-09
1837,2.7831562610103333e-09,4.87052354003481e-09
1838,6.312161904276081e-10,0.0
1839,7.690622361167243e-09,2.7965900706306e-09
1840,5.095750932326837e-09,4.4587821212971335e-09
1841,0.0,3.2102742686390684e-09
1842,0.0,6.708265054555795e-10
1843,5.906911071384968e-10,1.9492807368237663e-08
1844,6.586273748609983e-09,6.037417232818143e-09
1845,1.0602433153650281e-08,6.696273757711424e-09
1846,1.1709002656346001e-09,1.6392604607062822e-08
1847,0.0,9.168480197274675e-09
1848,2.413566457803995e-09,3.218088684420195e-09
1849,0.0,8.379414495607307e-09
1850,0.0,0.0
1851,0.0,6.449438760824933e-09
1852,0.0,6.510545436100301e-10
1853,0.0,9.555090940693844e-09
1854,1.558699391779328e-09,9.352196350675968e-09
1855,0.0,8.491099379170919e-09
1856,0.0,5.694908100650764e-09
1857,4.881509085841174e-10,1.3180074809326925e-08
1858,0.0,2.4468380099840203e-09
1859,1.5276520048956854e-09,4.582956014687056e-09
1860,9.154367819341758e-10,4.119465657481669e-09
1861,0.0,6.602349167383892e-09
1862,0.0,1.8071945051545413e-09
1863,2.9967726078439227e-09,2.9967726078439227e-09
1864,4.794727948009836e-10,9.589455896019672e-10
1865,1.4120533631256649e-09,4.706844247692743e-09
1866,0.0,3.6978658357611494e-08
1867,9.7056229719783e-10,2.4749338578544666e-08
1868,3.951899252285784e-09,9.87974813071446e-10
1869,3.906815315701806e-09,1.611561317726995e-08
1870,0.0,6.880858549607183e-09
1871,4.248470908407853e-09,5.310588635509816e-09
1872,6.047339295989218e-10,4.8378714367913744e-09
1873,4.788803575905831e-09,1.1972008939764578e-09
1874,0.0,2.9873046258899194e-09
1875,0.0,4.577221712764867e-09
1876,1.209202959984168e-09,7.255217759905008e-09
1877,1.2369631985365004e-09,3.092407996341251e-09
1878,4.831270938865373e-09,1.2078177347163432e-09
1879,0.0,4.276527687530063e-09
1880,6.417846254436199e-10,4.492492600149944e-09
1881,6.972507571312292e-10,1.1853262871230896e-08
1882,0.0,2.6621540527571597e-09
1883,3.791603475633565e-09,1.895801682305631e-09
1884,1.3203393933736152e-09,7.2618666635548834e-09
1885,6.445635691854079e-10,6.445635691854079e-10
1886,2.5813855497602844e-09,4.5174246565693466e-09
1887,0.0,7.834709436771448e-09
1888,0.0,2.53624587998047e-09
1889,0.0,5.6386229019267375e-09
1890,1.3108772956016423e-09,5.243509182406569e-09
1891,0.0,6.3742202627281586e-09
1892,0.0,6.8953633913793055e-09
