year,grands_ADJ yeux_NOUN,grands_ADJ vieux_NOUN
1800,1.2953958048456116e-06,0.0
1801,1.37156121127191e-06,0.0
1802,1.2688553852058249e-06,0.0
1803,1.4978604667703621e-06,0.0
1804,1.1568262152650277e-06,0.0
1805,1.0888221595450887e-06,0.0
1806,9.307791515311692e-07,0.0
1807,8.654743623992545e-07,0.0
1808,8.86034911218303e-07,0.0
1809,7.183717229963804e-07,0.0
1810,1.1162404689457617e-06,0.0
1811,9.777598961591139e-07,0.0
1812,1.24558619063464e-06,0.0
1813,9.83503696261323e-07,0.0
1814,7.048556653899141e-07,0.0
1815,5.556280484597664e-07,0.0
1816,7.369980608018523e-07,0.0
1817,1.138074480877549e-06,1.556873407970727e-09
1818,9.393887694386649e-07,0.0
1819,7.514862545576761e-07,0.0
1820,1.0406904493720504e-06,0.0
1821,1.025594769998861e-06,0.0
1822,1.0075743830384454e-06,1.0025615893027862e-09
1823,1.0317525038772146e-06,0.0
1824,8.303217100547045e-07,0.0
1825,9.782846746020368e-07,0.0
1826,9.23076754588692e-07,0.0
1827,6.82999939272122e-07,0.0
1828,9.465815082876361e-07,9.172301251858528e-10
1829,1.357991095574107e-06,0.0
1830,1.4976859574744594e-06,0.0
1831,1.7633653897064505e-06,0.0
1832,2.0673792278103065e-06,0.0
1833,2.002809424084262e-06,0.0
1834,1.4356508017954184e-06,0.0
1835,1.9943863662774675e-06,0.0
1836,1.5955060916894581e-06,6.720750067579218e-10
1837,1.7485180023868452e-06,0.0
1838,1.3842570751876337e-06,0.0
1839,1.3102024922773126e-06,0.0
1840,1.3936878531239927e-06,0.0
1841,1.3406105381363886e-06,0.0
1842,1.6220584484472056e-06,0.0
1843,1.664567548687046e-06,1.7720733769266417e-09
1844,1.8145183275919408e-06,0.0
1845,1.7421472193746013e-06,1.1160455892778032e-09
1846,1.5731045550637646e-06,5.854501328173001e-10
1847,1.050599962582055e-06,2.1572894581822766e-09
1848,1.3451610811898718e-06,8.045221711050488e-10
1849,1.2543983984869556e-06,0.0
1850,1.3876707498639007e-06,0.0
1851,1.2989169135835255e-06,0.0
1852,1.4498984910460422e-06,6.510545436100301e-10
1853,1.8292026879862533e-06,0.0
1854,1.3991924561196356e-06,0.0
1855,1.6976891856756993e-06,6.368324534378189e-09
1856,1.6753384670664673e-06,0.0
1857,1.9540680114005227e-06,0.0
1858,2.129238509951392e-06,4.893676019968041e-10
