year,certaines_DET oies_NOUN,certaines_DET voies_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,1.6668277424969347e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,3.900678446910888e-09
1804,0.0,0.0
1805,0.0,5.685755510853596e-08
1806,0.0,2.305335300434308e-08
1807,0.0,5.693910232196231e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,1.129515236897305e-08
1810,0.0,4.212228077449254e-08
1811,0.0,2.2563691359778204e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,4.888760685162197e-08
1814,0.0,9.440030979135372e-09
1815,0.0,1.3486118000116676e-08
1816,0.0,5.7940097164532745e-08
1817,0.0,2.490997452753163e-08
1818,0.0,7.152706427149269e-09
1819,0.0,1.1386155129855524e-08
1820,0.0,7.119888678630559e-09
1821,0.0,2.3667571014129862e-08
1822,0.0,1.804610860745015e-08
1823,0.0,9.882686669016039e-09
1824,0.0,2.189489300974401e-08
1825,0.0,3.0819052199149155e-08
1826,0.0,1.8496766784892316e-08
1827,0.0,1.935627302884768e-08
1828,0.0,1.4675682002973645e-08
1829,0.0,3.086343269842473e-08
1830,7.305785310052215e-09,1.3567886369969528e-08
1831,0.0,3.4300654760954785e-08
1832,0.0,8.117981842303834e-09
1833,0.0,3.70676112027013e-08
1834,0.0,3.173740381612333e-08
1835,0.0,3.7059130875150004e-08
1836,0.0,1.9490174807401672e-08
1837,0.0,1.3219993100221927e-08
1838,0.0,2.9035945203759184e-08
1839,0.0,2.7965899818127582e-08
1840,0.0,4.522479102320176e-08
1841,0.0,4.173356416004026e-08
1842,0.0,2.5491406319133603e-08
1843,0.0,2.3036953678001737e-08
1844,4.390849017710252e-09,2.6345094994439933e-08
1845,8.928364714222425e-09,7.97972584121176e-08
1846,0.0,4.390875929516369e-08
1847,0.0,3.55952778363644e-08
1848,0.0,3.378993085334514e-08
1849,0.0,4.1897074254393374e-08
1850,0.0,2.4440385715251978e-08
1851,0.0,2.644269869733762e-08
1852,0.0,3.6459056218518526e-08
1853,0.0,6.389966911157785e-08
1854,0.0,9.45610949543152e-08
1855,5.306937111981824e-10,4.776243400783642e-08
1856,2.0708756931497874e-09,4.6076984006049315e-08
1857,0.0,3.856392183365642e-08
