year,elles_PRON allaient_VERB,elles_PRON valaient_VERB
1800,1.7921737516246594e-07,1.8864986461863964e-08
1801,1.9049460497910786e-07,9.524730337773235e-09
1802,1.1189200677108602e-07,1.1189200677108602e-08
1803,1.0141763961968309e-07,4.4857802805609026e-08
1804,2.990939620417521e-07,7.4155526164076946e-09
1805,8.244345273134002e-08,2.842877711017877e-09
1806,1.7001847574249496e-07,2.881669125542885e-09
1807,3.046241943138739e-07,1.9928686700865228e-08
1808,1.4049658503267892e-07,1.5862518409903714e-08
1809,1.5587310997489112e-07,1.129515236897305e-08
1810,2.29332422385653e-07,1.4040760554223652e-08
1811,1.328750656170996e-07,0.0
1812,2.0804224298842655e-07,0.0
1813,1.8979894389481444e-07,2.0130190847567064e-08
1814,1.2272040716965193e-07,1.8880061958270744e-08
1815,2.6702513444831766e-07,8.091670444798638e-09
1816,1.8309070526356663e-07,2.3176038865813098e-09
1817,3.378415271981794e-07,1.8682481339737933e-08
1818,2.479604841454375e-07,2.026600220972341e-08
1819,2.504954110804647e-07,4.864993385922389e-08
1820,2.610625884358342e-07,1.6613073583471305e-08
1821,3.3035986390927974e-07,6.903041693817613e-09
1822,3.278376397020111e-07,4.6117833107928163e-08
1823,4.002488243060043e-07,1.5812298692630122e-08
1824,2.8800204887602376e-07,5.052667617633233e-09
1825,3.3636791130220445e-07,1.3208164340028361e-08
1826,2.994714574100499e-07,2.3781557056956615e-08
1827,3.262914631818603e-07,3.502563927781921e-08
1828,3.0635484904451005e-07,1.3758452155343548e-08
1829,3.112062998411602e-07,1.7146351893870815e-08
1830,3.799008183591468e-07,2.8179456768029354e-08
1831,2.88437309592382e-07,2.182768810143898e-08
1832,3.7883912540337406e-07,2.0294953273491956e-08
1833,3.787846551972507e-07,4.0542699197843035e-08
1834,4.0978591897555816e-07,1.8669062740173104e-08
1835,3.509272872292968e-07,2.8739734148075513e-08
1836,4.7314081541571795e-07,1.2097349788575684e-08
1837,4.091240022319198e-07,2.852735292435682e-08
1838,3.7620485926481706e-07,2.9035945203759184e-08
1839,3.467771598764102e-07,9.788065025162496e-09
1840,4.235842929745104e-07,1.3376346585936005e-08
1841,3.5890867167154283e-07,4.365973005349133e-08
1842,4.541495499665871e-07,2.3478928579123703e-08
1843,3.957630383411015e-07,3.5441466650354414e-08
1844,3.770641665568064e-07,1.0977122322231025e-08
1845,5.384920100937052e-07,3.794555070157912e-08
1846,3.9108067539928015e-07,1.1123552967617911e-08
1847,4.3253653103647594e-07,2.588747438636574e-08
1848,4.955856667265834e-07,1.689496542667257e-08
1849,4.516504574780811e-07,3.184177610471295e-08
1850,4.0733976547357997e-07,1.2899092460827433e-08
1851,4.882225113078675e-07,4.9660680900842635e-08
1852,3.6654371626809734e-07,4.557381916292513e-08
1853,4.287847161776881e-07,3.344281940265148e-08
1854,3.7668566221782385e-07,3.065441944727354e-08
1855,4.648877052204625e-07,3.661786607267459e-08
1856,3.763816707191836e-07,9.318940286107136e-09
1857,4.5446849838981507e-07,3.3194262005764585e-08
1858,4.257498176230001e-07,4.600055403258807e-08
1859,5.255122985659e-07,2.2914779407301467e-08
1860,4.3940965355204753e-07,3.204028686809579e-08
1861,4.871590562061101e-07,2.4994607716877226e-08
1862,3.6053529939295004e-07,2.5300723405230485e-08
1863,3.895804354669963e-07,2.8968800691586694e-08
1864,4.415944303559627e-07,3.787835112234461e-08
1865,4.852756489981402e-07,4.142022902442477e-08
1866,4.534751170126583e-07,2.189525827311911e-08
1867,5.236183611145862e-07,2.620518202434141e-08
1868,4.3372094893356916e-07,3.5073105308924823e-08
1869,4.6393432739932905e-07,2.5394298885927924e-08
1870,4.042504357926191e-07,2.9243647947652107e-08
1871,5.799162821062964e-07,2.1242353653860846e-08
1872,5.224901258316095e-07,2.5398825931333135e-08
1873,3.7352669224333113e-07,2.993002246043375e-08
1874,4.1941757089603016e-07,2.0911132825318646e-08
1875,4.5428924977386487e-07,2.0597497707441903e-08
1876,4.105244109098294e-07,2.5997863195570403e-08
1877,3.5686388599742713e-07,1.60805213589299e-08
1878,3.810664850334433e-07,2.8987625411147633e-08
1879,3.494534084325096e-07,2.627009798583657e-08
1880,4.4860744452535073e-07,3.7223507387551535e-08
1881,4.148642034351724e-07,2.99817823901094e-08
1882,3.6804279091029457e-07,4.2594464844114555e-08
1883,3.5830650446655454e-07,3.4756364897248204e-08
1884,3.3404587185259516e-07,3.895001210452165e-08
1885,4.054304696410327e-07,2.9649923849461857e-08
1886,3.3428942458613164e-07,2.452316305578961e-08
1887,3.786776190395358e-07,2.2851236236576256e-08
1888,3.8994780027223896e-07,3.7409627395845746e-08
1889,3.5022114275307104e-07,2.8193116063945922e-08
1890,3.637684500290561e-07,6.030035493154173e-08
1891,3.614182766398244e-07,4.525696439827698e-08
1892,2.952469344563724e-07,1.9432388143059143e-08
1893,4.230832146845387e-07,3.6334658393144537e-08
1894,4.4425853218399425e-07,2.079508032437616e-08
1895,4.893133720429432e-07,4.393588604045817e-08
1896,4.3991835241286026e-07,3.538217452359049e-08
1897,3.6300424000046405e-07,2.855089631381702e-08
1898,3.9325567513515125e-07,5.262270086348053e-08
1899,4.3170386732072075e-07,3.6482017407024614e-08
1900,3.296318666912157e-07,2.8550791064674286e-08
1901,3.8729961460148843e-07,3.856229913168363e-08
1902,2.5189756769350424e-07,2.6515531992288288e-08
1903,4.0663660172413074e-07,2.8081145408975772e-08
1904,3.5418780441887066e-07,3.547252536151291e-08
1905,3.168706186329473e-07,3.044847929345451e-08
1906,4.197654490667446e-07,4.0639059228908536e-08
1907,3.4457049835623366e-07,4.1657032268105354e-08
1908,4.1010098073002155e-07,3.1432889624483096e-08
1909,3.8286847114932243e-07,5.280944392893616e-08
1910,4.569248872599019e-07,4.435645006850564e-08
1911,3.6284951221432493e-07,2.7665945090404875e-08
1912,4.0060448469603216e-07,4.7926676849385785e-08
1913,3.998454332077017e-07,2.8105844762649212e-08
1914,3.9912591631718897e-07,2.9465673012651905e-08
1915,3.852309191643144e-07,3.29861327141856e-08
1916,3.7357369819801534e-07,5.054232499190903e-08
1917,5.044555280164786e-07,2.9609346086090227e-08
1918,5.501974129629161e-07,2.6418665477478953e-08
1919,4.778873403665784e-07,5.4326305232166305e-08
1920,4.641778161840193e-07,6.587841738792122e-08
1921,4.2407384626130806e-07,2.726189118895661e-08
1922,5.076019675698262e-07,3.615188298722316e-08
1923,3.9491327186169656e-07,3.1847844361720945e-08
1924,4.254236216638674e-07,3.3518223752082577e-08
1925,3.783373188070982e-07,3.739380538547721e-08
1926,3.990317622992734e-07,2.2292277579438746e-08
1927,4.950255885205479e-07,3.0102907722096006e-08
1928,3.313552099371009e-07,3.7705937039334e-08
1929,3.7208956626955114e-07,4.344758330887544e-08
1930,3.3086352146938225e-07,2.6259008301110498e-08
1931,3.307553413378628e-07,2.167017854048936e-08
1932,3.7919996742630246e-07,3.50705162688314e-08
1933,3.062666777964296e-07,1.8353059516584835e-08
1934,3.798161074541895e-07,1.9170528275935794e-08
1935,3.2434050467600173e-07,2.99207103537924e-08
1936,3.297922290812494e-07,2.5461901032031165e-08
1937,3.2736905808405936e-07,1.7627565185307503e-08
1938,4.0192163908159273e-07,3.8895642262559704e-08
1939,4.190569882212003e-07,1.988226561167039e-08
1940,3.752958690483865e-07,1.2678914806940611e-08
1941,3.512288202500713e-07,1.1806010835613279e-08
1942,2.9128432998959397e-07,1.2136847082899749e-08
1943,4.964532251960918e-07,3.193558750780312e-08
1944,3.213186161588055e-07,2.2492303131116387e-08
1945,3.8777371003106964e-07,3.267756110147957e-08
1946,4.037120362454516e-07,2.3665877257883494e-08
1947,3.898124703027861e-07,2.1457568388782988e-08
1948,3.5768511708056394e-07,3.696441819300844e-08
1949,3.543939968153609e-07,2.5524221847206263e-08
1950,3.4990338093621176e-07,2.7651939404904624e-08
1951,4.381836049560661e-07,2.3455084097179224e-08
1952,3.954301490693979e-07,3.1634410646574906e-08
1953,3.37220789958792e-07,3.770839640537815e-08
1954,3.635383549749349e-07,2.5408594339637602e-08
1955,3.388204419252361e-07,1.783265579646809e-08
1956,3.252985791846186e-07,2.2674967237179544e-08
1957,3.3749843453279027e-07,3.799066305987253e-08
1958,2.9780076715724135e-07,1.7371711180658167e-08
1959,2.999539390202699e-07,1.4726420527466644e-08
1960,3.841062437004439e-07,2.353083372597098e-08
1961,3.203101428539412e-07,1.806521421343632e-08
1962,3.697360497767477e-07,1.9025869768540815e-08
1963,3.7309126810214366e-07,1.7458344103715717e-08
1964,3.4496100909109373e-07,1.6426714655182195e-08
1965,3.3817227773624836e-07,2.6265808195091722e-08
1966,3.124038130408735e-07,1.9940668671836193e-08
1967,3.258951792872722e-07,2.4158643974203642e-08
1968,3.961428660659294e-07,2.919420261093819e-08
1969,3.2700655339112927e-07,2.8613074576355757e-08
1970,3.200712512807513e-07,1.7015282072208038e-08
1971,3.2063600485798815e-07,2.1581269216142118e-08
1972,2.801060148271972e-07,1.9494557967902892e-08
1973,3.0212356705305865e-07,1.4334330167287135e-08
1974,2.6665210128840044e-07,1.6876715247526874e-08
1975,2.7986252604250694e-07,1.8847884142303428e-08
1976,2.782487555919033e-07,1.428381724011274e-08
1977,2.938390863960194e-07,1.7042667277422652e-08
1978,3.172275881979658e-07,1.5445537071556714e-08
1979,3.0722860344667424e-07,2.1067104061245345e-08
1980,3.337183329676918e-07,2.1035056807505725e-08
1981,3.0615659341037826e-07,1.7711538680131866e-08
1982,3.34584377981173e-07,1.738100596782033e-08
1983,2.9871445406115527e-07,8.841442022955448e-09
1984,3.375022856744181e-07,9.278413592994639e-09
1985,3.067934599698674e-07,1.2632672241608134e-08
1986,3.2250331827299306e-07,1.0790074167488228e-08
1987,3.195957134494165e-07,1.2221633483022742e-08
1988,2.962297500630484e-07,1.4991384578166844e-08
1989,3.1776227871205265e-07,8.780995264245917e-09
1990,3.2256013327014443e-07,1.0897301727652575e-08
1991,3.212082972936514e-07,1.64121027879105e-08
1992,3.410655367019899e-07,1.928480442003888e-08
1993,3.4564654072255507e-07,2.1048988330107932e-08
1994,3.1807807232553387e-07,1.2132331139724783e-08
1995,3.313117318270997e-07,1.5182862078688686e-08
1996,3.1975172731790735e-07,1.7081894343462523e-08
1997,3.2797078830526516e-07,1.2946214766884623e-08
1998,3.180342247333101e-07,1.382757464085671e-08
1999,3.240272619109419e-07,1.3253583563965776e-08
2000,3.017515410874694e-07,1.502130686503733e-08
2001,3.1676161427185434e-07,6.5718176456286415e-09
2002,3.4874523890948694e-07,1.8401129953105055e-08
2003,3.416876808159941e-07,1.2500769308587678e-08
2004,3.545857083508963e-07,1.5416769638676442e-08
2005,3.4588798314416636e-07,1.8014998381943315e-08
2006,3.512560056151415e-07,2.0177660875475567e-08
2007,3.6150039761650987e-07,1.0785094262111272e-08
2008,4.0488252750492393e-07,1.9584222910040694e-08
2009,4.644219586680265e-07,9.059565986291318e-09
2010,5.385124097756488e-07,1.6060896168568206e-08
2011,5.793317541247234e-07,1.7972668242549616e-08
2012,7.387228606603458e-07,2.8936147700164838e-08
2013,7.279616340838402e-07,2.928581377403816e-08
2014,7.916867446056131e-07,3.334785603215096e-08
2015,7.565171671330972e-07,2.992376879618064e-08
2016,7.94151759464512e-07,2.982729796485728e-08
2017,7.584568351148846e-07,2.38983082212485e-08
2018,8.4129999322613e-07,2.8654279837780905e-08
2019,7.913164097317349e-07,2.7040470751416024e-08
