year,seules_ADJ voix_NOUN
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,0.0
1803,1.950339223455444e-09
1804,2.7190360185613827e-08
1805,1.421438877713399e-08
1806,1.729001475325731e-08
1807,5.124519120158766e-08
1808,9.064295980465431e-09
1809,1.129515236897305e-08
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.4613449884091096e-08
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,9.536941902865692e-09
1819,1.5526575580793178e-08
1820,5.933240565525466e-09
1821,2.1695274909916407e-08
1822,0.0
1823,1.9765373782121287e-09
1824,8.421112696055388e-10
1825,7.044354433105582e-09
1826,8.80798456392995e-09
1827,1.013900075008678e-08
1828,0.0
1829,1.5431716349212365e-08
1830,3.1310507520032616e-09
1831,1.7150327380477393e-08
1832,4.058990921151917e-09
1833,1.1583628500844156e-09
1834,4.667265685043276e-09
1835,1.0588323107185715e-08
1836,1.344150035720304e-08
1837,2.1569462660409044e-08
1838,7.574594285131298e-09
1839,8.38977065598101e-09
1840,3.821813088222825e-09
1841,5.1364388298225094e-09
1842,5.366612043644636e-09
1843,1.7720733325177207e-08
1844,1.3172547497219966e-08
1845,1.1718478631905782e-08
1846,1.4636253098387897e-08
1847,2.1033571329098777e-08
1848,6.43617736884039e-09
1849,1.6758828991214614e-08
1850,8.146795238417326e-09
1851,3.8696632564949596e-09
1852,1.6276363368206148e-08
1853,1.1943863675867306e-08
1854,9.352196350675968e-09
1855,1.6451505047143655e-08
1856,7.248064815001953e-09
1857,8.298565390418844e-09
1858,1.2234189661342043e-08
1859,1.4258085379026397e-08
1860,8.238931314963338e-09
1861,1.131831339762357e-08
1862,1.1746764450037972e-08
1863,1.39849385405455e-08
1864,6.712618905169165e-09
1865,1.553258677233771e-08
1866,1.0217787504984699e-08
1867,3.396968040192405e-09
1868,4.939874287401835e-09
1869,4.883519366671862e-09
1870,4.587239033071455e-09
1871,9.559059321873065e-09
1872,1.814201766592305e-08
1873,1.7958012854535355e-09
1874,1.7923827755339516e-08
1875,2.2886108563824337e-09
1876,6.04601479992084e-09
1877,1.0514186854493346e-08
1878,7.850815109122777e-09
1879,1.832797580370027e-09
