year,elles_PRON ont_VERB,elles_PRON vont_VERB
1800,3.5922079860029044e-05,2.2449334267093946e-06
1801,3.348418977111578e-05,1.8192234563230159e-06
1802,3.624853479777812e-05,1.929018139890104e-06
1803,4.522446761257015e-05,2.2253370275393536e-06
1804,3.614834758991492e-05,1.60670310833666e-06
1805,3.153604302497115e-05,1.7938558727337295e-06
1806,2.9309456749615492e-05,1.4004912429754768e-06
1807,3.12766496790573e-05,1.3124462725500052e-06
1808,3.302576214991859e-05,1.574921469682522e-06
1809,3.3237116440432146e-05,1.5338816723442505e-06
1810,2.8856102289864793e-05,1.471939754082996e-06
1811,2.6687831450544763e-05,1.0178731884025183e-06
1812,3.217986704839859e-05,1.2082452940376243e-06
1813,2.9252043532324024e-05,1.176178301420805e-06
1814,2.8637907689699205e-05,1.4443247806639192e-06
1815,3.079420139329159e-05,1.4753813104562141e-06
1816,3.5118651339871576e-05,1.796142967691594e-06
1817,3.3622237424424384e-05,1.4650179309683153e-06
1818,2.7049150958191603e-05,1.5056447182359989e-06
1819,2.6123979296244215e-05,1.1106677106909046e-06
1820,2.531120480853133e-05,9.730514847205995e-07
1821,2.58025838775211e-05,1.3529961790936795e-06
1822,2.6147808512178017e-05,1.439678385395382e-06
1823,2.277662861160934e-05,1.0109988579642959e-06
1824,2.3707959371677134e-05,1.1941138211568614e-06
1825,2.6690177492127987e-05,1.541833100304757e-06
1826,2.5509683382551884e-05,1.1106867958687872e-06
1827,2.6504268134885933e-05,1.0157434786606245e-06
1828,2.7897554446099093e-05,1.1905646744025944e-06
1829,2.687090591280139e-05,9.439067127914313e-07
1830,2.8505085538199637e-05,1.4611569554290327e-06
1831,2.8821903015341377e-05,1.2597694336591303e-06
1832,2.5958599962905282e-05,1.10404548081533e-06
1833,2.9173367693147156e-05,1.3784518131387813e-06
1834,2.7511664029589156e-05,1.402979947329186e-06
1835,2.5632061806390993e-05,1.225976518526295e-06
1836,2.582649904070422e-05,1.2265369377928437e-06
1837,2.667237913556164e-05,1.2558993489619752e-06
1838,2.403292546659941e-05,1.1197775080518113e-06
1839,2.7798804239864694e-05,1.4486336112895515e-06
1840,2.485006734787021e-05,1.2656571897196045e-06
1841,2.7811890049633803e-05,1.3361161990133041e-06
1842,2.587243625384872e-05,1.1826671197923133e-06
1843,2.7627213057712652e-05,1.1353083522180896e-06
1844,2.5965834993257886e-05,1.1032008302436225e-06
1845,2.6467579573363764e-05,1.3303263557418177e-06
1846,2.8050087166775484e-05,1.0672756047824805e-06
1847,2.582976594567299e-05,1.102374938000139e-06
1848,2.9273343898239546e-05,1.1351807671644565e-06
1849,2.952319300675299e-05,1.119489809298102e-06
1850,2.697946956686792e-05,1.1765330327762058e-06
1851,2.7190833861823194e-05,1.0351349146731081e-06
1852,2.8054591439286014e-05,1.1797107930533457e-06
1853,2.8016122996632475e-05,1.2977007344261438e-06
1854,2.7170207886229036e-05,1.2937204019181081e-06
1855,2.7777570721809752e-05,1.2274945220269728e-06
1856,2.7533328193385387e-05,1.230100139082424e-06
1857,2.7248095193499466e-05,1.3873248292384233e-06
1858,2.5562116206856444e-05,1.1323966049303635e-06
1859,2.7230396426602965e-05,1.1986975607669592e-06
1860,2.849525799319963e-05,1.2953430541529087e-06
1861,2.7610081360762706e-05,1.2733101470985275e-06
1862,2.7489687454362866e-05,1.3169930070944247e-06
1863,2.717123652473674e-05,1.2012063592692357e-06
1864,2.873768153222045e-05,1.157926803330156e-06
1865,2.747996859397972e-05,1.1903609475893973e-06
1866,2.6833367883227766e-05,1.2699250078185287e-06
1867,2.8948960789421108e-05,1.4116828310761775e-06
1868,2.916353514592629e-05,1.2665836806036168e-06
1869,2.8253600248717703e-05,1.2394372106427909e-06
1870,2.9200643439253327e-05,1.268944998855659e-06
1871,2.9363305657170713e-05,1.169391623534466e-06
1872,2.92781933239894e-05,1.2705459795370189e-06
1873,2.99497755804623e-05,1.2139616671902331e-06
1874,2.9462590646289755e-05,1.2522780252766097e-06
1875,2.9352006094995886e-05,1.1666193699966243e-06
1876,2.999186153829214e-05,1.2255272565653286e-06
1877,2.906059398810612e-05,1.3600409829450655e-06
1878,2.8314871997281443e-05,1.239824911181131e-06
1879,2.9147590794309508e-05,1.299453543879281e-06
1880,2.857353501894977e-05,1.2437785699148662e-06
1881,2.9862553219572874e-05,1.2822441419757524e-06
1882,2.8440456844691653e-05,1.2691819506471802e-06
1883,2.9120145427441457e-05,1.313790534140935e-06
1884,2.8626939183595823e-05,1.2998740999137226e-06
1885,2.882037142626359e-05,1.2672119567014306e-06
1886,2.8497205676103476e-05,1.1887280777500564e-06
1887,2.9799317871948006e-05,1.157578310539975e-06
1888,2.88250694211456e-05,1.2491010465964791e-06
1889,3.0520613108819816e-05,1.319437842539628e-06
1890,2.9878170153097017e-05,1.2014190247100487e-06
1891,2.9997080218890915e-05,1.2786684919774416e-06
1892,2.9883252864237875e-05,1.2850450445966999e-06
1893,3.0864752261550166e-05,1.4115090891664295e-06
1894,3.0738278837816324e-05,1.3334056916392e-06
1895,2.9372644348768517e-05,1.2783536931237904e-06
1896,2.98985273730068e-05,1.2814244030323607e-06
1897,3.046380697924178e-05,1.396663208197424e-06
1898,3.0611699457949726e-05,1.2861440552569547e-06
1899,2.9833445751137333e-05,1.4001356305470836e-06
1900,3.0750241421628743e-05,1.3948359480764339e-06
1901,3.085431080762646e-05,1.4519543185542716e-06
1902,2.7631149350781925e-05,1.1666834609513899e-06
1903,3.0244473691709572e-05,1.3046931996996136e-06
1904,3.0452088140009437e-05,1.2399260640449938e-06
1905,2.9041656034678454e-05,1.3252829091925378e-06
1906,2.9297674245754024e-05,1.2901614638849423e-06
1907,2.963769247799064e-05,1.3253107624677796e-06
1908,3.061023289774312e-05,1.322637103839952e-06
1909,2.939560636150418e-05,1.3922989126058383e-06
1910,2.9144326163077494e-05,1.464297270103998e-06
1911,2.9072652978356928e-05,1.3763807373834425e-06
1912,2.8964903776795836e-05,1.4341536882511718e-06
1913,2.9152656225051032e-05,1.4848370710751624e-06
1914,3.0074405913183e-05,1.390913610066491e-06
1915,3.42584553436609e-05,1.334760327154072e-06
1916,3.5165372537449e-05,1.4074938974317774e-06
1917,3.42481444022269e-05,1.6065812360466225e-06
1918,3.255468800489325e-05,1.4449861112098006e-06
1919,2.9745954634563532e-05,1.4622062849412032e-06
1920,2.8745706913468894e-05,1.3577011657162075e-06
1921,2.7515577130543534e-05,1.3434053869332274e-06
1922,2.7397226403991226e-05,1.236541976368244e-06
1923,2.6845609227166278e-05,1.3556565932049125e-06
1924,2.588122470115195e-05,1.1202821781353123e-06
1925,2.5847917640930973e-05,1.3736724042701098e-06
1926,2.56115972661064e-05,1.302983577033956e-06
1927,2.4912942535593174e-05,1.317838410841432e-06
1928,2.6126785087399185e-05,1.2979982955130254e-06
1929,2.6015077764895977e-05,1.2833748144203128e-06
1930,2.5821008421189617e-05,1.1333387988088361e-06
1931,2.5988246761698974e-05,1.1987030177351699e-06
1932,2.5120353711827192e-05,1.170478498124794e-06
1933,2.4741072138567688e-05,1.1436250133556314e-06
1934,2.5444083803449757e-05,1.1729966900020372e-06
1935,2.4661846055096248e-05,1.0867201751807443e-06
1936,2.456467154843267e-05,1.016051072610935e-06
