year,belles_ADJ allées_NOUN,belles_ADJ vallées_NOUN
1800,3.458580977167003e-08,2.1694735607979965e-07
1801,8.572257570449437e-08,7.381665767525192e-08
1802,6.937304419807333e-08,7.832440473976021e-08
1803,5.655983770225248e-08,3.101039283137652e-07
1804,1.7550141251376772e-07,2.2741028260497842e-07
1805,5.685755510853596e-08,3.01345039588341e-07
1806,1.123850950079941e-07,6.916005901302924e-08
1807,3.9857372513552036e-08,4.27043254092041e-08
1808,1.1330369531492579e-08,1.744876954035135e-07
1809,2.9367397402779716e-08,1.219876537561504e-07
1810,6.084329839950442e-08,1.1232608443378922e-07
1811,7.52123057168319e-08,2.933279859007598e-07
1812,4.800974906515876e-08,8.801787032552966e-08
1813,9.777521370324394e-08,1.6966875193702435e-07
1814,4.72001566720337e-08,1.2901375612273114e-07
1815,4.8550024445148665e-08,1.2676950689183286e-07
1816,2.0858434979231788e-08,1.3905622608945123e-07
1817,4.3592454090912724e-08,2.9580593974287694e-08
1818,7.510341504257667e-08,9.536941547594324e-08
1819,6.314140676977331e-08,5.589566853814176e-08
1820,5.102586797534059e-08,1.96983592104516e-07
1821,3.8459806006585495e-08,9.960103142248045e-08
1822,3.909990198280866e-08,8.822541985864518e-08
1823,9.487379770689586e-08,2.2730179694008257e-07
1824,2.5263338088166165e-08,1.2800092008546926e-07
1825,7.220463515977826e-08,1.2063456722444243e-07
1826,9.688783109140786e-09,1.3916614705067332e-07
1827,2.027800150017356e-08,1.4747637067102914e-07
1828,1.559291185060374e-08,2.4398320874752244e-07
1829,2.2290258527846163e-08,1.6546229630876041e-07
1830,5.844628248041772e-08,9.914994336668315e-08
1831,1.5591206548037917e-08,1.7618063452573551e-07
1832,2.705993829010822e-08,1.677716170433996e-07
1833,4.40177885252524e-08,1.934465956310305e-07
1834,3.360431222176885e-08,1.9135788420499011e-07
1835,4.310960122211327e-08,1.7470733837399166e-07
1836,3.091545153210973e-08,1.5659347241125943e-07
1837,3.965997663613052e-08,1.2385045522478322e-07
1838,3.976661844262708e-08,1.5464796376818413e-07
1839,2.027527834513876e-08,1.4192694663961447e-07
1840,2.8663599493938818e-08,1.3885920679967967e-07
1841,2.1829865914924085e-08,1.2520069958554814e-07
1842,4.293289634915709e-08,1.6032753080708062e-07
1843,4.1939067330076796e-08,1.2936135362906498e-07
1844,4.50062032086862e-08,1.1306435965252604e-07
1845,3.1807299905040054e-08,1.6684882098161324e-07
1846,3.5127008857216424e-08,1.6978053452021413e-07
1847,2.3190860787281053e-08,1.407631344818583e-07
1848,1.528592186161859e-08,1.5285921506347222e-07
1849,3.1841775438579134e-08,9.049767868418712e-08
1850,1.968808760466345e-08,1.289909192792038e-07
1851,2.902247508984601e-08,1.257640604990229e-07
1852,1.5625309046640723e-08,1.23049304079359e-07
1853,3.4040009921909586e-08,1.594505789626055e-07
1854,4.000661490977109e-08,9.663936140213991e-08
1855,2.9718847827098216e-08,1.1569122904120377e-07
1856,4.659470320689252e-08,9.888431407034659e-08
1857,5.0767695825015835e-08,1.1569176194825559e-07
1858,3.0830157982109085e-08,1.389803969686909e-07
1859,4.277425702525761e-08,1.3697946599222632e-07
1860,3.3413442679375294e-08,1.5699740174568433e-07
1861,3.7256114637784776e-08,1.2685941896961594e-07
1862,6.144461650592348e-08,1.1927484422358248e-07
1863,4.195481650981492e-08,9.939295608774046e-08
1864,3.3563097190381086e-08,1.227450354690518e-07
1865,4.047886292823932e-08,1.1014015655064213e-07
1866,2.8220554781910323e-08,8.320198219280428e-08
1867,3.591080499631971e-08,1.067618526917613e-07
1868,2.1735445443482604e-08,1.0077343404191197e-07
1869,2.197583626184496e-08,8.888004998652832e-08
1870,3.1537268796455464e-08,9.575861525945584e-08
1871,1.3807530230280918e-08,6.372706451429622e-08
1872,3.62840353318461e-08,8.163907949665372e-08
1873,1.6760813181804224e-08,7.18320549708551e-08
1874,1.3741600746186577e-08,8.722929578652838e-08
1875,1.8881038954532414e-08,6.865832347102696e-08
1876,2.478866001354163e-08,1.7352061831843457e-07
1877,2.535774612510977e-08,8.287653230354408e-08
1878,3.140326043649111e-08,9.058633310132791e-08
1879,1.5273313280772527e-08,7.758843167948726e-08
1880,2.759673911612026e-08,7.829772386003242e-08
1881,1.4642266066289267e-08,1.0946836681569039e-07
1882,7.320923423037584e-09,9.983077831066112e-08
1883,4.423537092179686e-09,6.888079440159345e-08
