year,ses_DET oies_NOUN,ses_DET voix_NOUN
1800,1.8864987794131594e-08,2.2009151834367913e-08
1801,5.714838380299625e-08,1.5953922627431893e-07
1802,4.475680270843441e-09,1.096541666356643e-07
1803,0.0,3.1205427575287104e-08
1804,7.4155526164076946e-09,3.460591457837836e-08
1805,5.685755422035754e-09,4.5486043376286034e-08
1806,1.729001475325731e-08,4.034336598124355e-08
1807,2.562259604488304e-08,5.4092147649953404e-08
1808,6.798221985349073e-09,4.758755522971114e-08
1809,5.421673421324158e-08,5.1957702140725814e-08
1810,4.680253518074551e-09,5.616304266098382e-08
1811,2.757784400841956e-08,8.273353557797236e-08
1812,1.0668832928217853e-08,4.800974906515876e-08
1813,0.0,2.0130190847567064e-08
1814,9.440030979135372e-09,2.5173416684509675e-08
1815,1.0788894222457657e-08,2.966945977789237e-08
1816,2.3176038865813098e-09,1.622322720606917e-08
1817,1.556873407970727e-09,3.051471795245675e-07
1818,3.5763532135746345e-09,1.740491946122802e-07
1819,0.0,2.5877625375869684e-07
1820,1.6613073583471305e-08,7.357218123615894e-08
1821,9.861488403650753e-09,5.3252038223483567e-08
1822,2.0051231786055723e-09,3.308453244699194e-08
1823,3.261286707356703e-08,3.854247765389118e-08
1824,1.9368560089105813e-08,2.7789671008804362e-08
1825,7.044354433105582e-09,2.403886005808431e-07
1826,3.5231937367541377e-09,1.5325893087947406e-07
1827,2.8573547083965423e-08,8.737974652173186e-07
1828,1.3758452155343548e-08,6.420610532131832e-08
1829,8.57317605795771e-10,5.22963748972316e-08
1830,7.305785310052215e-09,6.78394300734908e-08
1831,1.091384405071949e-08,1.1693404644574912e-07
1832,1.7588959622116818e-08,1.1500473662273691e-07
1833,8.108539617524002e-09,1.8533804890807914e-07
1834,6.534171426153534e-09,1.2508271440836438e-07
1835,2.0420337421001022e-08,1.7243840488845308e-07
1836,1.68018754465038e-08,9.543465251393712e-08
1837,9.74104708006962e-09,3.854671550840294e-07
1838,8.2058102535143e-09,3.503249761394045e-07
1839,7.690622583211848e-09,2.0065534489521752e-07
1840,8.280594876453051e-09,1.6561190196995312e-07
1841,2.5682194149112547e-09,4.494384082676106e-07
1842,4.695785538189057e-09,3.0321358002183274e-07
1843,7.088293507706567e-09,2.0260705069219398e-07
1844,1.0977122322231025e-08,2.239332995146448e-07
