year,leurs_DET allées_NOUN,leurs_DET vallées_NOUN
1800,8.174827925699901e-08,6.917161954334006e-08
1801,7.143547975374531e-09,1.4287095706499997e-07
1802,3.1329761895904085e-08,1.208433673127729e-07
1803,7.411289004721766e-08,2.1063663768750018e-07
1804,2.4718509905596875e-08,1.5078290260817084e-07
1805,2.842877711017877e-09,8.812921237222326e-08
1806,8.645007376628655e-09,7.204172902675055e-08
1807,1.1387820464392462e-08,1.8789903322158352e-07
1808,4.5321479902327155e-09,5.6651849433819734e-08
1809,9.93973401364201e-08,1.7168631583075467e-07
1810,1.1700633351097167e-08,1.3806747434230715e-07
1811,5.766276700569506e-08,2.456935170869201e-07
1812,3.7340914360584065e-08,1.173571630985748e-07
1813,3.163315653864629e-08,9.777521814413603e-08
1814,3.776012391654149e-08,1.888006266881348e-07
1815,3.236668177919455e-08,3.263640397932477e-07
1816,1.1588019432906549e-08,1.5527946395366143e-07
1817,3.42512151974006e-08,1.3544799060127843e-07
1818,3.337929754820834e-08,4.220096674334428e-07
1819,9.315945015409e-09,1.542306518054204e-07
1820,1.6613073583471305e-08,2.4088956784851234e-07
1821,2.0709125858608957e-08,7.691961201317099e-08
1822,5.6143449000956025e-08,1.1529458276982041e-07
1823,6.028439258898288e-08,1.541699177209921e-07
1824,2.4421225930382207e-08,1.1536924660049408e-07
1825,1.937197424695114e-08,2.4919403784906535e-07
1826,2.3781558056157337e-08,2.8185550871029363e-07
1827,4.239945528006217e-08,1.1521591147811705e-07
1828,2.8434133270138773e-08,1.7977710786709622e-07
1829,1.457439946506156e-08,1.5174521328376045e-07
1830,3.026682549034376e-08,2.1291145824164914e-07
1831,4.3655377757190195e-08,3.2585620690639416e-07
1832,4.7354891563600177e-08,2.029495346222987e-07
1833,1.3900353978968383e-08,3.162330628470045e-07
1834,3.3604312443813456e-08,3.3044238323398645e-07
1835,4.0840674842002045e-08,1.5353068505419287e-07
1836,3.8980349614803345e-08,2.8294359138980596e-07
1837,3.478945487245255e-08,2.0177883808258912e-07
1838,4.292270006089893e-08,2.5753621279989147e-07
1839,3.216078425793967e-08,2.789598569918894e-07
1840,4.4587822101149754e-08,2.6115723644748456e-07
1841,4.751206006403663e-08,2.767256415125985e-07
1842,5.1653639587811995e-08,2.2942265864855926e-07
1843,2.126487963494128e-08,1.559424501751394e-07
1844,1.975882080174074e-08,1.6191255652886483e-07
1845,2.1204865419122143e-08,1.8916973165694628e-07
1846,3.2785209214125643e-08,1.6685328807497513e-07
1847,4.2067142658197554e-08,3.532561541064183e-07
1848,3.378993085334514e-08,1.3515971830635465e-07
1849,2.1786478399121734e-08,1.3155681544141373e-07
1850,2.3761487000228954e-08,2.4372495310842623e-07
1851,3.289213879043018e-08,2.2895507223452682e-07
1852,2.539112742283578e-08,1.6146152082008314e-07
1853,4.658106722565947e-08,2.1140638972738657e-07
1854,2.1302223540686782e-08,1.8288738989902242e-07
1855,2.865746040470185e-08,1.5337048964170208e-07
1856,5.384276713371605e-08,1.5169163913864026e-07
1857,4.149282611942695e-08,1.571845951731099e-07
1858,5.431980554249094e-08,2.0651312393482613e-07
1859,5.3467818617036755e-08,1.2985041863977642e-07
1860,3.9363780762746714e-08,1.6523633533660487e-07
1861,1.650587222457034e-08,2.089171897701192e-07
1862,3.207770404856092e-08,1.6581010020555453e-07
1863,2.99677248571939e-08,1.5483324045106883e-07
1864,4.6029390077251264e-08,1.7692545783987157e-07
1865,4.3302967933644965e-08,1.317916475951364e-07
1866,1.8975889859440542e-08,1.2261344883857106e-07
1867,4.076361470595202e-08,1.4606962217555974e-07
1868,3.2603168165223906e-08,1.8079939101411924e-07
